1. Tech Provider ID,2. Node ID,3. Tech Type
918,234,tA2
919,2275,tA2
920,2667,tA2
921,2308,tA2
922,2573,tA2
923,692,tA2
924,2198,tA2
925,1758,tA2
926,2469,tA2
927,1838,tA2
928,1882,tA2
929,2829,tA2
930,1172,tA2
931,222,tA2
932,347,tA2
933,278,tA2
934,2324,tA2
935,2250,tA2
936,1888,tA2
937,1675,tA2
938,993,tA2
939,307,tA2
940,1795,tA2
941,1738,tA2
942,2056,tA2
943,2258,tA2
944,2641,tA2
945,617,tA2
946,1146,tA2
947,1748,tA2
948,1564,tA2
949,1488,tA2
950,389,tA2
951,1267,tA2
952,1808,tA2
953,2111,tA2
954,383,tA2
955,2953,tA2
956,2314,tA2
957,327,tA2
958,2232,tA2
959,662,tA2
960,1230,tA2
961,86,tA2
962,197,tA2
963,2328,tA2
964,181,tA2
965,292,tA2
966,2937,tA2
967,1741,tA2
968,346,tA2
969,734,tA2
970,1169,tA2
971,2235,tA2
972,201,tA2
973,1867,tA2
974,3018,tA2
975,285,tA2
976,1362,tA2
977,2729,tA2
978,386,tA2
979,621,tA2
980,1131,tA2
981,178,tA2
982,2772,tA2
983,1236,tA2
984,1171,tA2
985,2644,tA2
986,2231,tA2
987,643,tA2
988,2958,tA2
989,2612,tA2
990,1473,tA2
991,416,tA2
992,2886,tA2
993,2488,tA2
994,154,tA2
995,2092,tA2
996,1107,tA2
997,2594,tA2
998,433,tA2
999,2793,tA2
1000,1946,tA2
1001,2905,tA2
1002,1088,tA2
1003,290,tA2
1004,81,tA2
1005,1840,tA2
1006,2510,tA2
1007,2701,tA2
1008,2052,tA2
1009,1827,tA2
1010,2,tA2
1011,531,tA2
1012,812,tA2
1013,2290,tA2
1014,1184,tA2
1015,51,tA2
1016,2059,tA2
1017,1892,tA2
1018,1392,tA2
1019,63,tA2
1020,2956,tA2
1021,1499,tA2
1022,2911,tA2
1023,1869,tA2
1024,1921,tA2
1025,2189,tA2
1026,59,tA2
1027,2457,tA2
1028,1769,tA2
1029,301,tA2
1030,1089,tA2
1031,214,tA2
1032,1907,tA2
1033,2245,tA2
1034,2030,tA2
1035,76,tA2
1036,1826,tA2
1037,1159,tA2
1038,337,tA2
1039,161,tA2
1040,2273,tA2
1041,1391,tA2
1042,2022,tA2
1043,683,tA2
1044,464,tA2
1045,2922,tA2
1046,479,tA2
1047,571,tA2
1048,1923,tA2
1049,82,tA2
1050,2286,tA2
1051,427,tA2
1052,2087,tA2
1053,1349,tA2
1054,1798,tA2
1055,2183,tA2
1056,3065,tA2
1057,2377,tA2
1058,645,tA2
1059,2477,tA2
1060,317,tA2
1061,1244,tA2
1062,2220,tA2
1063,2559,tA2
1064,166,tA2
1065,3058,tA2
1066,1697,tA2
1067,1270,tA2
1068,348,tA2
1069,2289,tA2
1070,299,tA2
1071,1905,tA2
1072,742,tA2
1073,2904,tA2
1074,1384,tA2
1075,282,tA2
1076,1965,tA2
1077,1459,tA2
1078,2061,tA2
1079,202,tA2
1080,288,tA2
1081,1850,tA2
1082,633,tA2
