#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L212,N18141,T0,TA1
L213,N24021,T0,TA1
L214,N42049,T0,TA1
L215,N37021,T0,TA1
L216,N55009,T0,TA1
L217,N09011,T0,TA1
L218,N27163,T0,TA1
L219,N48479,T0,TA1
L220,N17119,T0,TA1
L221,N22103,T0,TA1
L222,N49057,T0,TA1
L223,N26077,T0,TA1
L224,N48309,T0,TA1
L225,N42041,T0,TA1
L226,N17163,T0,TA1
L227,N53077,T0,TA1
L228,N51550,T0,TA1
L229,N22055,T0,TA1
L230,N48209,T0,TA1
L231,N22017,T0,TA1
L232,N10005,T0,TA1
L233,N04025,T0,TA1
L234,N48041,T0,TA1
L235,N48423,T0,TA1
L236,N36065,T0,TA1
L237,N16027,T0,TA1
L238,N45015,T0,TA1
L239,N01101,T0,TA1
L240,N28049,T0,TA1
L241,N01125,T0,TA1
L242,N41029,T0,TA1
L243,N47125,T0,TA1
L244,N35013,T0,TA1
L245,N12019,T0,TA1
L246,N36063,T0,TA1
L247,N42125,T0,TA1
L248,N13215,T0,TA1
L249,N53005,T0,TA1
L250,N13245,T0,TA1
L251,N37133,T0,TA1
L252,N13139,T0,TA1
L253,N27137,T0,TA1
L254,N36007,T0,TA1
L255,N46099,T0,TA1
L256,N17167,T0,TA1
L257,N47165,T0,TA1
L258,N42019,T0,TA1
L259,N18157,T0,TA1
L260,N51700,T0,TA1
L261,N28033,T0,TA1
L262,N38017,T0,TA1
L263,N29019,T0,TA1
L264,N06089,T0,TA1
L265,N54039,T0,TA1
L266,N49053,T0,TA1
L267,N18163,T0,TA1
L268,N06025,T0,TA1
L269,N20177,T0,TA1
L270,N17113,T0,TA1
L271,N37147,T0,TA1
L272,N48329,T0,TA1
L273,N20209,T0,TA1
L274,N13223,T0,TA1
L275,N50007,T0,TA1
L276,N39057,T0,TA1
L277,N30111,T0,TA1
L278,N13153,T0,TA1
L279,N18081,T0,TA1
L280,N22073,T0,TA1
L281,N27145,T0,TA1
L282,N47163,T0,TA1
L283,N28121,T0,TA1
L284,N08077,T0,TA1
L285,N35049,T0,TA1
L286,N24043,T0,TA1
L287,N40017,T0,TA1
L288,N33013,T0,TA1
L289,N19103,T0,TA1
L290,N23019,T0,TA1
L291,N27139,T0,TA1
L292,N17161,T0,TA1
L293,N48441,T0,TA1
L294,N55073,T0,TA1
L295,N48181,T0,TA1
L296,N19013,T0,TA1
L297,N22079,T0,TA1
L298,N53057,T0,TA1
L299,N42051,T0,TA1
L300,N05131,T0,TA1
L301,N16019,T0,TA1
L302,N05045,T0,TA1
L303,N42013,T0,TA1
L304,N35045,T0,TA1
L305,N40031,T0,TA1
L306,N55063,T0,TA1
L307,N48375,T0,TA1
L308,N13185,T0,TA1
L309,N30063,T0,TA1
L310,N05031,T0,TA1
L311,N21093,T0,TA1
L312,N46103,T0,TA1
L313,N01069,T0,TA1
L314,N18167,T0,TA1
L315,N19193,T0,TA1
L316,N55039,T0,TA1
L317,N47113,T0,TA1
L318,N38015,T0,TA1
L319,N47155,T0,TA1
L320,N01095,T0,TA1
L321,N51161,T0,TA1
L322,N39055,T0,TA1
L323,N40131,T0,TA1
L324,N26055,T0,TA1
L325,N37127,T0,TA1
L326,N54011,T0,TA1
L327,N39157,T0,TA1
L328,N21151,T0,TA1
L329,N37157,T0,TA1
L330,N12089,T0,TA1
L331,N48361,T0,TA1
L332,N51165,T0,TA1
L333,N13013,T0,TA1
L334,N26111,T0,TA1
L335,N28081,T0,TA1
L336,N29031,T0,TA1
L337,N06037,T0,TB2
L338,N17031,T0,TB1
L339,N17031,T0,TB2
L340,N04013,T0,TB2
L341,N06059,T0,TB2
L342,N36047,T0,TB1
L343,N06065,T0,TB2
L344,N36081,T0,TB2
L345,N53033,T0,TB1
L346,N53033,T0,TB2
L347,N32003,T0,TB1
L348,N06071,T0,TB2
L349,N48439,T0,TB2
L350,N12011,T0,TB2
L351,N06085,T0,TB2
L352,N26163,T0,TB2
L353,N36005,T0,TB2
L354,N12095,T0,TB2
L355,N36059,T0,TB2
L356,N48453,T0,TB2
L357,N39035,T0,TB1
L358,N42003,T0,TB2
L359,N49035,T0,TB1
L360,N37119,T0,TB2
L361,N06019,T0,TB2
L362,N13135,T0,TB1
L363,N36029,T0,TB1
L364,N53053,T0,TB2
L365,N48121,T0,TB1
L366,N25027,T0,TB2
L367,N12105,T0,TB2
L368,N17197,T0,TB2
L369,N34025,T0,TB2
L370,N48339,T0,TB2
L371,N34005,T0,TB2
L372,N51810,T0,TB1
L373,N27037,T0,TB2
L374,N51107,T0,TB2
L375,N12083,T0,TB1
L376,N18057,T0,TB2
L377,N08013,T0,TB2
L378,N48041,T0,TB2
L379,N48423,T0,TB2
L380,N28049,T0,TB2
L381,N35013,T0,TB1
L382,N12019,T0,TB2
L383,N17113,T0,TB2
L384,N50007,T0,TB1
L385,N39057,T0,TB2
L386,N55105,T0,TB2
L387,N42055,T0,TB2
L388,N09013,T0,TB2
L389,N04005,T0,TB1
L390,N34037,T0,TB2
L391,N48181,T0,TB2
L392,N42051,T0,TB1
L393,N17037,T0,TB2
L394,N48497,T0,TB2
L395,N40101,T0,TB2
L396,N39009,T0,TB2
L397,N51143,T0,TB2
L398,N32019,T0,TB2
L399,N47073,T0,TB2
L400,N26023,T0,TB2
L401,N17031,T0,TC1
L402,N17031,T0,TC2
L403,N36081,T0,TC2
L404,N53033,T0,TC1
L405,N53033,T0,TC2
L406,N32003,T0,TC2
L407,N06071,T0,TC2
L408,N48439,T0,TC1
L409,N48439,T0,TC2
L410,N36005,T0,TC1
L411,N36005,T0,TC2
L412,N12095,T0,TC2
L413,N42003,T0,TC1
L414,N42003,T0,TC2
L415,N06019,T0,TC2
L416,N36119,T0,TC2
L417,N34003,T0,TC1
L418,N48121,T0,TC2
L419,N12105,T0,TC2
L420,N17197,T0,TC1
L421,N34025,T0,TC2
L422,N12127,T0,TC1
L423,N18089,T0,TC2
L424,N42129,T0,TC2
L425,N17111,T0,TC2
L426,N04015,T0,TC2
L427,N42125,T0,TC1
L428,N42125,T0,TC2
L429,N48139,T0,TC2
L430,N18127,T0,TC2
L431,N48213,T0,TC2
L432,N48497,T0,TC1
L433,N32023,T0,TC2
L434,N54051,T0,TC2
L435,N17031,T0,TD2
L436,N53033,T0,TD1
L437,N32003,T0,TD2
L438,N48439,T0,TD2
L439,N36005,T0,TD2
L440,N12095,T0,TD1
L441,N42003,T0,TD2
L442,N17031,T0,TE1
L443,N17031,T0,TE2
L444,N53033,T0,TE1
L445,N32003,T0,TE1
L446,N32003,T0,TE2
L447,N48439,T0,TE1
L448,N48439,T0,TE2
L449,N36005,T0,TE1
L450,N36005,T0,TE2
L451,N12095,T0,TE2
L452,N42003,T0,TE1
L453,N42003,T0,TE2
L454,N17031,T0,TF2
L455,N53033,T0,TF1
L456,N32003,T0,TF2
L457,N48439,T0,TF2
L458,N36005,T0,TF2
L459,N12095,T0,TF1
L460,N42003,T0,TF2
