#SUPS,sup_node,sup_prod,sup_value,sup_price
s367,n295,p1,25540.17322,0
s368,n296,p1,19940.79733,0
s369,n297,p1,8710.140273,0
s370,n298,p1,15123.10069,0
s371,n299,p1,28922.13245,0
s372,n300,p1,40057.07367,0
s373,n301,p1,43199.74333,0
s374,n302,p1,30166.4382,0
s375,n303,p1,32304.09167,0
s376,n304,p1,32032.89683,0
s377,n305,p1,59981.91837,0
s378,n306,p1,64289.13059,0
s379,n307,p1,28411.64803,0
s380,n308,p1,23721.5725,0
s381,n309,p1,45066.20196,0
s382,n310,p1,58370.70194,0
s383,n311,p1,18233.86508,0
s384,n312,p1,54749.45315,0
s385,n313,p1,38477.76253,0
s386,n314,p1,61800.51908,0
s387,n315,p1,58609.99151,0
s388,n316,p1,26608.99996,0
s389,n317,p1,27805.4478,0
