# DEMS,dem_node,dem_prod,dem_cap,dem_price
d113,n13,p2,60000,0.04
d114,n14,p2,60000,0.04
d115,n15,p2,60000,0.04
d116,n16,p2,60000,0.04
d117,n17,p2,60000,0.04
d118,n18,p2,60000,0.04
d119,n19,p2,60000,0.04
d120,n20,p2,60000,0.04
d121,n21,p2,60000,0.04
d122,n22,p2,60000,0.04
d123,n23,p2,60000,0.04
d124,n24,p2,60000,0.04
d125,n25,p2,60000,0.04
d126,n26,p2,60000,0.04
d127,n27,p2,60000,0.04
d128,n28,p2,60000,0.04
d129,n29,p2,60000,0.04
d130,n30,p2,60000,0.04
d131,n31,p2,60000,0.04
d132,n32,p2,60000,0.04
d133,n33,p2,60000,0.04
d134,n34,p2,60000,0.04
d135,n35,p2,60000,0.04
d136,n36,p2,60000,0.04
d137,n37,p2,60000,0.04
d138,n38,p2,60000,0.04
d139,n39,p2,60000,0.04
d140,n40,p2,60000,0.04
d141,n41,p2,60000,0.04
d142,n42,p2,60000,0.04
d143,n43,p2,60000,0.04
d144,n44,p2,60000,0.04
d145,n45,p2,60000,0.04
d146,n46,p2,60000,0.04
d147,n47,p2,60000,0.04
d148,n48,p2,60000,0.04
d149,n49,p2,60000,0.04
d150,n50,p2,60000,0.04
d151,n51,p2,60000,0.04
d152,n52,p2,60000,0.04
d153,n53,p2,60000,0.04
d154,n54,p2,60000,0.04
d155,n55,p2,60000,0.04
d156,n56,p2,60000,0.04
d157,n57,p2,60000,0.04
d158,n58,p2,60000,0.04
d159,n59,p2,60000,0.04
d160,n60,p2,60000,0.04
d161,n61,p2,60000,0.04
d162,n62,p2,60000,0.04
d163,n63,p2,60000,0.04
d164,n64,p2,60000,0.04
d165,n65,p2,60000,0.04
d166,n66,p2,60000,0.04
d167,n67,p2,60000,0.04
d168,n68,p2,60000,0.04
d169,n69,p2,60000,0.04
d170,n70,p2,60000,0.04
d171,n71,p2,60000,0.04
d172,n72,p2,60000,0.04
d173,n73,p2,60000,0.04
d174,n74,p2,60000,0.04
d175,n75,p2,60000,0.04
d176,n76,p2,60000,0.04
d177,n77,p2,60000,0.04
d178,n78,p2,60000,0.04
d179,n79,p2,60000,0.04
d180,n80,p2,60000,0.04
d181,n81,p2,60000,0.04
d182,n82,p2,60000,0.04
d183,n83,p2,60000,0.04
d184,n84,p2,60000,0.04
d185,n85,p2,60000,0.04
d186,n86,p2,60000,0.04
d187,n87,p2,60000,0.04
d188,n88,p2,60000,0.04
d189,n89,p2,60000,0.04
d190,n90,p2,60000,0.04
d191,n91,p2,60000,0.04
d192,n92,p2,60000,0.04
d193,n93,p2,60000,0.04
d194,n94,p2,60000,0.04
d195,n95,p2,60000,0.04
d196,n96,p2,60000,0.04
d197,n97,p2,60000,0.04
d198,n98,p2,60000,0.04
d199,n99,p2,60000,0.04
d200,n100,p2,60000,0.04
d201,n1,p3,60000,0.0478
d202,n2,p3,60000,0.0478
d203,n3,p3,60000,0.0478
d204,n4,p3,60000,0.0478
d205,n5,p3,60000,0.0478
d206,n6,p3,60000,0.0478
d207,n7,p3,60000,0.0478
d208,n8,p3,60000,0.0478
d209,n9,p3,60000,0.0478
d210,n10,p3,60000,0.0478
d211,n11,p3,60000,0.0478
d212,n12,p3,60000,0.0478
d213,n13,p3,60000,0.0478
d214,n14,p3,60000,0.0478
d215,n15,p3,60000,0.0478
d216,n16,p3,60000,0.0478
d217,n17,p3,60000,0.0478
d218,n18,p3,60000,0.0478
d219,n19,p3,60000,0.0478
d220,n20,p3,60000,0.0478
d221,n21,p3,60000,0.0478
d222,n22,p3,60000,0.0478
d223,n23,p3,60000,0.0478
d224,n24,p3,60000,0.0478
d225,n25,p3,60000,0.0478
d226,n26,p3,60000,0.0478
d227,n27,p3,60000,0.0478
d228,n28,p3,60000,0.0478
d229,n29,p3,60000,0.0478
d230,n30,p3,60000,0.0478
d231,n31,p3,60000,0.0478
d232,n32,p3,60000,0.0478
d233,n33,p3,60000,0.0478
d234,n34,p3,60000,0.0478
d235,n35,p3,60000,0.0478
d236,n36,p3,60000,0.0478
d237,n37,p3,60000,0.0478
d238,n38,p3,60000,0.0478
d239,n39,p3,60000,0.0478
d240,n40,p3,60000,0.0478
d241,n41,p3,60000,0.0478
d242,n42,p3,60000,0.0478
d243,n43,p3,60000,0.0478
d244,n44,p3,60000,0.0478
d245,n45,p3,60000,0.0478
d246,n46,p3,60000,0.0478
d247,n47,p3,60000,0.0478
d248,n48,p3,60000,0.0478
d249,n49,p3,60000,0.0478
d250,n50,p3,60000,0.0478
d251,n51,p3,60000,0.0478
d252,n52,p3,60000,0.0478
d253,n53,p3,60000,0.0478
d254,n54,p3,60000,0.0478
d255,n55,p3,60000,0.0478
d256,n56,p3,60000,0.0478
d257,n57,p3,60000,0.0478
d258,n58,p3,60000,0.0478
d259,n59,p3,60000,0.0478
d260,n60,p3,60000,0.0478
d261,n61,p3,60000,0.0478
d262,n62,p3,60000,0.0478
d263,n63,p3,60000,0.0478
d264,n64,p3,60000,0.0478
d265,n65,p3,60000,0.0478
d266,n66,p3,60000,0.0478
d267,n67,p3,60000,0.0478
d268,n68,p3,60000,0.0478
d269,n69,p3,60000,0.0478
d270,n70,p3,60000,0.0478
d271,n71,p3,60000,0.0478
d272,n72,p3,60000,0.0478
d273,n73,p3,60000,0.0478
d274,n74,p3,60000,0.0478
d275,n75,p3,60000,0.0478
d276,n76,p3,60000,0.0478
d277,n77,p3,60000,0.0478
d278,n78,p3,60000,0.0478
d279,n79,p3,60000,0.0478
d280,n80,p3,60000,0.0478
d281,n81,p3,60000,0.0478
d282,n82,p3,60000,0.0478
d283,n83,p3,60000,0.0478
d284,n84,p3,60000,0.0478
d285,n85,p3,60000,0.0478
d286,n86,p3,60000,0.0478
d287,n87,p3,60000,0.0478
d288,n88,p3,60000,0.0478
d289,n89,p3,60000,0.0478
d290,n90,p3,60000,0.0478
d291,n91,p3,60000,0.0478
d292,n92,p3,60000,0.0478
d293,n93,p3,60000,0.0478
d294,n94,p3,60000,0.0478
d295,n95,p3,60000,0.0478
d296,n96,p3,60000,0.0478
d297,n97,p3,60000,0.0478
d298,n98,p3,60000,0.0478
d299,n99,p3,60000,0.0478
d300,n100,p3,60000,0.0478
d301,n1,p4,60000,0.15
d302,n2,p4,60000,0.15
d303,n3,p4,60000,0.15
d304,n4,p4,60000,0.15
d305,n5,p4,60000,0.15
d306,n6,p4,60000,0.15
d307,n7,p4,60000,0.15
d308,n8,p4,60000,0.15
d309,n9,p4,60000,0.15
d310,n10,p4,60000,0.15
d311,n11,p4,60000,0.15
d312,n12,p4,60000,0.15
d313,n13,p4,60000,0.15
d314,n14,p4,60000,0.15
d315,n15,p4,60000,0.15
d316,n16,p4,60000,0.15
d317,n17,p4,60000,0.15
d318,n18,p4,60000,0.15
d319,n19,p4,60000,0.15
d320,n20,p4,60000,0.15
d321,n21,p4,60000,0.15
d322,n22,p4,60000,0.15
d323,n23,p4,60000,0.15
d324,n24,p4,60000,0.15
d325,n25,p4,60000,0.15
d326,n26,p4,60000,0.15
d327,n27,p4,60000,0.15
d328,n28,p4,60000,0.15
d329,n29,p4,60000,0.15
d330,n30,p4,60000,0.15
d331,n31,p4,60000,0.15
d332,n32,p4,60000,0.15
d333,n33,p4,60000,0.15
d334,n34,p4,60000,0.15
d335,n35,p4,60000,0.15
d336,n36,p4,60000,0.15
d337,n37,p4,60000,0.15
d338,n38,p4,60000,0.15
d339,n39,p4,60000,0.15
d340,n40,p4,60000,0.15
d341,n41,p4,60000,0.15
d342,n42,p4,60000,0.15
d343,n43,p4,60000,0.15
d344,n44,p4,60000,0.15
d345,n45,p4,60000,0.15
d346,n46,p4,60000,0.15
d347,n47,p4,60000,0.15
d348,n48,p4,60000,0.15
d349,n49,p4,60000,0.15
d350,n50,p4,60000,0.15
d351,n51,p4,60000,0.15
d352,n52,p4,60000,0.15
d353,n53,p4,60000,0.15
d354,n54,p4,60000,0.15
d355,n55,p4,60000,0.15
d356,n56,p4,60000,0.15
d357,n57,p4,60000,0.15
d358,n58,p4,60000,0.15
d359,n59,p4,60000,0.15
d360,n60,p4,60000,0.15
d361,n61,p4,60000,0.15
d362,n62,p4,60000,0.15
d363,n63,p4,60000,0.15
d364,n64,p4,60000,0.15
d365,n65,p4,60000,0.15
d366,n66,p4,60000,0.15
d367,n67,p4,60000,0.15
d368,n68,p4,60000,0.15
d369,n69,p4,60000,0.15
d370,n70,p4,60000,0.15
d371,n71,p4,60000,0.15
d372,n72,p4,60000,0.15
d373,n73,p4,60000,0.15
d374,n74,p4,60000,0.15
d375,n75,p4,60000,0.15
d376,n76,p4,60000,0.15
d377,n77,p4,60000,0.15
d378,n78,p4,60000,0.15
d379,n79,p4,60000,0.15
d380,n80,p4,60000,0.15
d381,n81,p4,60000,0.15
d382,n82,p4,60000,0.15
d383,n83,p4,60000,0.15
d384,n84,p4,60000,0.15
d385,n85,p4,60000,0.15
d386,n86,p4,60000,0.15
d387,n87,p4,60000,0.15
d388,n88,p4,60000,0.15
d389,n89,p4,60000,0.15
d390,n90,p4,60000,0.15
d391,n91,p4,60000,0.15
d392,n92,p4,60000,0.15
d393,n93,p4,60000,0.15
d394,n94,p4,60000,0.15
d395,n95,p4,60000,0.15
d396,n96,p4,60000,0.15
d397,n97,p4,60000,0.15
d398,n98,p4,60000,0.15
d399,n99,p4,60000,0.15
d400,n100,p4,60000,0.15
d401,n1,p5,60000,1
d402,n2,p5,60000,1
d403,n3,p5,60000,1
d404,n4,p5,60000,1
d405,n5,p5,60000,1
d406,n6,p5,60000,1
d407,n7,p5,60000,1
d408,n8,p5,60000,1
d409,n9,p5,60000,1
d410,n10,p5,60000,1
d411,n11,p5,60000,1
d412,n12,p5,60000,1
d413,n13,p5,60000,1
d414,n14,p5,60000,1
d415,n15,p5,60000,1
d416,n16,p5,60000,1
d417,n17,p5,60000,1
d418,n18,p5,60000,1
d419,n19,p5,60000,1
d420,n20,p5,60000,1
d421,n21,p5,60000,1
d422,n22,p5,60000,1
d423,n23,p5,60000,1
d424,n24,p5,60000,1
d425,n25,p5,60000,1
d426,n26,p5,60000,1
d427,n27,p5,60000,1
d428,n28,p5,60000,1
d429,n29,p5,60000,1
d430,n30,p5,60000,1
d431,n31,p5,60000,1
d432,n32,p5,60000,1
d433,n33,p5,60000,1
d434,n34,p5,60000,1
d435,n35,p5,60000,1
d436,n36,p5,60000,1
d437,n37,p5,60000,1
d438,n38,p5,60000,1
d439,n39,p5,60000,1
d440,n40,p5,60000,1
d441,n41,p5,60000,1
d442,n42,p5,60000,1
d443,n43,p5,60000,1
d444,n44,p5,60000,1
d445,n45,p5,60000,1
d446,n46,p5,60000,1
d447,n47,p5,60000,1
d448,n48,p5,60000,1
d449,n49,p5,60000,1
d450,n50,p5,60000,1
d451,n51,p5,60000,1
d452,n52,p5,60000,1
d453,n53,p5,60000,1
d454,n54,p5,60000,1
d455,n55,p5,60000,1
d456,n56,p5,60000,1
d457,n57,p5,60000,1
d458,n58,p5,60000,1
d459,n59,p5,60000,1
d460,n60,p5,60000,1
d461,n61,p5,60000,1
d462,n62,p5,60000,1
d463,n63,p5,60000,1
d464,n64,p5,60000,1
d465,n65,p5,60000,1
d466,n66,p5,60000,1
d467,n67,p5,60000,1
d468,n68,p5,60000,1
d469,n69,p5,60000,1
d470,n70,p5,60000,1
d471,n71,p5,60000,1
d472,n72,p5,60000,1
d473,n73,p5,60000,1
d474,n74,p5,60000,1
d475,n75,p5,60000,1
d476,n76,p5,60000,1
d477,n77,p5,60000,1
d478,n78,p5,60000,1
d479,n79,p5,60000,1
d480,n80,p5,60000,1
d481,n81,p5,60000,1
d482,n82,p5,60000,1
d483,n83,p5,60000,1
d484,n84,p5,60000,1
d485,n85,p5,60000,1
d486,n86,p5,60000,1
d487,n87,p5,60000,1
d488,n88,p5,60000,1
d489,n89,p5,60000,1
d490,n90,p5,60000,1
d491,n91,p5,60000,1
d492,n92,p5,60000,1
d493,n93,p5,60000,1
d494,n94,p5,60000,1
d495,n95,p5,60000,1
d496,n96,p5,60000,1
d497,n97,p5,60000,1
d498,n98,p5,60000,1
d499,n99,p5,60000,1
d500,n100,p5,60000,1
d501,n1,p6,60000,0.065
d502,n2,p6,60000,0.065
d503,n3,p6,60000,0.065
d504,n4,p6,60000,0.065
d505,n5,p6,60000,0.065
d506,n6,p6,60000,0.065
d507,n7,p6,60000,0.065
d508,n8,p6,60000,0.065
d509,n9,p6,60000,0.065
d510,n10,p6,60000,0.065
d511,n11,p6,60000,0.065
d512,n12,p6,60000,0.065
d513,n13,p6,60000,0.065
d514,n14,p6,60000,0.065
d515,n15,p6,60000,0.065
d516,n16,p6,60000,0.065
d517,n17,p6,60000,0.065
d518,n18,p6,60000,0.065
d519,n19,p6,60000,0.065
d520,n20,p6,60000,0.065
d521,n21,p6,60000,0.065
d522,n22,p6,60000,0.065
d523,n23,p6,60000,0.065
d524,n24,p6,60000,0.065
d525,n25,p6,60000,0.065
d526,n26,p6,60000,0.065
d527,n27,p6,60000,0.065
d528,n28,p6,60000,0.065
d529,n29,p6,60000,0.065
d530,n30,p6,60000,0.065
d531,n31,p6,60000,0.065
d532,n32,p6,60000,0.065
d533,n33,p6,60000,0.065
d534,n34,p6,60000,0.065
d535,n35,p6,60000,0.065
d536,n36,p6,60000,0.065
d537,n37,p6,60000,0.065
d538,n38,p6,60000,0.065
d539,n39,p6,60000,0.065
d540,n40,p6,60000,0.065
d541,n41,p6,60000,0.065
d542,n42,p6,60000,0.065
d543,n43,p6,60000,0.065
d544,n44,p6,60000,0.065
d545,n45,p6,60000,0.065
d546,n46,p6,60000,0.065
d547,n47,p6,60000,0.065
d548,n48,p6,60000,0.065
d549,n49,p6,60000,0.065
d550,n50,p6,60000,0.065
d551,n51,p6,60000,0.065
d552,n52,p6,60000,0.065
d553,n53,p6,60000,0.065
d554,n54,p6,60000,0.065
d555,n55,p6,60000,0.065
d556,n56,p6,60000,0.065
d557,n57,p6,60000,0.065
d558,n58,p6,60000,0.065
d559,n59,p6,60000,0.065
d560,n60,p6,60000,0.065
d561,n61,p6,60000,0.065
d562,n62,p6,60000,0.065
d563,n63,p6,60000,0.065
d564,n64,p6,60000,0.065
d565,n65,p6,60000,0.065
d566,n66,p6,60000,0.065
d567,n67,p6,60000,0.065
d568,n68,p6,60000,0.065
d569,n69,p6,60000,0.065
d570,n70,p6,60000,0.065
d571,n71,p6,60000,0.065
d572,n72,p6,60000,0.065
d573,n73,p6,60000,0.065
d574,n74,p6,60000,0.065
d575,n75,p6,60000,0.065
d576,n76,p6,60000,0.065
d577,n77,p6,60000,0.065
d578,n78,p6,60000,0.065
d579,n79,p6,60000,0.065
d580,n80,p6,60000,0.065
d581,n81,p6,60000,0.065
d582,n82,p6,60000,0.065
d583,n83,p6,60000,0.065
d584,n84,p6,60000,0.065
d585,n85,p6,60000,0.065
d586,n86,p6,60000,0.065
d587,n87,p6,60000,0.065
d588,n88,p6,60000,0.065
d589,n89,p6,60000,0.065
d590,n90,p6,60000,0.065
d591,n91,p6,60000,0.065
d592,n92,p6,60000,0.065
d593,n93,p6,60000,0.065
d594,n94,p6,60000,0.065
d595,n95,p6,60000,0.065
d596,n96,p6,60000,0.065
d597,n97,p6,60000,0.065
d598,n98,p6,60000,0.065
d599,n99,p6,60000,0.065
d600,n100,p6,60000,0.065
d601,n1,p7,60000,0.0049
d602,n2,p7,60000,0.0049
d603,n3,p7,60000,0.0049
d604,n4,p7,60000,0.0049
d605,n5,p7,60000,0.0049
d606,n6,p7,60000,0.0049
d607,n7,p7,60000,0.0049
d608,n8,p7,60000,0.0049
d609,n9,p7,60000,0.0049
d610,n10,p7,60000,0.0049
d611,n11,p7,60000,0.0049
d612,n12,p7,60000,0.0049
d613,n13,p7,60000,0.0049
d614,n14,p7,60000,0.0049
d615,n15,p7,60000,0.0049
d616,n16,p7,60000,0.0049
d617,n17,p7,60000,0.0049
d618,n18,p7,60000,0.0049
d619,n19,p7,60000,0.0049
d620,n20,p7,60000,0.0049
d621,n21,p7,60000,0.0049
d622,n22,p7,60000,0.0049
d623,n23,p7,60000,0.0049
d624,n24,p7,60000,0.0049
d625,n25,p7,60000,0.0049
d626,n26,p7,60000,0.0049
d627,n27,p7,60000,0.0049
d628,n28,p7,60000,0.0049
d629,n29,p7,60000,0.0049
d630,n30,p7,60000,0.0049
d631,n31,p7,60000,0.0049
d632,n32,p7,60000,0.0049
d633,n33,p7,60000,0.0049
d634,n34,p7,60000,0.0049
d635,n35,p7,60000,0.0049
d636,n36,p7,60000,0.0049
d637,n37,p7,60000,0.0049
d638,n38,p7,60000,0.0049
d639,n39,p7,60000,0.0049
d640,n40,p7,60000,0.0049
d641,n41,p7,60000,0.0049
d642,n42,p7,60000,0.0049
d643,n43,p7,60000,0.0049
d644,n44,p7,60000,0.0049
d645,n45,p7,60000,0.0049
d646,n46,p7,60000,0.0049
d647,n47,p7,60000,0.0049
d648,n48,p7,60000,0.0049
d649,n49,p7,60000,0.0049
d650,n50,p7,60000,0.0049
d651,n51,p7,60000,0.0049
d652,n52,p7,60000,0.0049
d653,n53,p7,60000,0.0049
d654,n54,p7,60000,0.0049
d655,n55,p7,60000,0.0049
d656,n56,p7,60000,0.0049
d657,n57,p7,60000,0.0049
d658,n58,p7,60000,0.0049
d659,n59,p7,60000,0.0049
d660,n60,p7,60000,0.0049
d661,n61,p7,60000,0.0049
d662,n62,p7,60000,0.0049
d663,n63,p7,60000,0.0049
d664,n64,p7,60000,0.0049
d665,n65,p7,60000,0.0049
d666,n66,p7,60000,0.0049
d667,n67,p7,60000,0.0049
d668,n68,p7,60000,0.0049
d669,n69,p7,60000,0.0049
d670,n70,p7,60000,0.0049
d671,n71,p7,60000,0.0049
d672,n72,p7,60000,0.0049
d673,n73,p7,60000,0.0049
d674,n74,p7,60000,0.0049
d675,n75,p7,60000,0.0049
d676,n76,p7,60000,0.0049
d677,n77,p7,60000,0.0049
d678,n78,p7,60000,0.0049
d679,n79,p7,60000,0.0049
d680,n80,p7,60000,0.0049
d681,n81,p7,60000,0.0049
d682,n82,p7,60000,0.0049
d683,n83,p7,60000,0.0049
d684,n84,p7,60000,0.0049
d685,n85,p7,60000,0.0049
d686,n86,p7,60000,0.0049
d687,n87,p7,60000,0.0049
d688,n88,p7,60000,0.0049
d689,n89,p7,60000,0.0049
d690,n90,p7,60000,0.0049
d691,n91,p7,60000,0.0049
d692,n92,p7,60000,0.0049
d693,n93,p7,60000,0.0049
d694,n94,p7,60000,0.0049
d695,n95,p7,60000,0.0049
d696,n96,p7,60000,0.0049
d697,n97,p7,60000,0.0049
d698,n98,p7,60000,0.0049
d699,n99,p7,60000,0.0049
d700,n100,p7,60000,0.0049
d701,n1,p8,60000,0.0125
d702,n2,p8,60000,0.0125
d703,n3,p8,60000,0.0125
d704,n4,p8,60000,0.0125
d705,n5,p8,60000,0.0125
d706,n6,p8,60000,0.0125
d707,n7,p8,60000,0.0125
d708,n8,p8,60000,0.0125
d709,n9,p8,60000,0.0125
d710,n10,p8,60000,0.0125
d711,n11,p8,60000,0.0125
d712,n12,p8,60000,0.0125
d713,n13,p8,60000,0.0125
d714,n14,p8,60000,0.0125
d715,n15,p8,60000,0.0125
d716,n16,p8,60000,0.0125
d717,n17,p8,60000,0.0125
d718,n18,p8,60000,0.0125
d719,n19,p8,60000,0.0125
d720,n20,p8,60000,0.0125
d721,n21,p8,60000,0.0125
d722,n22,p8,60000,0.0125
d723,n23,p8,60000,0.0125
d724,n24,p8,60000,0.0125
d725,n25,p8,60000,0.0125
d726,n26,p8,60000,0.0125
d727,n27,p8,60000,0.0125
d728,n28,p8,60000,0.0125
d729,n29,p8,60000,0.0125
d730,n30,p8,60000,0.0125
d731,n31,p8,60000,0.0125
d732,n32,p8,60000,0.0125
d733,n33,p8,60000,0.0125
d734,n34,p8,60000,0.0125
d735,n35,p8,60000,0.0125
d736,n36,p8,60000,0.0125
d737,n37,p8,60000,0.0125
d738,n38,p8,60000,0.0125
d739,n39,p8,60000,0.0125
d740,n40,p8,60000,0.0125
d741,n41,p8,60000,0.0125
d742,n42,p8,60000,0.0125
d743,n43,p8,60000,0.0125
d744,n44,p8,60000,0.0125
d745,n45,p8,60000,0.0125
d746,n46,p8,60000,0.0125
d747,n47,p8,60000,0.0125
d748,n48,p8,60000,0.0125
d749,n49,p8,60000,0.0125
d750,n50,p8,60000,0.0125
d751,n51,p8,60000,0.0125
d752,n52,p8,60000,0.0125
d753,n53,p8,60000,0.0125
d754,n54,p8,60000,0.0125
d755,n55,p8,60000,0.0125
d756,n56,p8,60000,0.0125
d757,n57,p8,60000,0.0125
d758,n58,p8,60000,0.0125
d759,n59,p8,60000,0.0125
d760,n60,p8,60000,0.0125
d761,n61,p8,60000,0.0125
d762,n62,p8,60000,0.0125
d763,n63,p8,60000,0.0125
d764,n64,p8,60000,0.0125
d765,n65,p8,60000,0.0125
d766,n66,p8,60000,0.0125
d767,n67,p8,60000,0.0125
d768,n68,p8,60000,0.0125
d769,n69,p8,60000,0.0125
d770,n70,p8,60000,0.0125
d771,n71,p8,60000,0.0125
d772,n72,p8,60000,0.0125
d773,n73,p8,60000,0.0125
d774,n74,p8,60000,0.0125
d775,n75,p8,60000,0.0125
d776,n76,p8,60000,0.0125
d777,n77,p8,60000,0.0125
d778,n78,p8,60000,0.0125
d779,n79,p8,60000,0.0125
d780,n80,p8,60000,0.0125
d781,n81,p8,60000,0.0125
d782,n82,p8,60000,0.0125
d783,n83,p8,60000,0.0125
d784,n84,p8,60000,0.0125
d785,n85,p8,60000,0.0125
d786,n86,p8,60000,0.0125
d787,n87,p8,60000,0.0125
d788,n88,p8,60000,0.0125
d789,n89,p8,60000,0.0125
d790,n90,p8,60000,0.0125
d791,n91,p8,60000,0.0125
d792,n92,p8,60000,0.0125
d793,n93,p8,60000,0.0125
d794,n94,p8,60000,0.0125
d795,n95,p8,60000,0.0125
d796,n96,p8,60000,0.0125
d797,n97,p8,60000,0.0125
d798,n98,p8,60000,0.0125
d799,n99,p8,60000,0.0125
d800,n100,p8,60000,0.0125
d801,n1,p9,60000,0.8
d802,n2,p9,60000,0.8
d803,n3,p9,60000,0.8
d804,n4,p9,60000,0.8
d805,n5,p9,60000,0.8
d806,n6,p9,60000,0.8
d807,n7,p9,60000,0.8
d808,n8,p9,60000,0.8
d809,n9,p9,60000,0.8
d810,n10,p9,60000,0.8
d811,n11,p9,60000,0.8
d812,n12,p9,60000,0.8
d813,n13,p9,60000,0.8
d814,n14,p9,60000,0.8
d815,n15,p9,60000,0.8
d816,n16,p9,60000,0.8
d817,n17,p9,60000,0.8
d818,n18,p9,60000,0.8
d819,n19,p9,60000,0.8
d820,n20,p9,60000,0.8
d821,n21,p9,60000,0.8
d822,n22,p9,60000,0.8
d823,n23,p9,60000,0.8
d824,n24,p9,60000,0.8
d825,n25,p9,60000,0.8
d826,n26,p9,60000,0.8
d827,n27,p9,60000,0.8
d828,n28,p9,60000,0.8
d829,n29,p9,60000,0.8
d830,n30,p9,60000,0.8
d831,n31,p9,60000,0.8
d832,n32,p9,60000,0.8
d833,n33,p9,60000,0.8
d834,n34,p9,60000,0.8
d835,n35,p9,60000,0.8
d836,n36,p9,60000,0.8
d837,n37,p9,60000,0.8
d838,n38,p9,60000,0.8
d839,n39,p9,60000,0.8
d840,n40,p9,60000,0.8
d841,n41,p9,60000,0.8
d842,n42,p9,60000,0.8
d843,n43,p9,60000,0.8
d844,n44,p9,60000,0.8
d845,n45,p9,60000,0.8
d846,n46,p9,60000,0.8
d847,n47,p9,60000,0.8
d848,n48,p9,60000,0.8
d849,n49,p9,60000,0.8
d850,n50,p9,60000,0.8
d851,n51,p9,60000,0.8
d852,n52,p9,60000,0.8
d853,n53,p9,60000,0.8
d854,n54,p9,60000,0.8
d855,n55,p9,60000,0.8
d856,n56,p9,60000,0.8
d857,n57,p9,60000,0.8
d858,n58,p9,60000,0.8
d859,n59,p9,60000,0.8
d860,n60,p9,60000,0.8
d861,n61,p9,60000,0.8
d862,n62,p9,60000,0.8
d863,n63,p9,60000,0.8
d864,n64,p9,60000,0.8
d865,n65,p9,60000,0.8
d866,n66,p9,60000,0.8
d867,n67,p9,60000,0.8
d868,n68,p9,60000,0.8
d869,n69,p9,60000,0.8
d870,n70,p9,60000,0.8
d871,n71,p9,60000,0.8
d872,n72,p9,60000,0.8
d873,n73,p9,60000,0.8
d874,n74,p9,60000,0.8
d875,n75,p9,60000,0.8
d876,n76,p9,60000,0.8
d877,n77,p9,60000,0.8
