#daily flow (m3),P (mg),N (mg)
3.0130910793954004e6,6.034242326329088e8,1.2725738886941566e10
2.0289997996762274e6,3.2210855224644786e8,6.793014114222236e9
3.125157943754258e6,2.980940919300094e8,6.286568176238621e9
1.5186240998880486e6,2.1112136484248435e8,4.452382282888218e9
2.3948859781847605e6,4.7406144482951075e8,9.99758020479869e9
1.6218514034138613e6,1.7618032966314495e8,3.715503539733376e9
1.680628124596034e6,3.0366617055362475e8,6.404078898856176e9
2.3891929732134333e6,5.0116302734279996e8,1.056913110354563e10
2.2751568349585785e6,4.485401451615604e8,9.459356218975933e9
2.6017420693740416e6,5.489359449711274e8,1.1576624079014685e10
2.8675515103435507e6,6.154277322095951e8,1.2978883180925116e10
1.8645226718096149e6,2.032910896530098e8,4.2872479841886663e9
1.2598642360406304e6,6.73869707127085e7,1.4211378120003252e9
2.0046463618400309e6,3.944411009101239e8,9.31396170231166e9
2.300019503696309e6,4.450203169443582e8,1.0508291806321657e10
2.7449565923950677e6,5.621605995365907e8,1.327433242263821e10
2.924677383953579e6,6.007881935291085e8,1.4186448148582125e10
2.7525220606217906e6,2.820128798924766e8,6.659187282502913e9
2.4948647796676913e6,5.0840808198360205e8,1.2005070956892916e10
2.086019596698993e6,3.689118459195744e8,8.711137851749731e9
2.628188266809781e6,4.518546955660067e8,1.066967240432287e10
2.7676567917107884e6,4.7164585964000493e8,1.1137002365130852e10
2.922262719758289e6,5.050324304984525e8,1.192536149309594e10
2.9831449661431606e6,5.160418192021814e8,1.2185326858053581e10
2.8097113740722598e6,4.756312600090004e8,1.123110986640177e10
3.318756513334022e6,3.016589461310315e8,7.123091039298969e9
2.571964427169196e6,4.398780076691563e8,1.0386866144695217e10
2.864332296205431e6,5.091169694752394e8,1.120695253870969e10
2.964042119271911e6,5.276784176970477e8,1.1615536973610636e10
1.828433433808378e6,2.1381669314105153e8,4.706646361612107e9
2.4409462008724315e6,4.3030167480645347e8,9.472028504282152e9
1.6461364396506608e6,1.5193683750932953e8,3.3445141862070937e9
2.3313320131922583e6,4.0989648295645297e8,9.022858607545206e9
2.7882826104631517e6,4.9495996607499295e8,1.0895321077357212e10
1.9865268794958817e6,3.426539255577779e8,7.542679798881347e9
2.5623794842873407e6,5.496018851882771e8,1.2098127958372738e10
2.864471669503809e6,6.178440098040582e8,1.3600309770340338e10
2.9640880783140445e6,6.403471916686715e8,1.4095661735109095e10
1.8717378374054935e6,2.12731058282151e8,4.682748791765619e9
1.1875345022367043e6,8.755976094434582e7,1.9274118602164834e9
3.061026656050586e6,2.8696921021528554e8,6.31691833463846e9
2.4810937476654113e6,4.1710205020547414e8,1.064460838654293e10
2.83766729135027e6,4.8034528458486307e8,1.2258600604359432e10
2.9552492005716963e6,5.0120005739503783e8,1.2790822609610369e10
2.9940224231537245e6,5.080770230219849e8,1.2966325477434935e10
2.3735798323481125e6,3.643082438954258e8,9.297289683293629e9
2.73951297331266e6,4.6293626293717754e8,1.1814315524146637e10
2.922882323338119e6,4.954593454458049e8,1.2644317382581564e10
2.98334928352219e6,5.123197943075408e8,1.3074602669518177e10
3.0032885660325685e6,5.158991693796836e8,1.3165949729291067e10
3.0098636441548746e6,5.170794862098467e8,1.3196071879069384e10
3.012031809047064e6,5.1746870158724844e8,1.320600480859687e10
3.0127467722630557e6,5.1759704730437684e8,1.3209280241782227e10
1.9370255197931193e6,2.4724073665707007e8,6.3096808505698395e9
2.3978400051164473e6,4.0182333204000145e8,1.0254689489141926e10
2.8003137849592264e6,2.287574983102481e8,1.2807594006136427e10
2.9429316950378157e6,2.40972471734216e8,1.3491481623222324e10
2.9899606641052207e6,2.4500042030672282e8,1.3716996985015177e10
3.005468701842726e6,2.4632865649190554e8,1.3791361803347858e10
3.010582554840932e6,2.46766649016356e8,1.3815883974084642e10
2.187777572397106e6,8.71529787765056e7,4.879490188693425e9
2.397738976411837e6,1.942776732668467e8,1.0877149741705872e10
2.810180638679895e6,2.2332572744079995e8,1.2503481937486763e10
2.94618533939543e6,2.3465584397220945e8,1.3137828499450397e10
