#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L212,N06059,T0,TB2
L213,N12086,T0,TB2
L214,N48113,T0,TB2
L215,N06065,T0,TB2
L216,N36081,T0,TB2
L217,N53033,T0,TB2
L218,N48439,T0,TB2
L219,N06085,T0,TB2
L220,N36061,T0,TB2
L221,N25017,T0,TB2
L222,N42101,T0,TB2
L223,N12057,T0,TB2
L224,N12095,T0,TB2
L225,N39049,T0,TB2
L226,N26125,T0,TB2
L227,N24033,T0,TB2
L228,N09001,T0,TB2
L229,N34003,T0,TB2
L230,N17043,T0,TB2
L231,N06029,T0,TB2
L232,N06111,T0,TB2
L233,N48157,T0,TB2
L234,N17197,T0,TB2
L235,N08005,T0,TB2
L236,N42017,T0,TB2
L237,N48491,T0,TB2
L238,N06099,T0,TB2
L239,N36085,T0,TB2
L240,N47093,T0,TB2
L241,N27037,T0,TB2
L242,N39151,T0,TB2
L243,N18057,T0,TB2
L244,N17111,T0,TB2
L245,N12073,T0,TB2
L246,N17163,T0,TB2
L247,N48245,T0,TB2
L248,N13151,T0,TB2
L249,N42007,T0,TB2
L250,N12035,T0,TB2
L251,N17037,T0,TB2
L252,N37127,T0,TB2
L253,N48005,T0,TB2
L254,N51165,T0,TB2
L255,N24001,T0,TB2
L256,N39143,T0,TB2
L257,N32007,T0,TB2
L258,N36033,T0,TB2
L259,N13137,T0,TB2
L260,N06037,T0,TC2
L261,N17031,T0,TC2
L262,N48201,T0,TC2
L263,N06059,T0,TC2
L264,N36061,T0,TC2
L265,N42101,T0,TC2
L266,N36005,T0,TC2
L267,N42003,T0,TC2
L268,N06029,T0,TC2
L269,N12105,T0,TC2
L270,N34025,T0,TC2
L271,N48339,T0,TC2
L272,N12127,T0,TC2
L273,N17089,T0,TC2
L274,N18089,T0,TC2
L275,N12069,T0,TC2
L276,N39151,T0,TC2
L277,N42129,T0,TC2
L278,N17111,T0,TC2
L279,N42125,T0,TC2
L280,N13153,T0,TC1
L281,N48291,T0,TC2
L282,N26067,T0,TC1
L283,N48473,T0,TC2
L284,N32007,T0,TC2
L285,N36031,T0,TC2
L286,N06027,T0,TC2
L287,N06037,T0,TD2
L288,N17031,T0,TD2
L289,N48201,T0,TD2
L290,N36081,T0,TD2
L291,N12095,T0,TD2
L292,N42003,T0,TD2
L293,N06037,T0,TE1
L294,N06037,T0,TE2
L295,N17031,T0,TE1
L296,N17031,T0,TE2
L297,N48201,T0,TE1
L298,N48201,T0,TE2
L299,N36081,T0,TE1
L300,N36081,T0,TE2
L301,N12095,T0,TE2
L302,N42003,T0,TE1
L303,N42003,T0,TE2
L304,N06037,T0,TF2
L305,N17031,T0,TF2
L306,N48201,T0,TF2
L307,N36081,T0,TF2
L308,N12095,T0,TF2
L309,N42003,T0,TF2
