,Latitude,Longitude,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
n787,43.2076,-89.2728,-15.8171678,-23.62086683,-18.45321221,0,0,0,0,797.0991044,-12.9251814,-19.20473228,-15.00277132,-17.24728985,-16.99308554,-12.77527455,97.09910436,97.09910436,97.09910436,0,0,0
n788,43.2117,-89.3103,-15.13524852,-24.48333782,-19.29481252,0,0,0,0,797.2806604,-13.51475463,-20.08069857,-15.59164961,-17.27465998,-17.02560975,-12.64580412,97.28066042,97.28066042,97.28066042,0,0,0
n789,43.2047,-89.2195,-15.08026444,-22.6356472,-17.68353398,0,0,0,0,796.694117,-12.38599234,-18.40362494,-14.37692658,-16.86842439,-17.07870739,-12.82498076,96.69411698,96.69411698,96.69411698,0,0,0
n790,43.2172,-89.4751,-16.78361403,-23.49549452,-18.50571923,0,0,0,0,797.2773099,-15.88897834,-23.92498746,-18.73130516,-16.52627335,-16.98883694,-12.43808262,97.27730989,97.27730989,97.27730989,0,0,0
n791,43.2182,-89.4534,-16.26667637,-22.99600802,-18.05279898,0,0,0,0,797.3452213,-15.77050347,-23.43220752,-18.30537888,-16.65055129,-17.16617984,-12.61554766,97.3452213,97.3452213,97.3452213,0,0,0
n792,43.2227,-89.5856,-17.31011826,-23.21253429,-19.66034332,0,0,0,0,796.4400723,-15.45726371,-22.96680736,-17.900848,-16.81661534,-16.6395199,-11.90369819,96.44007232,96.44007232,96.44007232,0,0,0
n793,43.2217,-89.5657,-17.07789645,-23.5971669,-19.26629869,0,0,0,0,796.6201794,-15.69760079,-23.32389139,-18.19305272,-16.74910968,-16.60047757,-12.07060778,96.62017944,96.62017944,96.62017944,0,0,0
n794,43.2195,-89.5445,-17.22376677,-23.72769405,-18.88414236,0,0,0,0,796.8167473,-15.83733899,-23.63266565,-18.4619817,-16.71288605,-16.72668433,-12.17990794,96.81674728,96.81674728,96.81674728,0,0,0
n795,43.2103,-89.3655,-15.77517289,-23.42939185,-18.55056122,0,0,0,0,797.5283992,-14.41311016,-21.4154423,-16.66221358,-17.08693095,-17.24754275,-12.36799298,97.52839922,97.52839922,97.52839922,0,0,0
n796,43.211,-89.3605,-15.65207627,-23.55248848,-18.67365784,0,0,0,0,797.5034399,-14.33070888,-21.29301349,-16.53911696,-17.1122969,-17.31319428,-12.40752227,97.50343989,97.50343989,97.50343989,0,0,0
n797,43.2093,-89.3147,-15.21054005,-24.51089407,-19.36141849,0,0,0,0,797.3432662,-13.58848032,-20.19023751,-15.72452218,-17.20379461,-17.05421536,-12.57493875,97.34326623,97.34326623,97.34326623,0,0,0
n798,43.2171,-89.4664,-16.57326752,-23.31238853,-18.29537271,0,0,0,0,797.3162596,-15.67863183,-23.74459638,-18.55465097,-16.56136586,-17.05156997,-12.50082264,97.3162596,97.3162596,97.3162596,0,0,0
n799,43.2162,-89.4938,-17.18313603,-23.55777157,-18.49121,0,0,0,0,797.1996869,-15.83282239,-23.84293399,-18.66351412,-16.48898249,-16.86204569,-12.31158066,97.1996869,97.1996869,97.1996869,0,0,0
