time,demand,com_gens,started,off,gen_m,gen_p,gen_tot,D_shed
194.0,8196.434207602959,3.0,0.0,4.0,1.715294573045867e-14,9016.077628363306,9016.077628363306,-8.12792436855127e-11
194.25,8171.220388593555,0.0,0.0,3.0,2.304822999121825e-13,8988.342427452908,8988.342427452908,-3.3288177150357904e-10
194.5,8152.002099735273,0.0,0.0,0.0,1.1324274851176597e-14,8967.202309708797,8967.202309708797,1.47044668919132e-12
194.75,8149.04283611487,0.0,0.0,0.0,4.107825191113079e-14,8963.947119726354,8963.947119726354,1.459737561245573e-10
195.0,8146.0835724944645,0.0,0.0,0.0,1.3322676295501878e-15,8960.691929743902,8960.691929743902,4.971197418712088e-11
195.25,8141.396743846069,0.0,0.0,0.0,40.91404574723151,8955.53641823067,8996.4504639779,0.0
195.5,8138.437480225663,0.0,0.0,0.0,0.0,8952.28122824823,8952.28122824823,0.0
195.75,8143.201311721875,0.0,0.0,0.0,0.0,8957.521442894062,8957.521442894062,0.0
196.0,8147.965143218084,0.0,0.0,0.0,0.0,8962.761657539888,8962.761657539888,0.0
196.25,8153.953015809895,0.0,0.0,0.0,0.0,8969.348317390877,8969.348317390877,0.0
196.5,8158.716847306105,0.0,0.0,0.0,0.0,8974.588532036709,8974.588532036709,0.0
196.75,8164.422989047054,0.0,0.0,0.0,0.0,8980.865287951752,8980.865287951752,0.0
197.0,8170.129130788002,1.0,1.0,0.0,0.0,8987.142043866805,8987.142043866805,0.0
197.25,8175.184272937334,1.0,0.0,0.0,0.0,8992.702700231062,8992.702700231062,0.0
197.5,8180.890414678282,2.0,1.0,0.0,0.0,8998.97945614611,8998.97945614611,0.0
197.75,8187.77865928963,3.0,1.0,0.0,0.0,9006.556525218577,9006.556525218577,0.0
198.0,8194.666903900978,4.0,1.0,0.0,0.0,9014.133594291061,9014.133594291061,0.0
198.25,8199.467893670839,6.0,2.0,0.0,1.2545520178264269e-14,9019.414683037923,9019.414683037923,3.3306690738754696e-13
198.5,8206.356138282186,7.0,1.0,0.0,8.43769498715119e-15,9026.991752110407,9026.991752110407,4.226619054747971e-13
198.75,8216.421423638982,9.0,2.0,0.0,2.142730437526552e-14,9038.063566002882,9038.063566002882,5.089262344881718e-13
199.0,8226.486708995777,12.0,3.0,0.0,2.4369395390522186e-14,9049.135379895353,9049.135379895353,3.126388037344441e-13
199.25,8233.467270667314,11.0,0.0,1.0,2.220446049250313e-16,9056.813997734049,9056.813997734049,3.1441516057384433e-13
199.5,8243.532556024109,11.0,0.0,0.0,2.475797344914099e-14,9067.885811626524,9067.885811626524,4.3165471197426086e-13
199.75,8258.769819876397,11.0,0.0,0.0,1.1324274851176597e-14,9084.646801864039,9084.646801864039,4.738431869100168e-13
200.0,8274.007083728686,12.0,1.0,0.0,1.7763568394002505e-14,9101.407792101556,9101.407792101556,5.53335155473178e-13
200.25,8285.207820271,12.0,0.0,0.0,1.3539307522754167,9113.728602298097,9115.082533050372,7.406297797274419e-13
200.5,8300.445084123288,12.0,0.0,0.0,5.995204332975845e-15,9130.489592535616,9130.489592535616,4.525269048372138e-13
200.75,8322.788377220711,12.0,0.0,0.0,2.6756374893466273e-14,9155.067214942781,9155.067214942781,5.173639294753229e-13
201.0,8345.131670318136,15.0,3.0,0.0,3.4416913763379853e-15,9179.644837349946,9179.644837349946,4.813927034774679e-13
201.25,8362.654070981986,17.0,3.0,1.0,3.63141706081557,9198.919478080303,9202.550895141118,-1.7232928840865764e-10
201.5,8384.997364079409,17.0,0.0,0.0,2.2315482794965646e-14,9223.497100487359,9223.497100487359,1.4176111078149725e-10
201.75,8416.137190169977,18.0,1.0,0.0,1.6579992934140364e-10,9257.750909195125,9257.75090919529,-1.0169846494039216e-8
202.0,8447.277016260545,19.0,1.0,0.0,2.7533531010703882e-14,9292.004717886584,9292.004717886584,2.1260454771698634e-10
202.25,8472.796363762587,11.0,0.0,8.0,369.48942701386903,9320.076000141751,9689.56542715562,-5.864536259290239e-9
202.5,8503.936189853157,11.0,0.0,0.0,272.3377555315516,9354.329808839522,9626.667564371073,-3.11325719701849e-9
202.75,8545.502165059475,10.0,0.0,1.0,143.19796216001828,9400.052381565649,9543.250343725667,-2.8341557143907574e-10
203.0,8587.068140265794,10.0,0.0,0.0,10.466019083029574,9445.774954292363,9456.240973375392,-1.3418434617819146e-10
203.25,8622.198828166038,10.0,0.0,0.0,61.352822240037604,9484.418710983018,9545.771533223056,-1.7718860564277833e-9
203.5,8663.764803372354,10.0,0.0,0.0,10.079999999755513,9530.141283711071,9540.221283710827,-2.981078072231189e-9
203.75,8717.38654469203,10.0,0.0,0.0,10.07999979004588,9589.125199371152,9599.205199161199,-2.0989362943998453e-7
204.0,8771.008286011698,10.0,0.0,0.0,10.079999999997666,9648.109114612871,9658.18911461287,-4.606161536876051e-10
204.25,8818.293208869083,11.0,1.0,0.0,17.58000000000002,9700.122529755994,9717.702529755994,4.332534331297211e-12
204.5,8871.914950188755,11.0,0.0,0.0,17.58000000000002,9759.106445207623,9776.686445207622,4.253708496548825e-12
204.75,8938.004371495928,11.0,0.0,0.0,1.2323475573339238e-14,9831.804808645516,9831.804808645516,4.866703612845081e-12
205.0,9004.093792803102,21.0,10.0,0.0,4.9960036108132044e-15,9904.485781621708,9904.485781621708,0.01739046169889824
205.25,9067.293547706282,19.0,0.0,2.0,362.02112899917694,9974.022902476905,10336.044031476082,1.2407654340405145e-11
205.5,9133.382969013455,19.0,0.0,0.0,247.4120110538772,10046.721265914806,10294.133276968683,7.702891282452168e-12
205.75,9207.48117218846,19.0,0.0,0.0,82.03093122865673,10128.2292894073,10210.260220635957,1.0264701858273668e-11
206.0,9281.579375363459,19.0,0.0,0.0,23.020000000000007,10209.737312899799,10232.7573128998,9.147069392884572e-12
206.25,9355.930637786894,19.0,0.0,0.0,23.020000000000017,10291.523701565573,10314.543701565573,6.7846548722857475e-12
206.5,9430.028840961897,19.0,0.0,0.0,23.020000000000017,10373.031725058077,10396.051725058078,4.876987702573388e-12
206.75,9506.459225761597,19.0,0.0,0.0,1.6750994092731761,10457.105148337749,10458.780247747021,2.255529096828468e-12
207.0,9582.889610561298,19.0,0.0,0.0,9.992007221626409e-15,10541.178571617413,10541.178571617413,6.1666227679779695e-12
207.25,9662.411355293494,10.0,0.0,9.0,15.526967892592358,10628.652490822828,10644.17945871542,8.126832540256146e-12
