node,product,amount(tonne/week),time
dairy050,p3,23.596743869999997,12
dairy050,p3,47.193487739999995,13
dairy050,p3,70.79023160999999,14
dairy050,p3,90.31500000000001,15
dairy053,p2,5012.204944704,1
dairy053,p2,5294.5378894079995,2
dairy053,p2,5011.637915881326,3
dairy053,p2,3292.203122330884,4
dairy053,p2,1572.768328780442,5
dairy053,p2,1719.434793550442,6
dairy053,p2,146.66646477,8
dairy053,p2,293.33292954,9
dairy053,p2,439.99939431,10
dairy053,p2,586.66585908,11
dairy053,p2,733.33232385,12
dairy053,p2,189.3070704600001,13
dairy053,p2,335.9735352300001,14
dairy053,p2,482.6400000000001,15
dairy053,p3,4820.7194639009995,1
dairy053,p3,4911.566927802,2
dairy053,p3,4932.557197069762,3
dairy053,p3,4979.750684809762,4
dairy053,p3,5026.944172549762,5
dairy053,p3,2534.4181134581854,6
dairy053,p3,2581.6116011981853,7
dairy053,p3,2628.8050889381852,8
dairy053,p3,2675.998576678185,9
dairy053,p3,2723.192064418185,10
dairy053,p3,2770.385552158185,11
dairy053,p3,341.05953678000003,12
dairy053,p3,388.25302452000005,13
dairy053,p3,435.4465122600001,14
dairy053,p3,482.6400000000001,15
dairy056,p2,4700.773098569999,1
dairy056,p2,4810.772947139999,2
dairy056,p2,4914.399278328632,3
dairy056,p2,5024.399126898632,4
dairy056,p2,5134.398975468632,5
dairy056,p2,5244.398824038632,6
dairy056,p2,5354.398672608631,7
dairy056,p2,3598.2972628581892,8
dairy056,p2,3708.297111428189,9
dairy056,p2,1952.1957016777471,10
dairy056,p2,196.0942919273051,11
dairy056,p2,306.0941404973051,12
dairy056,p2,248.4465528600001,13
dairy056,p2,358.4464014300001,14
dairy056,p2,468.4462500000001,15
dairy056,p3,4626.168365819999,1
dairy056,p3,4661.563481639999,2
dairy056,p3,3840.857070113009,3
dairy056,p3,3876.252185933009,4
dairy056,p3,3911.6473017530084,5
dairy056,p3,3947.0424175730086,6
dairy056,p3,3982.437533393008,7
dairy056,p3,4017.832649213008,8
dairy056,p3,1513.5082182014319,9
dairy056,p3,1548.9033340214319,10
dairy056,p3,326.8657867200001,11
dairy056,p3,362.2609025400001,12
dairy056,p3,397.6560183600001,13
dairy056,p3,433.0511341800001,14
dairy056,p3,468.4462500000001,15
dairy057,p2,3899.83232217,1
dairy057,p2,4119.83201934,2
dairy057,p2,4339.831716510001,3
dairy057,p2,4472.521071472369,4
dairy057,p2,3097.051460400838,5
dairy057,p2,3317.051157570838,6
dairy057,p2,1950.2856987836878,7
dairy057,p2,2170.285395953688,8
dairy057,p2,1417.4872694729374,9
dairy057,p2,1637.4869666429374,10
dairy057,p2,1663.6912157829777,11
dairy057,p2,1883.6909129529777,12
dairy057,p2,865.4040913038875,13
dairy057,p2,155.4934278300001,14
dairy057,p2,375.4931250000001,15
dairy057,p3,3750.62285661,1
dairy057,p3,3821.4130882199997,2
dairy057,p3,1720.807437401918,3
dairy057,p3,1791.597669011918,4
dairy057,p3,1862.387900621918,5
dairy057,p3,1933.1781322319182,6
dairy057,p3,2003.9683638419183,7
dairy057,p3,2074.758595451918,8
dairy057,p3,2145.548827061918,9
dairy057,p3,252.41097664884205,10
dairy057,p3,323.20120825884203,11
dairy057,p3,163.12243017000014,12
dairy057,p3,233.91266178000012,13
dairy057,p3,304.7028933900001,14
dairy057,p3,375.4931250000001,15
dairy058,p2,2290.9937429700003,1
dairy058,p2,2840.9929859400004,2
dairy058,p2,3170.9925317400002,3
dairy058,p2,1992.8331115061014,4
dairy058,p2,2322.8326573061013,5
dairy058,p2,1057.3628948645705,6
dairy058,p2,1387.3624406645704,7
dairy058,p2,234.51528441609082,8
dairy058,p2,564.5148302160908,9
dairy058,p2,894.5143760160908,10
dairy058,p2,1224.5139218160907,11
dairy058,p2,202.0122437973656,12
dairy058,p2,532.0117895973656,13
dairy058,p2,862.0113353973655,14
dairy058,p2,177.65250000000006,15
dairy058,p3,1847.17984743,1
dairy058,p3,1953.3651948600002,2
dairy058,p3,2059.55054229,3
dairy058,p3,2165.73588972,4
dairy058,p3,2271.9212371500003,5
dairy058,p3,2378.1065845800003,6
dairy058,p3,2484.2919320100004,7
dairy058,p3,1556.8162203152133,8
dairy058,p3,629.3405086204262,9
dairy058,p3,106.18534743000001,12
dairy058,p3,212.37069486000001,13
dairy058,p3,71.46715257000005,14
dairy058,p3,177.65250000000006,15
dairy064,p2,979.3224912,1
dairy064,p2,1015.9891074,2
dairy064,p2,1052.6557235999999,3
dairy064,p2,1089.3223397999998,4
dairy064,p2,1125.9889559999997,5
dairy064,p2,1162.6555721999996,6
dairy064,p2,1199.3221883999995,7
dairy064,p2,1235.9888045999994,8
dairy064,p2,1272.6554207999993,9
dairy064,p2,1309.3220369999992,10
dairy064,p2,1345.9886531999991,11
dairy064,p2,295.7323965399439,12
dairy064,p2,332.39901273994394,13
dairy064,p2,59.52275880000002,14
dairy064,p2,96.18937500000003,15
dairy064,p3,1023.5197224149999,1
dairy064,p3,1035.31809435,2
dairy064,p3,1047.116466285,3
dairy064,p3,680.2910840774755,4
dairy064,p3,692.0894560124755,5
dairy064,p3,703.8878279474754,6
dairy064,p3,715.6861998824754,7
dairy064,p3,727.4845718174754,8
dairy064,p3,739.2829437524754,9
dairy064,p3,751.0813156874754,10
dairy064,p3,48.99588726000003,11
dairy064,p3,60.79425919500003,12
dairy064,p3,72.59263113000003,13
dairy064,p3,84.39100306500004,14
dairy064,p3,96.18937500000003,15
dairy066,p2,1587.1939576799998,1
dairy066,p2,1843.8602710199998,2
dairy066,p2,1139.440818163977,3
dairy066,p2,1396.107131503977,4
dairy066,p2,1652.773444843977,5
dairy066,p2,470.06846947432086,6
dairy066,p2,726.7347828143209,7
dairy066,p2,983.4010961543208,8
dairy066,p2,256.66631334,10
dairy066,p2,513.33262668,11
dairy066,p2,769.99894002,12
dairy066,p2,710.5355222566747,13
dairy066,p2,967.2018355966746,14
dairy066,p2,127.29750000000003,15
dairy066,p3,1330.1041035599999,1
dairy066,p3,1412.6927071199998,2
dairy066,p3,1495.2813106799997,3
dairy066,p3,82.58860356000001,5
dairy066,p3,165.17720712000002,6
dairy066,p3,247.76581068000002,7
dairy066,p3,330.35441424000004,8
dairy066,p3,412.94301780000006,9
dairy066,p3,495.5316213600001,10
dairy066,p3,82.58860356000001,13
dairy066,p3,44.70889644000002,14
dairy066,p3,127.29750000000003,15
dairy067,p2,49.65000000000001,2
dairy067,p2,49.65000000000001,3
dairy067,p2,49.65000000000001,5
dairy067,p2,49.65000000000001,8
dairy067,p2,49.65000000000001,10
dairy067,p2,49.65000000000001,12
dairy067,p2,49.65000000000001,13
dairy067,p2,49.65000000000001,14
dairy067,p2,2.4825000000000004,15
