#1.Supply reference no.,2.Node,3.Time,4.Product,5.Bid,6.Capacity,7. Emissions,8. Emissions coefficients
S0161,N06007,T0,Recyclables,80,116134.06500633179,,
S0162,N06009,T0,Recyclables,80,24854.200084423806,,
S0163,N06011,T0,Recyclables,80,11984.254959898692,,
S0164,N06013,T0,Recyclables,80,639807.97804981,,
S0165,N06015,T0,Recyclables,80,15224.102997045167,,
S0166,N06017,T0,Recyclables,80,104913.67665681723,,
S0167,N06019,T0,Recyclables,80,553503.6724356269,,
S0168,N06021,T0,Recyclables,80,15868.341072182355,,
S0169,N06023,T0,Recyclables,80,74884.71929084002,,
S0170,N06025,T0,Recyclables,80,98612.325875897,,
S0171,N06027,T0,Recyclables,80,10435.120303925707,,
S0172,N06029,T0,Recyclables,80,498947.02406078513,,
S0173,N06031,T0,Recyclables,80,83677.41663149008,,
S0174,N06033,T0,Recyclables,80,37404.76994512452,,
S0175,N06035,T0,Recyclables,80,17960.74292950612,,
S0176,N06037,T0,Recyclables,80,5.495234993668214e6,,
S0177,N06039,T0,Recyclables,80,85745.67327986492,,
S0178,N06041,T0,Recyclables,80,143949.89447024063,,
S0179,N06043,T0,Recyclables,80,9400.717602363866,,
S0180,N06045,T0,Recyclables,80,50266.48374841706,,
S0181,N06047,T0,Recyclables,80,154310.93288307302,,
S0182,N06049,T0,Recyclables,80,4774.166314900803,,
S0183,N06051,T0,Recyclables,80,7240.818910932882,,
S0184,N06053,T0,Recyclables,80,240922.54115660617,,
S0185,N06055,T0,Recyclables,80,75738.58168003378,,
S0186,N06057,T0,Recyclables,80,56105.23427606585,,
S0187,N06059,T0,Recyclables,80,1.7488753482482058e6,,
S0188,N06061,T0,Recyclables,80,222102.4482904179,,
S0189,N06063,T0,Recyclables,80,10859.856479527227,,
S0190,N06065,T0,Recyclables,80,1.3269905023216547e6,,
S0191,N06067,T0,Recyclables,80,869806.4584212748,,
S0192,N06069,T0,Recyclables,80,35234.99366821443,,
S0193,N06071,T0,Recyclables,80,1.1971929928239763e6,,
S0194,N06073,T0,Recyclables,80,1.8101410721823554e6,,
S0195,N06075,T0,Recyclables,80,479592.4440692275,,
S0196,N06077,T0,Recyclables,80,427607.809202195,,
S0197,N06079,T0,Recyclables,80,154981.51118615447,,
S0198,N06081,T0,Recyclables,80,419491.1777121148,,
S0199,N06083,T0,Recyclables,80,245967.79231743352,,
S0200,N06085,T0,Recyclables,80,1.0625313212325876e6,,
S0201,N06087,T0,Recyclables,80,148636.26002532715,,
S0202,N06089,T0,Recyclables,80,99958.42127479949,,
S0203,N06091,T0,Recyclables,80,1775.7703672435625,,
S0204,N06093,T0,Recyclables,80,24186.914309835374,,
S0205,N06095,T0,Recyclables,80,248855.33980582524,,
S0206,N06097,T0,Recyclables,80,268265.89278176444,,
S0207,N06099,T0,Recyclables,80,303394.42802870413,,
S0208,N06101,T0,Recyclables,80,54674.081891093294,,
S0209,N06103,T0,Recyclables,80,36123.9763613339,,
S0210,N06105,T0,Recyclables,80,8841.536513296749,,
S0211,N06107,T0,Recyclables,80,259625.20050654284,,
S0212,N06109,T0,Recyclables,80,30521.73913043478,,
S0213,N06111,T0,Recyclables,80,463062.853524694,,
S0214,N06113,T0,Recyclables,80,118752.17391304349,,
S0215,N06115,T0,Recyclables,80,44764.66863655551,,
S0216,N08001,T0,Recyclables,80,285117.60236386664,,
S0217,N08003,T0,Recyclables,80,8986.40776699029,,
S0218,N08005,T0,Recyclables,80,359472.77332207677,,
S0219,N08007,T0,Recyclables,80,7330.814689742508,,
S0220,N08009,T0,Recyclables,80,1923.9341494301393,,
S0221,N08011,T0,Recyclables,80,3100.4643309413254,,
S0222,N08013,T0,Recyclables,80,181505.02321654707,,
S0223,N08014,T0,Recyclables,80,40669.31194596876,,
S0224,N08015,T0,Recyclables,80,10687.547488391727,,
S0225,N08017,T0,Recyclables,80,959.2233009708738,,
S0226,N08019,T0,Recyclables,80,5156.648374841705,,
S0227,N08021,T0,Recyclables,80,4094.2591810890667,,
S0228,N08023,T0,Recyclables,80,1920.0928661882651,,
S0229,N08025,T0,Recyclables,80,3249.7256226255804,,
S0230,N08027,T0,Recyclables,80,2581.342338539468,,
S0231,N08029,T0,Recyclables,80,17118.953144786832,,
S0232,N08031,T0,Recyclables,80,392646.0953989025,,
S0233,N08033,T0,Recyclables,80,1276.4035457999157,,
S0234,N08035,T0,Recyclables,80,196442.12747994935,,
S0235,N08037,T0,Recyclables,80,30582.65090755593,,
S0236,N08039,T0,Recyclables,80,14301.646264246518,,
S0237,N08041,T0,Recyclables,80,400807.72477838746,,
S0238,N08043,T0,Recyclables,80,26855.50865344027,,
S0239,N08045,T0,Recyclables,80,33849.93668214437,,
S0240,N08047,T0,Recyclables,80,3187.1675812579147,,
S0241,N08049,T0,Recyclables,80,8624.778387505276,,
S0242,N08051,T0,Recyclables,80,9283.832840861123,,
S0243,N08053,T0,Recyclables,80,432.41874208526804,,
S0244,N08055,T0,Recyclables,80,3742.5073870831575,,
S0245,N08057,T0,Recyclables,80,756.7327986492191,,
S0246,N08059,T0,Recyclables,80,319874.6306458421,,
S0247,N08061,T0,Recyclables,80,793.4993668214437,,
S0248,N08063,T0,Recyclables,80,3889.024905023217,,
S0249,N08065,T0,Recyclables,80,4080.540312368088,,
S0250,N08067,T0,Recyclables,80,30531.61671591389,,
S0251,N08069,T0,Recyclables,80,197039.17264668638,,
S0252,N08071,T0,Recyclables,80,7987.125369354158,,
S0253,N08073,T0,Recyclables,80,3114.183199662305,,
S0254,N08075,T0,Recyclables,80,11813.59223300971,,
S0255,N08077,T0,Recyclables,80,85442.7606585057,,
S0256,N08079,T0,Recyclables,80,474.67285774588436,,
S0257,N08081,T0,Recyclables,80,7294.048121570283,,
S0258,N08083,T0,Recyclables,80,14184.761502743773,,
S0259,N08085,T0,Recyclables,80,23420.30392570705,,
S0260,N08087,T0,Recyclables,80,15974.799493457156,,
S0261,N08089,T0,Recyclables,80,10256.226255804137,,
S0262,N08091,T0,Recyclables,80,2674.6306458421277,,
S0263,N08093,T0,Recyclables,80,9542.845082313212,,
S0264,N08095,T0,Recyclables,80,2485.859012241452,,
S0265,N08097,T0,Recyclables,80,9525.284930350359,,
S0266,N08099,T0,Recyclables,80,6584.508231321232,,
S0267,N08101,T0,Recyclables,80,92279.69607429295,,
S0268,N08103,T0,Recyclables,80,3582.819755170958,,
S0269,N08105,T0,Recyclables,80,6332.081046855214,,
S0270,N08107,T0,Recyclables,80,13625.031658927817,,
S0271,N08109,T0,Recyclables,80,3494.470240607852,,
S0272,N08111,T0,Recyclables,80,386.8720979316167,,
S0273,N08113,T0,Recyclables,80,4429.548332629802,,
S0274,N08115,T0,Recyclables,80,1319.2064162093711,,
S0275,N08117,T0,Recyclables,80,17041.578725200507,,
S0276,N08119,T0,Recyclables,80,13559.729843815956,,
S0277,N08121,T0,Recyclables,80,2643.3516251582946,,
S0278,N08123,T0,Recyclables,80,180529.88602785987,,
S0279,N08125,T0,Recyclables,80,5480.962431405656,,
S0280,N09001,T0,Recyclables,80,525388.2228788518,,
S0281,N09003,T0,Recyclables,80,493603.79907133814,,
S0282,N09005,T0,Recyclables,80,101621.69691853103,,
S0283,N09007,T0,Recyclables,80,90130.22372308992,,
S0284,N09009,T0,Recyclables,80,474582.31321232585,,
S0285,N09011,T0,Recyclables,80,147370.83157450403,,
S0286,N09013,T0,Recyclables,80,82196.87631912199,,
S0287,N09015,T0,Recyclables,80,63884.9303503588,,
S0288,N10001,T0,Recyclables,80,99791.59983115237,,
S0289,N10003,T0,Recyclables,80,313184.76150274376,,
S0290,N10005,T0,Recyclables,80,130262.30476994513,,
S0291,N11001,T0,Recyclables,80,378391.0932883073,,
S0292,N12001,T0,Recyclables,80,152810.63739974672,,
S0293,N12003,T0,Recyclables,80,15507.26044744618,,
S0294,N12005,T0,Recyclables,80,96150.61207260448,,
S0295,N12007,T0,Recyclables,80,15531.405656395104,,
S0296,N12009,T0,Recyclables,80,332881.2157028282,,
S0297,N12011,T0,Recyclables,80,1.0669850147741663e6,,
S0298,N12013,T0,Recyclables,80,7489.404812157029,,
S0299,N12015,T0,Recyclables,80,102533.1785563529,,
S0300,N12017,T0,Recyclables,80,84422.07682566483,,
S0301,N12019,T0,Recyclables,80,119762.98016040523,,
S0302,N12021,T0,Recyclables,80,206195.6943858168,,
S0303,N12023,T0,Recyclables,80,38247.10848459265,,
S0304,N12027,T0,Recyclables,80,18644.49134655973,,
S0305,N12029,T0,Recyclables,80,9196.580835795696,,
S0306,N12031,T0,Recyclables,80,546322.1190375686,,
S0307,N12033,T0,Recyclables,80,176646.89742507387,,
S0308,N12035,T0,Recyclables,80,63314.22541156606,,
S0309,N12037,T0,Recyclables,80,6832.545377796539,,
S0310,N12039,T0,Recyclables,80,24049.72562262558,,
S0311,N12041,T0,Recyclables,80,9802.95483326298,,
S0312,N12043,T0,Recyclables,80,6654.200084423807,,
S0313,N12045,T0,Recyclables,80,7787.9273955255385,,
S0314,N12047,T0,Recyclables,80,7684.761502743774,,
S0315,N12049,T0,Recyclables,80,13898.311523849725,,
S0316,N12051,T0,Recyclables,80,21741.11439425918,,
S0317,N12053,T0,Recyclables,80,106741.02997045167,,
S0318,N12055,T0,Recyclables,80,55553.18699873364,,
S0319,N12057,T0,Recyclables,80,801051.3296749684,,
S0320,N12059,T0,Recyclables,80,10784.67707893626,,
S0321,N12061,T0,Recyclables,80,87684.42380751371,,
S0322,N12063,T0,Recyclables,80,25966.52596032081,,
S0323,N12065,T0,Recyclables,80,7962.431405656395,,
S0324,N12067,T0,Recyclables,80,4514.056563951034,,
S0325,N12069,T0,Recyclables,80,210697.67834529336,,
S0326,N12071,T0,Recyclables,80,417504.685521317,,
S0327,N12073,T0,Recyclables,80,160345.04010130858,,
S0328,N12075,T0,Recyclables,80,23549.810046433096,,
S0329,N12077,T0,Recyclables,80,4375.770367243563,,
S0330,N12079,T0,Recyclables,80,9860.025327142253,,
S0331,N12081,T0,Recyclables,80,219342.76065850572,,
S0332,N12083,T0,Recyclables,80,206281.3001266357,,
S0333,N12085,T0,Recyclables,80,86939.76361333896,,
S0334,N12086,T0,Recyclables,80,1.4826074715069649e6,,
S0335,N12087,T0,Recyclables,80,45477.50105529759,,
S0336,N12089,T0,Recyclables,80,49581.089067116925,,
S0337,N12091,T0,Recyclables,80,116153.82017728999,,
S0338,N12093,T0,Recyclables,80,21754.83326298016,,
S0339,N12095,T0,Recyclables,80,784668.8054031237,,
S0340,N12097,T0,Recyclables,80,213276.82566483747,,
S0341,N12099,T0,Recyclables,80,818846.8974250739,,
S0342,N12101,T0,Recyclables,80,308340.3545799916,,
S0343,N12103,T0,Recyclables,80,526314.5208948923,,
S0344,N12105,T0,Recyclables,80,397872.4356268468,,
S0345,N12107,T0,Recyclables,80,40235.24693963698,,
S0346,N12109,T0,Recyclables,80,150043.26720135077,,
S0347,N12111,T0,Recyclables,80,180664.33094132546,,
S0348,N12113,T0,Recyclables,80,103165.89278176446,,
S0349,N12115,T0,Recyclables,80,238162.85352469396,,
S0350,N12117,T0,Recyclables,80,258384.46601941745,,
S0351,N12119,T0,Recyclables,80,71202.02617138032,,
S0352,N12121,T0,Recyclables,80,23856.563951034193,,
S0353,N12123,T0,Recyclables,80,11960.658505698606,,
S0354,N12125,T0,Recyclables,80,8860.742929506121,,
S0355,N12127,T0,Recyclables,80,303759.34993668215,,
S0356,N12129,T0,Recyclables,80,18528.155339805828,,
S0357,N12131,T0,Recyclables,80,41323.9763613339,,
S0358,N12133,T0,Recyclables,80,13893.372731110172,,
S0359,N13001,T0,Recyclables,80,10121.2325875897,,
S0360,N13003,T0,Recyclables,80,4546.981848881384,,
S0361,N13005,T0,Recyclables,80,6113.127902068383,,
S0362,N13007,T0,Recyclables,80,1578.2186576614606,,
S0363,N13009,T0,Recyclables,80,24034.909244406925,,
S0364,N13011,T0,Recyclables,80,9896.79189531448,,
S0365,N13013,T0,Recyclables,80,45823.76530181512,,
S0366,N13015,T0,Recyclables,80,59759.94090333474,,
S0367,N13017,T0,Recyclables,80,9435.289151540734,,
S0368,N13019,T0,Recyclables,80,9965.386238919375,,
S0369,N13021,T0,Recyclables,80,86344.36471084846,,
S0370,N13023,T0,Recyclables,80,6904.9810046433095,,
S0371,N13025,T0,Recyclables,80,9889.10932883073,,
S0372,N13027,T0,Recyclables,80,8945.251160827354,,
S0373,N13029,T0,Recyclables,80,24550.189953566904,,
S0374,N13031,T0,Recyclables,80,44503.46137610806,,
S0375,N13033,T0,Recyclables,80,13497.17180244829,,
S0376,N13035,T0,Recyclables,80,13957.028281975518,,
S0377,N13037,T0,Recyclables,80,3058.2102152807092,,
S0378,N13039,T0,Recyclables,80,30054.200084423806,,
S0379,N13043,T0,Recyclables,80,6025.875897002955,,
S0380,N13045,T0,Recyclables,80,65383.030814689744,,
S0381,N13047,T0,Recyclables,80,37245.082313212326,,
S0382,N13049,T0,Recyclables,80,6869.311945968763,,
S0383,N13051,T0,Recyclables,80,162042.33853946815,,
S0384,N13053,T0,Recyclables,80,5248.839172646686,,
S0385,N13055,T0,Recyclables,80,13699.662304769945,,
S0386,N13057,T0,Recyclables,80,146308.99113550023,,
S0387,N13059,T0,Recyclables,80,70608.8222878852,,
S0388,N13061,T0,Recyclables,80,1562.853524693964,,
S0389,N13063,T0,Recyclables,80,163306.6694807936,,
S0390,N13065,T0,Recyclables,80,3703.5457999155765,,
S0391,N13067,T0,Recyclables,80,420427.9020683833,,
S0392,N13069,T0,Recyclables,80,23646.93963697763,,
S0393,N13071,T0,Recyclables,80,25186.745462220344,,
S0394,N13073,T0,Recyclables,80,85611.22836639931,,
S0395,N13075,T0,Recyclables,80,9454.495567750106,,
S0396,N13077,T0,Recyclables,80,80204.89658083579,,
S0397,N13079,T0,Recyclables,80,6656.395103419164,,
S0398,N13081,T0,Recyclables,80,11045.335584634866,,
S0399,N13083,T0,Recyclables,80,8917.813423385394,,
S0400,N13085,T0,Recyclables,80,14705.529759392148,,
S0401,N13087,T0,Recyclables,80,16115.280709159983,,
S0402,N13089,T0,Recyclables,80,419458.2524271845,,
S0403,N13091,T0,Recyclables,80,10933.938370620515,,
S0404,N13093,T0,Recyclables,80,6150.443224989447,,
S0405,N13095,T0,Recyclables,80,47077.669902912625,,
S0406,N13097,T0,Recyclables,80,79150.73870831575,,
S0407,N13099,T0,Recyclables,80,5956.18404390038,,
S0408,N13101,T0,Recyclables,80,2028.7463064584213,,
S0409,N13103,T0,Recyclables,80,35542.29632756437,,
S0410,N13105,T0,Recyclables,80,10775.897002954833,,
S0411,N13107,T0,Recyclables,80,12494.048121570284,,
S0412,N13109,T0,Recyclables,80,5912.283663993246,,
S0413,N13111,T0,Recyclables,80,13893.921485859013,,
S0414,N13113,T0,Recyclables,80,65408.273533136344,,
S0415,N13115,T0,Recyclables,80,54098.438159560996,,
S0416,N13117,T0,Recyclables,80,137892.73955255383,,
S0417,N13119,T0,Recyclables,80,12854.03123680878,,
S0418,N13121,T0,Recyclables,80,585362.1781342338,,
S0419,N13123,T0,Recyclables,80,17205.10764035458,,
S0420,N13125,T0,Recyclables,80,1582.6086956521738,,
S0421,N13127,T0,Recyclables,80,46369.22752216125,,
S0422,N13129,T0,Recyclables,80,31577.54326720135,,
S0423,N13131,T0,Recyclables,80,14397.129590544533,,
S0424,N13133,T0,Recyclables,80,10379.69607429295,,
S0425,N13135,T0,Recyclables,80,525192.3174335163,,
S0426,N13137,T0,Recyclables,80,25259.729843815956,,
S0427,N13139,T0,Recyclables,80,111471.84466019417,,
S0428,N13141,T0,Recyclables,80,4793.372731110173,,
S0429,N13143,T0,Recyclables,80,16418.193330519207,,
S0430,N13145,T0,Recyclables,80,19024.229632756436,,
S0431,N13147,T0,Recyclables,80,14173.23765301815,,
S0432,N13149,T0,Recyclables,80,6262.389193752638,,
S0433,N13151,T0,Recyclables,80,132091.85310257494,,
S0434,N13153,T0,Recyclables,80,89794.38581680034,,
S0435,N13155,T0,Recyclables,80,5304.263402279443,,
S0436,N13157,T0,Recyclables,80,41654.326720135075,,
S0437,N13159,T0,Recyclables,80,8005.23427606585,,
S0438,N13161,T0,Recyclables,80,8110.046433094133,,
S0439,N13163,T0,Recyclables,80,8620.388349514562,,
S0440,N13165,T0,Recyclables,80,4759.8986914309835,,
S0441,N13167,T0,Recyclables,80,5042.5073870831575,,
S0442,N13169,T0,Recyclables,80,15555.550865344027,,
S0443,N13171,T0,Recyclables,80,10151.962853524694,,
S0444,N13173,T0,Recyclables,80,5420.050654284508,,
S0445,N13175,T0,Recyclables,80,27201.77289995779,,
S0446,N13177,T0,Recyclables,80,18198.353735753484,,
S0447,N13179,T0,Recyclables,80,35809.53989024905,,
S0448,N13181,T0,Recyclables,80,4219.924018573238,,
S0449,N13183,T0,Recyclables,80,8872.266779231744,,
S0450,N13185,T0,Recyclables,80,64890.79780498101,,
S0451,N13187,T0,Recyclables,80,18376.699029126212,,
S0452,N13189,T0,Recyclables,80,11870.662726888982,,
S0453,N13191,T0,Recyclables,80,6022.58336850992,,
S0454,N13193,T0,Recyclables,80,6630.054875474884,,
S0455,N13195,T0,Recyclables,80,16528.49303503588,,
S0456,N13197,T0,Recyclables,80,4114.563106796117,,
S0457,N13199,T0,Recyclables,80,11311.481637821866,,
S0458,N13201,T0,Recyclables,80,3292.528493035036,,
S0459,N13205,T0,Recyclables,80,11938.1595609962,,
S0460,N13207,T0,Recyclables,80,15341.536513296749,,
S0461,N13209,T0,Recyclables,80,4724.778387505276,,
S0462,N13211,T0,Recyclables,80,11028.324187420852,,
S0463,N13213,T0,Recyclables,80,21935.373575348247,,
S0464,N13215,T0,Recyclables,80,113549.4301392993,,
S0465,N13217,T0,Recyclables,80,61725.58041367666,,
S0466,N13219,T0,Recyclables,80,22937.399746728577,,
S0467,N13221,T0,Recyclables,80,8135.289151540735,,
S0468,N13223,T0,Recyclables,80,92553.52469396369,,
S0469,N13225,T0,Recyclables,80,15354.70662726889,,
S0470,N13227,T0,Recyclables,80,18227.437737441956,,
S0471,N13229,T0,Recyclables,80,10819.248628113128,,
S0472,N13231,T0,Recyclables,80,10365.428450823132,,
S0473,N13233,T0,Recyclables,80,23515.787252005066,,
S0474,N13235,T0,Recyclables,80,5407.978049810046,,
S0475,N13237,T0,Recyclables,80,12098.395947657238,,
