WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: ((1.000000 * <_var0_>) + (1.000000 * <_var1_>) + (1.000000 * <_var2_>) + (1.000000 * <_var3_>)) == 8;
violation: left hand side is violated by 8 (scaled: 8)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 250 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 0 del vars, 495 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 0 deleted vars, 495 deleted constraints, 0 added constraints, 3234 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 1906 variables (0 bin, 0 int, 0 impl, 1906 cont) and 902 constraints
    901 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 2.06

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   841 |     - |9108k| 3.614750e+05 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   4500 |  4501 | 26938 |   5.8 | 427M| 3.797861e+05 | 6.942612e+05 |  82.80%
   4600 |  4601 | 27300 |   5.8 | 432M| 3.798282e+05 | 6.942612e+05 |  82.78%
   4700 |  4701 | 27654 |   5.7 | 437M| 3.798689e+05 | 6.942612e+05 |  82.76%
   4800 |  4801 | 28028 |   5.7 | 442M| 3.798689e+05 | 6.942612e+05 |  82.76%
   4900 |  4901 | 28395 |   5.6 | 447M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5000 |  5001 | 28761 |   5.6 | 452M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5100 |  5101 | 29123 |   5.5 | 496M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5200 |  5201 | 29474 |   5.5 | 501M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5300 |  5301 | 29826 |   5.5 | 506M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5400 |  5401 | 30183 |   5.4 | 511M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5500 |  5501 | 30577 |   5.4 | 516M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5600 |  5601 | 30950 |   5.4 | 521M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5700 |  5701 | 31318 |   5.3 | 526M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5800 |  5801 | 31701 |   5.3 | 531M| 3.798689e+05 | 6.942612e+05 |  82.76%
   5900 |  5901 | 32103 |   5.3 | 536M| 3.798689e+05 | 6.942612e+05 |  82.76%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   6000 |  6001 | 32505 |   5.3 | 541M| 3.798689e+05 | 6.942612e+05 |  82.76%
   6100 |  6101 | 32907 |   5.3 | 592M| 3.798689e+05 | 6.942612e+05 |  82.76%
   6200 |  6201 | 33304 |   5.2 | 597M| 3.805789e+05 | 6.942612e+05 |  82.42%
   6300 |  6301 | 33699 |   5.2 | 602M| 3.805925e+05 | 6.942612e+05 |  82.42%
   6400 |  6401 | 34097 |   5.2 | 607M| 3.806408e+05 | 6.942612e+05 |  82.39%
   6500 |  6501 | 34504 |   5.2 | 612M| 3.806697e+05 | 6.942612e+05 |  82.38%
   6600 |  6601 | 34898 |   5.2 | 617M| 3.806697e+05 | 6.942612e+05 |  82.38%
   6700 |  6701 | 35268 |   5.1 | 622M| 3.807502e+05 | 6.942612e+05 |  82.34%
   6800 |  6801 | 35655 |   5.1 | 627M| 3.807617e+05 | 6.942612e+05 |  82.33%
   6900 |  6901 | 36019 |   5.1 | 632M| 3.807885e+05 | 6.942612e+05 |  82.32%
   7000 |  7001 | 36383 |   5.1 | 637M| 3.808076e+05 | 6.942612e+05 |  82.31%
   7100 |  7101 | 36742 |   5.1 | 643M| 3.808343e+05 | 6.942612e+05 |  82.30%
   7200 |  7201 | 37106 |   5.0 | 648M| 3.808576e+05 | 6.942612e+05 |  82.29%
   7300 |  7301 | 37465 |   5.0 | 708M| 3.808747e+05 | 6.942612e+05 |  82.28%
   7400 |  7401 | 37816 |   5.0 | 713M| 3.808891e+05 | 6.942612e+05 |  82.27%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   7500 |  7501 | 38185 |   5.0 | 718M| 3.809236e+05 | 6.942612e+05 |  82.26%
   7600 |  7601 | 38571 |   5.0 | 723M| 3.809236e+05 | 6.942612e+05 |  82.26%
   7700 |  7701 | 38931 |   4.9 | 728M| 3.809658e+05 | 6.942612e+05 |  82.24%
   7800 |  7801 | 39325 |   4.9 | 733M| 3.809658e+05 | 6.942612e+05 |  82.24%
   7900 |  7901 | 39729 |   4.9 | 738M| 3.809779e+05 | 6.942612e+05 |  82.23%
   8000 |  8001 | 40108 |   4.9 | 743M| 3.810041e+05 | 6.942612e+05 |  82.22%
   8100 |  8101 | 40473 |   4.9 | 748M| 3.810041e+05 | 6.942612e+05 |  82.22%
   8200 |  8201 | 40837 |   4.9 | 753M| 3.810513e+05 | 6.942612e+05 |  82.20%
   8300 |  8301 | 41215 |   4.9 | 758M| 3.810513e+05 | 6.942612e+05 |  82.20%
   8400 |  8401 | 41572 |   4.8 | 763M| 3.811845e+05 | 6.942612e+05 |  82.13%
   8500 |  8501 | 41952 |   4.8 | 768M| 3.811845e+05 | 6.942612e+05 |  82.13%
   8600 |  8601 | 42318 |   4.8 | 773M| 3.811917e+05 | 6.942612e+05 |  82.13%
   8700 |  8701 | 42676 |   4.8 | 778M| 3.811917e+05 | 6.942612e+05 |  82.13%
   8800 |  8801 | 43044 |   4.8 | 850M| 3.812383e+05 | 6.942612e+05 |  82.11%
   8900 |  8901 | 43402 |   4.8 | 855M| 3.812383e+05 | 6.942612e+05 |  82.11%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   9000 |  9001 | 43780 |   4.8 | 860M| 3.812552e+05 | 6.942612e+05 |  82.10%
   9100 |  9101 | 44135 |   4.8 | 865M| 3.812552e+05 | 6.942612e+05 |  82.10%
   9200 |  9201 | 44504 |   4.7 | 870M| 3.814022e+05 | 6.942612e+05 |  82.03%
   9300 |  9301 | 44856 |   4.7 | 875M| 3.814284e+05 | 6.942612e+05 |  82.02%
   9400 |  9401 | 45210 |   4.7 | 880M| 3.814409e+05 | 6.942612e+05 |  82.01%
   9500 |  9501 | 45564 |   4.7 | 885M| 3.814571e+05 | 6.942612e+05 |  82.00%
   9600 |  9601 | 45934 |   4.7 | 890M| 3.814571e+05 | 6.942612e+05 |  82.00%
   9700 |  9701 | 46293 |   4.7 | 895M| 3.814571e+05 | 6.942612e+05 |  82.00%
   9800 |  9801 | 46652 |   4.7 | 900M| 3.814571e+05 | 6.942612e+05 |  82.00%
   9900 |  9901 | 47009 |   4.7 | 905M| 3.814571e+05 | 6.942612e+05 |  82.00%
  10000 | 10001 | 47364 |   4.7 | 910M| 3.814571e+05 | 6.942612e+05 |  82.00%
  10100 | 10101 | 47723 |   4.6 | 915M| 3.814571e+05 | 6.942612e+05 |  82.00%
  10200 | 10201 | 48087 |   4.6 | 920M| 3.814571e+05 | 6.942612e+05 |  82.00%
  10300 | 10301 | 48434 |   4.6 | 925M| 3.815043e+05 | 6.942612e+05 |  81.98%
  10400 | 10401 | 48800 |   4.6 | 930M| 3.815043e+05 | 6.942612e+05 |  81.98%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  10500 | 10501 | 49174 |   4.6 | 936M| 3.815332e+05 | 6.942612e+05 |  81.97%
  10600 | 10601 | 49548 |   4.6 |1021M| 3.815332e+05 | 6.942612e+05 |  81.97%
  10700 | 10701 | 49917 |   4.6 |1026M| 3.815332e+05 | 6.942612e+05 |  81.97%
  10800 | 10801 | 50296 |   4.6 |1031M| 3.815332e+05 | 6.942612e+05 |  81.97%
  10900 | 10901 | 50670 |   4.6 |1036M| 3.815332e+05 | 6.942612e+05 |  81.97%
  11000 | 11001 | 51046 |   4.6 |1041M| 3.815332e+05 | 6.942612e+05 |  81.97%
  11100 | 11101 | 51427 |   4.6 |1046M| 3.815937e+05 | 6.942612e+05 |  81.94%
  11200 | 11201 | 51803 |   4.6 |1051M| 3.815937e+05 | 6.942612e+05 |  81.94%
  11300 | 11301 | 52180 |   4.5 |1056M| 3.815937e+05 | 6.942612e+05 |  81.94%
  11400 | 11401 | 52534 |   4.5 |1061M| 3.816322e+05 | 6.942612e+05 |  81.92%
  11500 | 11501 | 52889 |   4.5 |1066M| 3.816322e+05 | 6.942612e+05 |  81.92%
  11600 | 11601 | 53250 |   4.5 |1071M| 3.818387e+05 | 6.942612e+05 |  81.82%
  11700 | 11701 | 53620 |   4.5 |1076M| 3.818387e+05 | 6.942612e+05 |  81.82%
  11800 | 11801 | 53947 |   4.5 |1081M| 3.818387e+05 | 6.942612e+05 |  81.82%
  11900 | 11901 | 54287 |   4.5 |1086M| 3.818387e+05 | 6.942612e+05 |  81.82%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  12000 | 12001 | 54649 |   4.5 |1091M| 3.819282e+05 | 6.942612e+05 |  81.78%
y 12001 | 12000 | 54649 |   4.5 |1091M| 3.819282e+05 | 6.386830e+05 |  67.23%
  12100 | 12101 | 55059 |   4.5 |1096M| 3.819478e+05 | 6.386830e+05 |  67.22%
  12200 | 12201 | 55449 |   4.5 |1101M| 3.819496e+05 | 6.386830e+05 |  67.22%
  12300 | 12301 | 55843 |   4.5 |1106M| 3.819566e+05 | 6.386830e+05 |  67.21%
  12400 | 12401 | 56244 |   4.5 |1111M| 3.819827e+05 | 6.386830e+05 |  67.20%
  12500 | 12501 | 56652 |   4.5 |1116M| 3.819827e+05 | 6.386830e+05 |  67.20%
  12600 | 12601 | 57076 |   4.5 |1121M| 3.819940e+05 | 6.386830e+05 |  67.20%
  12700 | 12701 | 57486 |   4.5 |1222M| 3.819992e+05 | 6.386830e+05 |  67.19%
  12800 | 12801 | 57907 |   4.5 |1227M| 3.820270e+05 | 6.386830e+05 |  67.18%
