#DEMS,dem_node,dem_prod,dem_cap,dem_price
d222,n19,p4,600000,0.18
d223,n20,p4,600000,0.18
d224,n21,p4,600000,0.18
d225,n22,p4,600000,0.18
d226,n23,p4,600000,0.18
d227,n24,p4,600000,0.18
d228,n25,p4,600000,0.18
d229,n26,p4,600000,0.18
d230,n27,p4,600000,0.18
d231,n28,p4,600000,0.18
d232,n29,p4,600000,0.18
d233,n30,p4,600000,0.18
d234,n31,p4,600000,0.18
d235,n32,p4,600000,0.18
d236,n33,p4,600000,0.18
d237,n34,p4,600000,0.18
d238,n35,p4,600000,0.18
d239,n36,p4,600000,0.18
d240,n37,p4,600000,0.18
d241,n38,p4,600000,0.18
d242,n39,p4,600000,0.18
d243,n40,p4,600000,0.18
d244,n41,p4,600000,0.18
d245,n42,p4,600000,0.18
d246,n43,p4,600000,0.18
d247,n44,p4,600000,0.18
d248,n45,p4,600000,0.18
d249,n46,p4,600000,0.18
d250,n47,p4,600000,0.18
d251,n48,p4,600000,0.18
d252,n49,p4,600000,0.18
d253,n50,p4,600000,0.18
d254,n51,p4,600000,0.18
d255,n52,p4,600000,0.18
d256,n53,p4,600000,0.18
d257,n54,p4,600000,0.18
d258,n55,p4,600000,0.18
d259,n56,p4,600000,0.18
d260,n57,p4,600000,0.18
d261,n58,p4,600000,0.18
d262,n59,p4,600000,0.18
d263,n60,p4,600000,0.18
d264,n61,p4,600000,0.18
d265,n62,p4,600000,0.18
d266,n63,p4,600000,0.18
d267,n64,p4,600000,0.18
d268,n65,p4,600000,0.18
d269,n66,p4,600000,0.18
d270,n67,p4,600000,0.18
d271,n68,p4,600000,0.18
d272,n69,p4,600000,0.18
d273,n70,p4,600000,0.18
d274,n71,p4,600000,0.18
d275,n72,p4,600000,0.18
d276,n73,p4,600000,0.18
d277,n74,p4,600000,0.18
d278,n75,p4,600000,0.18
d279,n76,p4,600000,0.18
d280,n77,p4,600000,0.18
d281,n78,p4,600000,0.18
d282,n79,p4,600000,0.18
d283,n80,p4,600000,0.18
d284,n81,p4,600000,0.18
d285,n82,p4,600000,0.18
d286,n83,p4,600000,0.18
d287,n84,p4,600000,0.18
d288,n85,p4,600000,0.18
d289,n86,p4,600000,0.18
d290,n87,p4,600000,0.18
d291,n88,p4,600000,0.18
d292,n89,p4,600000,0.18
d293,n90,p4,600000,0.18
d294,n91,p4,600000,0.18
d295,n92,p4,600000,0.18
d296,n93,p4,600000,0.18
d297,n94,p4,600000,0.18
d298,n95,p4,600000,0.18
d299,n96,p4,600000,0.18
d300,n97,p4,600000,0.18
d301,n98,p4,600000,0.18
d302,n99,p4,600000,0.18
d303,n100,p4,600000,0.18
