,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n15,-0.06360324440275016,-0.030679960001420092,-0.04349985912331365,0.0,0.0817103121900757,0.09870782321829842,0.12012161596730621,801.2343843795312,-0.061603244402750154,-0.061603244402750154,-0.061603244402750154,1.2918793599900213,0.8688616330935549,0.9916594401763574,101.05017952110776,101.18464435226971,101.06343607303567,0.09049685024378668,0.06038933977151137,0.09771560195716147,
n16,-0.04504932090255729,-0.04504932090255729,-0.04504932090255729,0.0,0.12628989903056148,0.12291915735106368,0.16470120280779207,801.1697750989246,0.04704932090255729,0.07183772373534497,0.08898787474350127,1.2738393238131342,0.9658239437725699,1.0911583352561287,101.04826682468172,101.27012185902083,101.16979804361819,0.10970324575826151,0.09124161039569514,0.12012102853769205,
n17,-0.0865527286304539,-0.0865527286304539,-0.0865527286304539,0.0,0.005619153534036747,0.022616664562259414,0.008084077944597812,801.1638822821451,-0.0845527286304539,-0.08357509903474976,-0.0845527286304539,1.3132320331824572,0.8371132163437881,0.9782114784101056,101.06934197031312,101.27736837432472,101.13429728764909,0.08823263812916604,0.09382408880746099,0.07424561648527445,
n18,-0.09128290721398744,-0.035189789662882345,-0.035189789662882345,0.0,0.0656703199132034,0.08266783094142607,0.06813524432376447,801.1976016117453,-0.08928290721398743,-0.013509152796537985,-0.08928290721398743,1.2626842705082781,0.888879872281203,1.0117873369538983,101.01879420763893,101.22682061165054,101.0837495249749,0.08859347064634912,0.06161270619556106,0.0746064490024575,
n19,-0.09105930449472725,0.07098532281584424,0.07098532281584424,0.0,0.06975970257386527,0.08675721360208796,0.16517130923801357,801.1937291738299,-0.00021376065187980742,0.10122683854893565,0.019992431134612743,1.237971887738827,0.8489806538020339,1.0031331890109552,101.06770079977564,101.15438334845396,101.11990700150918,0.14654850828537053,0.11644099781309522,0.09009572558180037,
n20,-0.10008444852781713,0.09464016442366138,0.06710371950900575,0.0,0.23665953154769095,0.2794879177648899,0.23665953154769095,801.0782287063007,0.0007524886288947652,0.06910371950900575,0.029901876821042048,1.1480766246033303,0.8599710649322944,1.01003886807299,100.9710327344633,101.2111798139282,101.13747505263639,0.23532404203760238,0.2304799270875479,0.27612922457612055,
n21,-0.05684273619725904,-0.05684273619725904,-0.05684273619725904,0.0,0.07378875277637312,0.09078626380459578,0.11220005655360357,801.2431407334634,-0.05484273619725904,0.0456381259353082,-0.05484273619725904,1.3105443557606733,0.9261827738092485,1.0576652836222247,101.04918785267664,101.27934674167474,101.20763002943393,0.04478303114776663,0.10418958093399558,0.08979404254345882,
n22,-0.06669966861556442,0.1906281097383295,0.140786475380083,0.0,-0.03329141441060879,-0.01848886742947041,-0.03329141441060879,801.1510474306393,-0.06469966861556442,0.2396637737900436,0.1408482767467965,1.2762342728738312,0.9684866433745738,1.0507473688871143,101.08611895868047,101.27355277582149,101.14810458762165,0.1871200026104473,0.09154768163054078,0.084352903277612,
n23,-0.04868214761380018,0.18211293681789004,0.13227130245964355,0.0,-0.015273893408844545,-0.0004713464277061666,-0.015273893408844545,801.1606567751736,-0.04668214761380018,0.22164625278827937,0.12283075574503227,1.2858436174081054,0.9588772988402995,1.04113802435284,101.0765096141462,101.26394343128722,101.15771393215591,0.1786048296900079,0.10956520263230501,0.07583773035717256,
n24,-0.07890695201135625,0.021032999174315364,0.014337070063356827,0.0,0.03643426736649774,0.05123681434763612,0.03643426736649774,801.1346934253096,0.01115913574887209,0.14274799997667903,0.02942750768651288,1.2564331407184917,0.9273990223207645,1.0096597478333051,101.01843771950095,101.19522732320675,101.17523202755828,0.1638302861040108,0.1012294850999937,0.06632224673858934,
