# 1. Storage ID| 2. Storage node|3. Storage product| 4. Storage bid| 5. Storage capacity
L075|NC168|Digestate|0.0007995495625570776|28.538812785388128
L076|NC173|Digestate|0.0007995495625570776|28.538812785388128
L077|NC174|Digestate|0.0007995495625570776|28.538812785388128
L078|NC175|Digestate|0.0007995495625570776|28.538812785388128
L079|NC179|Digestate|0.0007995495625570776|28.538812785388128
L080|NC189|Digestate|0.0007995495625570776|28.538812785388128
L081|NC190|Digestate|0.0007995495625570776|28.538812785388128
L082|NC192|Digestate|0.0007995495625570776|28.538812785388128
L083|NC193|Digestate|0.0007995495625570776|28.538812785388128
L084|NC194|Digestate|0.0007995495625570776|28.538812785388128
L085|NC195|Digestate|0.0007995495625570776|28.538812785388128
L086|NC196|Digestate|0.0007995495625570776|28.538812785388128
L087|NC197|Digestate|0.0007995495625570776|28.538812785388128
L088|NC198|Digestate|0.0007995495625570776|28.538812785388128
L089|NC199|Digestate|0.0007995495625570776|28.538812785388128
L090|NC200|Digestate|0.0007995495625570776|28.538812785388128
L091|NC201|Digestate|0.0007995495625570776|28.538812785388128
L092|NC202|Digestate|0.0007995495625570776|28.538812785388128
L093|NC203|Digestate|0.0007995495625570776|28.538812785388128
L094|NC205|Digestate|0.0007995495625570776|28.538812785388128
L095|NC206|Digestate|0.0007995495625570776|28.538812785388128
L096|NC207|Digestate|0.0007995495625570776|28.538812785388128
L097|NC213|Digestate|0.0007995495625570776|28.538812785388128
L098|NC215|Digestate|0.0007995495625570776|28.538812785388128
L099|NC216|Digestate|0.0007995495625570776|28.538812785388128
L100|NC217|Digestate|0.0007995495625570776|28.538812785388128
L101|NC219|Digestate|0.0007995495625570776|28.538812785388128
L102|NC220|Digestate|0.0007995495625570776|28.538812785388128
L103|NC222|Digestate|0.0007995495625570776|28.538812785388128
L104|NC223|Digestate|0.0007995495625570776|28.538812785388128
L105|NC224|Digestate|0.0007995495625570776|28.538812785388128
L106|NC227|Digestate|0.0007995495625570776|28.538812785388128
L107|NC228|Digestate|0.0007995495625570776|28.538812785388128
L108|NC229|Digestate|0.0007995495625570776|28.538812785388128
L109|NC230|Digestate|0.0007995495625570776|28.538812785388128
L110|NC231|Digestate|0.0007995495625570776|28.538812785388128
L111|NC233|Digestate|0.0007995495625570776|28.538812785388128
L112|NC234|Digestate|0.0007995495625570776|28.538812785388128
L113|NC236|Digestate|0.0007995495625570776|28.538812785388128
L114|NC237|Digestate|0.0007995495625570776|28.538812785388128
L115|NC238|Digestate|0.0007995495625570776|28.538812785388128
L116|NC240|Digestate|0.0007995495625570776|28.538812785388128
L117|NC241|Digestate|0.0007995495625570776|28.538812785388128
L118|NC242|Digestate|0.0007995495625570776|28.538812785388128
L119|NC243|Digestate|0.0007995495625570776|28.538812785388128
L120|NC245|Digestate|0.0007995495625570776|28.538812785388128
