#1. Env. stakeholder reference,2. Node,3. Time,4. Impact,5. Bid (USD/impact unit),6. Capacity
V0152,N05139,T0,CO2,0.0,Inf
V0153,N05141,T0,CO2,0.0,Inf
V0154,N05143,T0,CO2,0.0,Inf
V0155,N05145,T0,CO2,0.0,Inf
V0156,N05147,T0,CO2,0.0,Inf
V0157,N05149,T0,CO2,0.0,Inf
V0158,N06001,T0,CO2,0.0,Inf
V0159,N06003,T0,CO2,0.0,Inf
V0160,N06005,T0,CO2,0.0,Inf
V0161,N06007,T0,CO2,0.0,Inf
V0162,N06009,T0,CO2,0.0,Inf
V0163,N06011,T0,CO2,0.0,Inf
V0164,N06013,T0,CO2,0.0,Inf
V0165,N06015,T0,CO2,0.0,Inf
V0166,N06017,T0,CO2,0.0,Inf
V0167,N06019,T0,CO2,0.0,Inf
V0168,N06021,T0,CO2,0.0,Inf
V0169,N06023,T0,CO2,0.0,Inf
V0170,N06025,T0,CO2,0.0,Inf
V0171,N06027,T0,CO2,0.0,Inf
V0172,N06029,T0,CO2,0.0,Inf
V0173,N06031,T0,CO2,0.0,Inf
V0174,N06033,T0,CO2,0.0,Inf
V0175,N06035,T0,CO2,0.0,Inf
V0176,N06037,T0,CO2,0.0,Inf
V0177,N06039,T0,CO2,0.0,Inf
V0178,N06041,T0,CO2,0.0,Inf
V0179,N06043,T0,CO2,0.0,Inf
V0180,N06045,T0,CO2,0.0,Inf
V0181,N06047,T0,CO2,0.0,Inf
V0182,N06049,T0,CO2,0.0,Inf
V0183,N06051,T0,CO2,0.0,Inf
V0184,N06053,T0,CO2,0.0,Inf
V0185,N06055,T0,CO2,0.0,Inf
V0186,N06057,T0,CO2,0.0,Inf
V0187,N06059,T0,CO2,0.0,Inf
V0188,N06061,T0,CO2,0.0,Inf
V0189,N06063,T0,CO2,0.0,Inf
V0190,N06065,T0,CO2,0.0,Inf
V0191,N06067,T0,CO2,0.0,Inf
V0192,N06069,T0,CO2,0.0,Inf
V0193,N06071,T0,CO2,0.0,Inf
V0194,N06073,T0,CO2,0.0,Inf
V0195,N06075,T0,CO2,0.0,Inf
V0196,N06077,T0,CO2,0.0,Inf
V0197,N06079,T0,CO2,0.0,Inf
V0198,N06081,T0,CO2,0.0,Inf
V0199,N06083,T0,CO2,0.0,Inf
V0200,N06085,T0,CO2,0.0,Inf
V0201,N06087,T0,CO2,0.0,Inf
V0202,N06089,T0,CO2,0.0,Inf
V0203,N06091,T0,CO2,0.0,Inf
V0204,N06093,T0,CO2,0.0,Inf
V0205,N06095,T0,CO2,0.0,Inf
V0206,N06097,T0,CO2,0.0,Inf
V0207,N06099,T0,CO2,0.0,Inf
V0208,N06101,T0,CO2,0.0,Inf
V0209,N06103,T0,CO2,0.0,Inf
V0210,N06105,T0,CO2,0.0,Inf
V0211,N06107,T0,CO2,0.0,Inf
V0212,N06109,T0,CO2,0.0,Inf
V0213,N06111,T0,CO2,0.0,Inf
V0214,N06113,T0,CO2,0.0,Inf
V0215,N06115,T0,CO2,0.0,Inf
V0216,N08001,T0,CO2,0.0,Inf
V0217,N08003,T0,CO2,0.0,Inf
V0218,N08005,T0,CO2,0.0,Inf
V0219,N08007,T0,CO2,0.0,Inf
V0220,N08009,T0,CO2,0.0,Inf
V0221,N08011,T0,CO2,0.0,Inf
V0222,N08013,T0,CO2,0.0,Inf
V0223,N08014,T0,CO2,0.0,Inf
V0224,N08015,T0,CO2,0.0,Inf
V0225,N08017,T0,CO2,0.0,Inf
V0226,N08019,T0,CO2,0.0,Inf
V0227,N08021,T0,CO2,0.0,Inf
V0228,N08023,T0,CO2,0.0,Inf
V0229,N08025,T0,CO2,0.0,Inf
V0230,N08027,T0,CO2,0.0,Inf
V0231,N08029,T0,CO2,0.0,Inf
V0232,N08031,T0,CO2,0.0,Inf
V0233,N08033,T0,CO2,0.0,Inf
V0234,N08035,T0,CO2,0.0,Inf
V0235,N08037,T0,CO2,0.0,Inf
V0236,N08039,T0,CO2,0.0,Inf
V0237,N08041,T0,CO2,0.0,Inf
V0238,N08043,T0,CO2,0.0,Inf
V0239,N08045,T0,CO2,0.0,Inf
V0240,N08047,T0,CO2,0.0,Inf
V0241,N08049,T0,CO2,0.0,Inf
V0242,N08051,T0,CO2,0.0,Inf
V0243,N08053,T0,CO2,0.0,Inf
V0244,N08055,T0,CO2,0.0,Inf
V0245,N08057,T0,CO2,0.0,Inf
V0246,N08059,T0,CO2,0.0,Inf
V0247,N08061,T0,CO2,0.0,Inf
V0248,N08063,T0,CO2,0.0,Inf
V0249,N08065,T0,CO2,0.0,Inf
V0250,N08067,T0,CO2,0.0,Inf
V0251,N08069,T0,CO2,0.0,Inf
V0252,N08071,T0,CO2,0.0,Inf
V0253,N08073,T0,CO2,0.0,Inf
V0254,N08075,T0,CO2,0.0,Inf
V0255,N08077,T0,CO2,0.0,Inf
V0256,N08079,T0,CO2,0.0,Inf
V0257,N08081,T0,CO2,0.0,Inf
V0258,N08083,T0,CO2,0.0,Inf
V0259,N08085,T0,CO2,0.0,Inf
V0260,N08087,T0,CO2,0.0,Inf
V0261,N08089,T0,CO2,0.0,Inf
V0262,N08091,T0,CO2,0.0,Inf
V0263,N08093,T0,CO2,0.0,Inf
V0264,N08095,T0,CO2,0.0,Inf
V0265,N08097,T0,CO2,0.0,Inf
V0266,N08099,T0,CO2,0.0,Inf
V0267,N08101,T0,CO2,0.0,Inf
V0268,N08103,T0,CO2,0.0,Inf
V0269,N08105,T0,CO2,0.0,Inf
V0270,N08107,T0,CO2,0.0,Inf
V0271,N08109,T0,CO2,0.0,Inf
V0272,N08111,T0,CO2,0.0,Inf
V0273,N08113,T0,CO2,0.0,Inf
V0274,N08115,T0,CO2,0.0,Inf
V0275,N08117,T0,CO2,0.0,Inf
V0276,N08119,T0,CO2,0.0,Inf
V0277,N08121,T0,CO2,0.0,Inf
V0278,N08123,T0,CO2,0.0,Inf
V0279,N08125,T0,CO2,0.0,Inf
V0280,N09001,T0,CO2,0.0,Inf
V0281,N09003,T0,CO2,0.0,Inf
V0282,N09005,T0,CO2,0.0,Inf
V0283,N09007,T0,CO2,0.0,Inf
V0284,N09009,T0,CO2,0.0,Inf
V0285,N09011,T0,CO2,0.0,Inf
V0286,N09013,T0,CO2,0.0,Inf
V0287,N09015,T0,CO2,0.0,Inf
V0288,N10001,T0,CO2,0.0,Inf
V0289,N10003,T0,CO2,0.0,Inf
V0290,N10005,T0,CO2,0.0,Inf
V0291,N11001,T0,CO2,0.0,Inf
V0292,N12001,T0,CO2,0.0,Inf
V0293,N12003,T0,CO2,0.0,Inf
V0294,N12005,T0,CO2,0.0,Inf
V0295,N12007,T0,CO2,0.0,Inf
V0296,N12009,T0,CO2,0.0,Inf
V0297,N12011,T0,CO2,0.0,Inf
V0298,N12013,T0,CO2,0.0,Inf
V0299,N12015,T0,CO2,0.0,Inf
V0300,N12017,T0,CO2,0.0,Inf
V0301,N12019,T0,CO2,0.0,Inf
V0302,N12021,T0,CO2,0.0,Inf
V0303,N12023,T0,CO2,0.0,Inf
V0304,N12027,T0,CO2,0.0,Inf
V0305,N12029,T0,CO2,0.0,Inf
V0306,N12031,T0,CO2,0.0,Inf
V0307,N12033,T0,CO2,0.0,Inf
V0308,N12035,T0,CO2,0.0,Inf
V0309,N12037,T0,CO2,0.0,Inf
V0310,N12039,T0,CO2,0.0,Inf
V0311,N12041,T0,CO2,0.0,Inf
V0312,N12043,T0,CO2,0.0,Inf
V0313,N12045,T0,CO2,0.0,Inf
V0314,N12047,T0,CO2,0.0,Inf
V0315,N12049,T0,CO2,0.0,Inf
V0316,N12051,T0,CO2,0.0,Inf
V0317,N12053,T0,CO2,0.0,Inf
V0318,N12055,T0,CO2,0.0,Inf
V0319,N12057,T0,CO2,0.0,Inf
V0320,N12059,T0,CO2,0.0,Inf
V0321,N12061,T0,CO2,0.0,Inf
V0322,N12063,T0,CO2,0.0,Inf
V0323,N12065,T0,CO2,0.0,Inf
V0324,N12067,T0,CO2,0.0,Inf
V0325,N12069,T0,CO2,0.0,Inf
V0326,N12071,T0,CO2,0.0,Inf
V0327,N12073,T0,CO2,0.0,Inf
V0328,N12075,T0,CO2,0.0,Inf
V0329,N12077,T0,CO2,0.0,Inf
V0330,N12079,T0,CO2,0.0,Inf
V0331,N12081,T0,CO2,0.0,Inf
V0332,N12083,T0,CO2,0.0,Inf
V0333,N12085,T0,CO2,0.0,Inf
V0334,N12086,T0,CO2,0.0,Inf
V0335,N12087,T0,CO2,0.0,Inf
V0336,N12089,T0,CO2,0.0,Inf
V0337,N12091,T0,CO2,0.0,Inf
V0338,N12093,T0,CO2,0.0,Inf
V0339,N12095,T0,CO2,0.0,Inf
V0340,N12097,T0,CO2,0.0,Inf
V0341,N12099,T0,CO2,0.0,Inf
V0342,N12101,T0,CO2,0.0,Inf
V0343,N12103,T0,CO2,0.0,Inf
V0344,N12105,T0,CO2,0.0,Inf
V0345,N12107,T0,CO2,0.0,Inf
V0346,N12109,T0,CO2,0.0,Inf
V0347,N12111,T0,CO2,0.0,Inf
V0348,N12113,T0,CO2,0.0,Inf
V0349,N12115,T0,CO2,0.0,Inf
V0350,N12117,T0,CO2,0.0,Inf
V0351,N12119,T0,CO2,0.0,Inf
V0352,N12121,T0,CO2,0.0,Inf
V0353,N12123,T0,CO2,0.0,Inf
V0354,N12125,T0,CO2,0.0,Inf
V0355,N12127,T0,CO2,0.0,Inf
V0356,N12129,T0,CO2,0.0,Inf
V0357,N12131,T0,CO2,0.0,Inf
V0358,N12133,T0,CO2,0.0,Inf
V0359,N13001,T0,CO2,0.0,Inf
V0360,N13003,T0,CO2,0.0,Inf
V0361,N13005,T0,CO2,0.0,Inf
V0362,N13007,T0,CO2,0.0,Inf
V0363,N13009,T0,CO2,0.0,Inf
V0364,N13011,T0,CO2,0.0,Inf
V0365,N13013,T0,CO2,0.0,Inf
V0366,N13015,T0,CO2,0.0,Inf
V0367,N13017,T0,CO2,0.0,Inf
V0368,N13019,T0,CO2,0.0,Inf
V0369,N13021,T0,CO2,0.0,Inf
V0370,N13023,T0,CO2,0.0,Inf
V0371,N13025,T0,CO2,0.0,Inf
V0372,N13027,T0,CO2,0.0,Inf
V0373,N13029,T0,CO2,0.0,Inf
V0374,N13031,T0,CO2,0.0,Inf
V0375,N13033,T0,CO2,0.0,Inf
V0376,N13035,T0,CO2,0.0,Inf
V0377,N13037,T0,CO2,0.0,Inf
V0378,N13039,T0,CO2,0.0,Inf
V0379,N13043,T0,CO2,0.0,Inf
V0380,N13045,T0,CO2,0.0,Inf
V0381,N13047,T0,CO2,0.0,Inf
V0382,N13049,T0,CO2,0.0,Inf
V0383,N13051,T0,CO2,0.0,Inf
V0384,N13053,T0,CO2,0.0,Inf
V0385,N13055,T0,CO2,0.0,Inf
V0386,N13057,T0,CO2,0.0,Inf
V0387,N13059,T0,CO2,0.0,Inf
V0388,N13061,T0,CO2,0.0,Inf
V0389,N13063,T0,CO2,0.0,Inf
V0390,N13065,T0,CO2,0.0,Inf
V0391,N13067,T0,CO2,0.0,Inf
V0392,N13069,T0,CO2,0.0,Inf
V0393,N13071,T0,CO2,0.0,Inf
V0394,N13073,T0,CO2,0.0,Inf
V0395,N13075,T0,CO2,0.0,Inf
V0396,N13077,T0,CO2,0.0,Inf
V0397,N13079,T0,CO2,0.0,Inf
V0398,N13081,T0,CO2,0.0,Inf
V0399,N13083,T0,CO2,0.0,Inf
V0400,N13085,T0,CO2,0.0,Inf
V0401,N13087,T0,CO2,0.0,Inf
V0402,N13089,T0,CO2,0.0,Inf
V0403,N13091,T0,CO2,0.0,Inf
V0404,N13093,T0,CO2,0.0,Inf
V0405,N13095,T0,CO2,0.0,Inf
V0406,N13097,T0,CO2,0.0,Inf
V0407,N13099,T0,CO2,0.0,Inf
V0408,N13101,T0,CO2,0.0,Inf
V0409,N13103,T0,CO2,0.0,Inf
V0410,N13105,T0,CO2,0.0,Inf
V0411,N13107,T0,CO2,0.0,Inf
V0412,N13109,T0,CO2,0.0,Inf
V0413,N13111,T0,CO2,0.0,Inf
V0414,N13113,T0,CO2,0.0,Inf
V0415,N13115,T0,CO2,0.0,Inf
V0416,N13117,T0,CO2,0.0,Inf
V0417,N13119,T0,CO2,0.0,Inf
V0418,N13121,T0,CO2,0.0,Inf
V0419,N13123,T0,CO2,0.0,Inf
V0420,N13125,T0,CO2,0.0,Inf
V0421,N13127,T0,CO2,0.0,Inf
V0422,N13129,T0,CO2,0.0,Inf
V0423,N13131,T0,CO2,0.0,Inf
V0424,N13133,T0,CO2,0.0,Inf
V0425,N13135,T0,CO2,0.0,Inf
V0426,N13137,T0,CO2,0.0,Inf
V0427,N13139,T0,CO2,0.0,Inf
V0428,N13141,T0,CO2,0.0,Inf
V0429,N13143,T0,CO2,0.0,Inf
V0430,N13145,T0,CO2,0.0,Inf
V0431,N13147,T0,CO2,0.0,Inf
V0432,N13149,T0,CO2,0.0,Inf
V0433,N13151,T0,CO2,0.0,Inf
V0434,N13153,T0,CO2,0.0,Inf
V0435,N13155,T0,CO2,0.0,Inf
V0436,N13157,T0,CO2,0.0,Inf
V0437,N13159,T0,CO2,0.0,Inf
V0438,N13161,T0,CO2,0.0,Inf
V0439,N13163,T0,CO2,0.0,Inf
V0440,N13165,T0,CO2,0.0,Inf
V0441,N13167,T0,CO2,0.0,Inf
V0442,N13169,T0,CO2,0.0,Inf
V0443,N13171,T0,CO2,0.0,Inf
V0444,N13173,T0,CO2,0.0,Inf
V0445,N13175,T0,CO2,0.0,Inf
V0446,N13177,T0,CO2,0.0,Inf
V0447,N13179,T0,CO2,0.0,Inf
V0448,N13181,T0,CO2,0.0,Inf
V0449,N13183,T0,CO2,0.0,Inf
V0450,N13185,T0,CO2,0.0,Inf
V0451,N13187,T0,CO2,0.0,Inf
V0452,N13189,T0,CO2,0.0,Inf
V0453,N13191,T0,CO2,0.0,Inf
V0454,N13193,T0,CO2,0.0,Inf
V0455,N13195,T0,CO2,0.0,Inf
V0456,N13197,T0,CO2,0.0,Inf
V0457,N13199,T0,CO2,0.0,Inf
V0458,N13201,T0,CO2,0.0,Inf
V0459,N13205,T0,CO2,0.0,Inf
V0460,N13207,T0,CO2,0.0,Inf
V0461,N13209,T0,CO2,0.0,Inf
V0462,N13211,T0,CO2,0.0,Inf
V0463,N13213,T0,CO2,0.0,Inf
V0464,N13215,T0,CO2,0.0,Inf
V0465,N13217,T0,CO2,0.0,Inf
V0466,N13219,T0,CO2,0.0,Inf
V0467,N13221,T0,CO2,0.0,Inf
V0468,N13223,T0,CO2,0.0,Inf
V0469,N13225,T0,CO2,0.0,Inf
V0470,N13227,T0,CO2,0.0,Inf
V0471,N13229,T0,CO2,0.0,Inf
V0472,N13231,T0,CO2,0.0,Inf
V0473,N13233,T0,CO2,0.0,Inf
V0474,N13235,T0,CO2,0.0,Inf
V0475,N13237,T0,CO2,0.0,Inf
V0476,N13239,T0,CO2,0.0,Inf
V0477,N13241,T0,CO2,0.0,Inf
V0478,N13243,T0,CO2,0.0,Inf
V0479,N13245,T0,CO2,0.0,Inf
V0480,N13247,T0,CO2,0.0,Inf
V0481,N13249,T0,CO2,0.0,Inf
V0482,N13251,T0,CO2,0.0,Inf
V0483,N13253,T0,CO2,0.0,Inf
V0484,N13255,T0,CO2,0.0,Inf
V0485,N13257,T0,CO2,0.0,Inf
V0486,N13259,T0,CO2,0.0,Inf
V0487,N13261,T0,CO2,0.0,Inf
V0488,N13263,T0,CO2,0.0,Inf
V0489,N13265,T0,CO2,0.0,Inf
V0490,N13267,T0,CO2,0.0,Inf
V0491,N13269,T0,CO2,0.0,Inf
V0492,N13271,T0,CO2,0.0,Inf
V0493,N13273,T0,CO2,0.0,Inf
V0494,N13275,T0,CO2,0.0,Inf
V0495,N13277,T0,CO2,0.0,Inf
V0496,N13279,T0,CO2,0.0,Inf
V0497,N13281,T0,CO2,0.0,Inf
V0498,N13283,T0,CO2,0.0,Inf
V0499,N13285,T0,CO2,0.0,Inf
V0500,N13287,T0,CO2,0.0,Inf
V0501,N13289,T0,CO2,0.0,Inf
V0502,N13291,T0,CO2,0.0,Inf
V0503,N13293,T0,CO2,0.0,Inf
V0504,N13295,T0,CO2,0.0,Inf
V0505,N13297,T0,CO2,0.0,Inf
V0506,N13299,T0,CO2,0.0,Inf
V0507,N13301,T0,CO2,0.0,Inf
V0508,N13303,T0,CO2,0.0,Inf
V0509,N13305,T0,CO2,0.0,Inf
V0510,N13307,T0,CO2,0.0,Inf
V0511,N13309,T0,CO2,0.0,Inf
V0512,N13311,T0,CO2,0.0,Inf
V0513,N13313,T0,CO2,0.0,Inf
V0514,N13315,T0,CO2,0.0,Inf
V0515,N13317,T0,CO2,0.0,Inf
V0516,N13319,T0,CO2,0.0,Inf
V0517,N13321,T0,CO2,0.0,Inf
V0518,N16001,T0,CO2,0.0,Inf
V0519,N16003,T0,CO2,0.0,Inf
V0520,N16005,T0,CO2,0.0,Inf
V0521,N16007,T0,CO2,0.0,Inf
V0522,N16009,T0,CO2,0.0,Inf
V0523,N16011,T0,CO2,0.0,Inf
V0524,N16013,T0,CO2,0.0,Inf
V0525,N16015,T0,CO2,0.0,Inf
V0526,N16017,T0,CO2,0.0,Inf
V0527,N16019,T0,CO2,0.0,Inf
V0528,N16021,T0,CO2,0.0,Inf
V0529,N16023,T0,CO2,0.0,Inf
V0530,N16025,T0,CO2,0.0,Inf
V0531,N16027,T0,CO2,0.0,Inf
V0532,N16029,T0,CO2,0.0,Inf
V0533,N16031,T0,CO2,0.0,Inf
V0534,N16033,T0,CO2,0.0,Inf
V0535,N16035,T0,CO2,0.0,Inf
V0536,N16037,T0,CO2,0.0,Inf
V0537,N16039,T0,CO2,0.0,Inf
V0538,N16041,T0,CO2,0.0,Inf
V0539,N16043,T0,CO2,0.0,Inf
V0540,N16045,T0,CO2,0.0,Inf
V0541,N16047,T0,CO2,0.0,Inf
V0542,N16049,T0,CO2,0.0,Inf
V0543,N16051,T0,CO2,0.0,Inf
V0544,N16053,T0,CO2,0.0,Inf
V0545,N16055,T0,CO2,0.0,Inf
V0546,N16057,T0,CO2,0.0,Inf
V0547,N16059,T0,CO2,0.0,Inf
V0548,N16061,T0,CO2,0.0,Inf
V0549,N16063,T0,CO2,0.0,Inf
V0550,N16065,T0,CO2,0.0,Inf
V0551,N16067,T0,CO2,0.0,Inf
V0552,N16069,T0,CO2,0.0,Inf
V0553,N16071,T0,CO2,0.0,Inf
V0554,N16073,T0,CO2,0.0,Inf
V0555,N16075,T0,CO2,0.0,Inf
V0556,N16077,T0,CO2,0.0,Inf
V0557,N16079,T0,CO2,0.0,Inf
V0558,N16081,T0,CO2,0.0,Inf
V0559,N16083,T0,CO2,0.0,Inf
V0560,N16085,T0,CO2,0.0,Inf
