id,partition,component
563,9,1
564,9,1
565,9,1
566,9,1
567,6,1
568,7,1
569,6,1
570,7,1
571,7,1
572,8,1
573,8,1
574,8,1
575,6,1
576,6,1
577,12,1
578,12,1
579,12,1
580,12,1
581,12,1
582,12,1
583,10,1
584,10,1
585,10,1
586,10,1
587,10,1
588,10,1
589,7,1
590,7,1
591,7,1
592,7,1
593,7,1
594,7,1
595,8,1
596,8,1
597,8,1
598,8,1
599,8,1
600,8,1
601,12,1
602,12,1
603,12,1
604,12,1
605,12,1
606,12,1
607,10,1
608,10,1
609,10,1
610,10,1
611,10,1
612,10,1
613,7,2
614,7,2
615,7,2
616,7,2
617,7,2
618,7,2
619,8,2
620,8,2
621,8,2
622,8,2
623,8,2
624,8,2
625,12,2
626,12,2
627,12,2
628,12,2
629,12,2
630,12,2
631,10,2
632,10,2
633,10,2
634,10,2
635,10,2
636,10,2
637,10,2
638,7,2
639,7,3
640,7,3
641,7,3
642,7,3
643,7,3
644,8,3
645,8,3
646,8,3
647,8,3
648,8,3
649,11,3
650,11,3
651,11,3
652,11,3
653,11,3
654,11,3
655,11,3
656,11,3
657,9,3
658,9,3
659,9,3
660,9,3
661,9,3
662,9,3
663,6,3
664,6,3
665,6,3
666,6,3
667,6,3
668,6,3
669,6,3
670,6,3
671,6,3
672,6,3
673,11,3
674,11,3
675,11,3
676,11,3
677,11,3
678,11,3
679,11,3
680,11,3
681,9,3
682,9,3
683,9,3
684,9,3
685,9,3
686,9,3
687,9,3
688,6,3
689,6,1
690,6,1
691,6,1
692,6,1
693,6,1
694,6,1
695,6,1
696,6,1
697,11,1
698,11,1
699,11,1
700,11,1
701,11,1
702,11,1
703,11,1
704,11,1
705,11,1
706,9,1
707,9,1
708,9,1
709,9,1
710,9,1
711,9,1
712,9,1
713,6,1
714,6,1
715,6,1
716,6,1
717,6,1
718,6,1
719,6,1
720,6,1
721,0,1
722,0,1
723,0,1
724,0,1
725,0,1
726,0,1
727,0,1
728,0,1
729,1,1
730,1,1
731,1,1
732,1,1
733,1,1
734,1,1
735,1,1
736,5,1
737,5,1
738,5,1
739,5,1
740,5,1
741,5,1
742,5,1
743,5,1
744,5,1
745,0,1
746,0,1
747,0,1
748,0,1
749,0,1
750,0,1
751,0,1
752,0,1
753,0,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,1
759,1,1
760,1,1
761,5,1
762,5,1
763,5,1
764,5,1
765,5,1
766,5,1
767,5,1
768,5,1
769,0,1
770,0,1
771,0,1
772,0,1
773,0,2
774,0,2
775,0,2
776,0,2
777,0,2
778,0,2
779,1,2
780,1,2
781,1,2
782,1,2
783,1,2
784,1,2
785,5,2
786,5,3
787,5,3
788,5,3
789,5,3
790,5,3
791,5,3
792,5,3
793,0,3
794,0,3
795,0,3
796,0,3
797,0,3
798,0,3
799,1,3
800,1,3
801,1,3
802,1,3
803,1,3
804,1,3
805,1,3
806,5,3
807,5,3
808,5,3
809,5,3
810,5,3
811,5,3
812,5,3
813,5,3
814,5,3
815,5,3
816,3,3
817,0,3
818,0,3
819,0,3
820,0,3
821,0,3
822,0,3
823,0,3
824,1,3
825,1,3
826,1,3
827,1,3
828,1,3
829,1,3
830,1,3
831,5,1
832,5,1
833,5,1
834,5,1
835,5,1
836,5,1
837,5,1
838,5,1
839,5,1
840,5,1
841,0,1
842,0,1
843,0,1
844,0,1
845,0,1
846,0,1
847,0,1
848,0,1
849,1,1
850,1,1
851,1,1
852,1,1
