# 1.Supply reference no.| 2.Node| 3.Product| 4.Bid| 5.Capacity| 6.Notes
S189|NC189|Manure|0.0|23769.43042|
S190|NC190|Manure|0.0|29512.38005|
S191|NC191|Manure|0.0|17914.81232|
S192|NC192|Manure|0.0|20770.3345|
S193|NC193|Manure|0.0|27677.82669|
S194|NC194|Manure|0.0|48240.7769|
S195|NC195|Manure|0.0|49931.75651|
S196|NC196|Manure|0.0|30820.49635|
S197|NC197|Manure|0.0|89015.71928|
S198|NC198|Manure|0.0|51319.63601|
S199|NC199|Manure|0.0|33037.91302|
S200|NC200|Manure|0.0|47219.80808|
S201|NC201|Manure|0.0|103851.6725|
S202|NC202|Manure|0.0|33261.24995|
S203|NC203|Manure|0.0|52165.12581|
S204|NC204|Manure|0.0|28571.17441|
S205|NC205|Manure|0.0|21966.78234|
S206|NC206|Manure|0.0|36372.01433|
S207|NC207|Manure|0.0|51239.87282|
S208|NC208|Manure|0.0|32958.14983|
S209|NC209|Manure|0.0|31905.27573|
S210|NC210|Manure|0.0|40599.46336|
S211|NC211|Manure|0.0|23849.19361|
S212|NC212|Manure|0.0|48703.4034|
S213|NC213|Manure|0.0|27438.53713|
S214|NC214|Manure|0.0|19797.22359|
S215|NC215|Manure|0.0|58594.03887|
S216|NC216|Manure|0.0|23960.86207|
S217|NC217|Manure|0.0|22604.88785|
S218|NC218|Manure|0.0|16750.26976|
S219|NC219|Manure|0.0|33564.35006|
S220|NC220|Manure|0.0|29193.32729|
S221|NC221|Manure|0.0|16590.74338|
S222|NC222|Manure|0.0|35016.04011|
S223|NC223|Manure|0.0|25540.17322|
S224|NC224|Manure|0.0|19940.79733|
S225|NC225|Manure|0.0|8710.140273|
S226|NC226|Manure|0.0|15123.10069|
S227|NC227|Manure|0.0|28922.13245|
S228|NC228|Manure|0.0|40057.07367|
S229|NC229|Manure|0.0|43199.74333|
S230|NC230|Manure|0.0|30166.4382|
S231|NC231|Manure|0.0|32304.09167|
S232|NC232|Manure|0.0|32032.89683|
S233|NC233|Manure|0.0|59981.91837|
S234|NC234|Manure|0.0|64289.13059|
S235|NC235|Manure|0.0|28411.64803|
S236|NC236|Manure|0.0|23721.5725|
S237|NC237|Manure|0.0|45066.20196|
S238|NC238|Manure|0.0|58370.70194|
S239|NC239|Manure|0.0|18233.86508|
S240|NC240|Manure|0.0|54749.45315|
S241|NC241|Manure|0.0|38477.76253|
S242|NC242|Manure|0.0|61800.51908|
S243|NC243|Manure|0.0|58609.99151|
S244|NC244|Manure|0.0|26608.99996|
S245|NC245|Manure|0.0|27805.4478|
