Point,Delivery_date,Delivery_hour,Delivery_interval,Hou_price
N,1/2/20,1.0,3.0,14.25
N,1/2/20,1.0,4.0,13.99
N,1/2/20,2.0,1.0,13.79
N,1/2/20,2.0,2.0,14.56
N,1/2/20,2.0,3.0,14.5
N,1/2/20,2.0,4.0,14.35
N,1/2/20,3.0,1.0,14.88
N,1/2/20,3.0,2.0,14.19
N,1/2/20,3.0,3.0,14.17
N,1/2/20,3.0,4.0,13.69
N,1/2/20,4.0,1.0,13.31
N,1/2/20,4.0,2.0,13.69
N,1/2/20,4.0,3.0,13.77
N,1/2/20,4.0,4.0,13.94
N,1/2/20,5.0,1.0,14.76
N,1/2/20,5.0,2.0,14.79
N,1/2/20,5.0,3.0,14.66
N,1/2/20,5.0,4.0,14.62
N,1/2/20,6.0,1.0,14.6
N,1/2/20,6.0,2.0,14.31
N,1/2/20,6.0,3.0,14.76
N,1/2/20,6.0,4.0,13.36
N,1/2/20,7.0,1.0,12.86
N,1/2/20,7.0,2.0,13.37
N,1/2/20,7.0,3.0,14.37
N,1/2/20,7.0,4.0,15.27
N,1/2/20,8.0,1.0,15.3
N,1/2/20,8.0,2.0,15.55
N,1/2/20,8.0,3.0,15.98
N,1/2/20,8.0,4.0,16.0
N,1/2/20,9.0,1.0,15.81
N,1/2/20,9.0,2.0,16.22
N,1/2/20,9.0,3.0,16.08
N,1/2/20,9.0,4.0,16.32
N,1/2/20,10.0,1.0,16.31
N,1/2/20,10.0,2.0,16.74
N,1/2/20,10.0,3.0,16.78
N,1/2/20,10.0,4.0,16.9
N,1/2/20,11.0,1.0,16.68
N,1/2/20,11.0,2.0,16.76
N,1/2/20,11.0,3.0,16.64
N,1/2/20,11.0,4.0,16.71
N,1/2/20,12.0,1.0,17.04
N,1/2/20,12.0,2.0,17.1
N,1/2/20,12.0,3.0,17.0
N,1/2/20,12.0,4.0,17.35
N,1/2/20,13.0,1.0,17.44
N,1/2/20,13.0,2.0,23.21
N,1/2/20,13.0,3.0,22.12
N,1/2/20,13.0,4.0,19.37
N,1/2/20,14.0,1.0,21.26
N,1/2/20,14.0,2.0,18.44
N,1/2/20,14.0,3.0,17.98
N,1/2/20,14.0,4.0,18.07
N,1/2/20,15.0,1.0,17.62
N,1/2/20,15.0,2.0,17.21
N,1/2/20,15.0,3.0,16.67
N,1/2/20,15.0,4.0,15.93
N,1/2/20,16.0,1.0,15.79
N,1/2/20,16.0,2.0,15.44
N,1/2/20,16.0,3.0,16.12
N,1/2/20,16.0,4.0,16.29
N,1/2/20,17.0,1.0,16.84
N,1/2/20,17.0,2.0,20.2
N,1/2/20,17.0,3.0,19.39
N,1/2/20,17.0,4.0,19.18
N,1/2/20,18.0,1.0,19.43
N,1/2/20,18.0,2.0,21.42
N,1/2/20,18.0,3.0,37.42
N,1/2/20,18.0,4.0,60.6
N,1/2/20,19.0,1.0,21.91
N,1/2/20,19.0,2.0,20.28
N,1/2/20,19.0,3.0,19.86
N,1/2/20,19.0,4.0,19.94
N,1/2/20,20.0,1.0,19.2
N,1/2/20,20.0,2.0,19.26
N,1/2/20,20.0,3.0,19.1
N,1/2/20,20.0,4.0,19.18
N,1/2/20,21.0,1.0,18.68
N,1/2/20,21.0,2.0,19.7
N,1/2/20,21.0,3.0,18.41
N,1/2/20,21.0,4.0,17.94
N,1/2/20,22.0,1.0,17.59
N,1/2/20,22.0,2.0,17.61
N,1/2/20,22.0,3.0,17.38
N,1/2/20,22.0,4.0,17.11
N,1/2/20,23.0,1.0,17.36
N,1/2/20,23.0,2.0,20.1
N,1/2/20,23.0,3.0,20.09
N,1/2/20,23.0,4.0,18.09
N,1/2/20,24.0,1.0,18.05
N,1/2/20,24.0,2.0,19.2
N,1/2/20,24.0,3.0,18.68
N,1/2/20,24.0,4.0,18.06
N,1/3/20,1.0,1.0,27.71
N,1/3/20,1.0,2.0,19.41
N,1/3/20,1.0,3.0,18.46
N,1/3/20,1.0,4.0,18.15
N,1/3/20,2.0,1.0,19.65
N,1/3/20,2.0,2.0,18.24
N,1/3/20,2.0,3.0,17.8
N,1/3/20,2.0,4.0,17.59
N,1/3/20,3.0,1.0,17.18
N,1/3/20,3.0,2.0,16.64
N,1/3/20,3.0,3.0,15.73
N,1/3/20,3.0,4.0,14.73
N,1/3/20,4.0,1.0,14.89
N,1/3/20,4.0,2.0,15.36
N,1/3/20,4.0,3.0,15.17
N,1/3/20,4.0,4.0,15.0
N,1/3/20,5.0,1.0,15.04
N,1/3/20,5.0,2.0,14.83
N,1/3/20,5.0,3.0,15.13
N,1/3/20,5.0,4.0,14.61
N,1/3/20,6.0,1.0,16.26
N,1/3/20,6.0,2.0,16.65
N,1/3/20,6.0,3.0,18.67
N,1/3/20,6.0,4.0,17.82
N,1/3/20,7.0,1.0,17.7
N,1/3/20,7.0,2.0,17.5
N,1/3/20,7.0,3.0,16.06
N,1/3/20,7.0,4.0,15.93
N,1/3/20,8.0,1.0,16.62
N,1/3/20,8.0,2.0,15.82
N,1/3/20,8.0,3.0,15.63
N,1/3/20,8.0,4.0,15.8
N,1/3/20,9.0,1.0,15.85
N,1/3/20,9.0,2.0,15.97
N,1/3/20,9.0,3.0,15.75
N,1/3/20,9.0,4.0,15.26
N,1/3/20,10.0,1.0,14.6
N,1/3/20,10.0,2.0,14.57
N,1/3/20,10.0,3.0,14.92
N,1/3/20,10.0,4.0,14.94
N,1/3/20,11.0,1.0,14.57
N,1/3/20,11.0,2.0,13.62
N,1/3/20,11.0,3.0,13.1
N,1/3/20,11.0,4.0,13.54
N,1/3/20,12.0,1.0,13.18
N,1/3/20,12.0,2.0,13.24
N,1/3/20,12.0,3.0,12.97
N,1/3/20,12.0,4.0,12.22
N,1/3/20,13.0,1.0,12.47
N,1/3/20,13.0,2.0,13.04
N,1/3/20,13.0,3.0,13.54
N,1/3/20,13.0,4.0,13.07
N,1/3/20,14.0,1.0,12.23
N,1/3/20,14.0,2.0,11.93
N,1/3/20,14.0,3.0,12.78
N,1/3/20,14.0,4.0,13.07
N,1/3/20,15.0,1.0,13.43
N,1/3/20,15.0,2.0,14.08
N,1/3/20,15.0,3.0,13.69
N,1/3/20,15.0,4.0,14.33
N,1/3/20,16.0,1.0,14.41
N,1/3/20,16.0,2.0,15.2
N,1/3/20,16.0,3.0,15.24
N,1/3/20,16.0,4.0,15.45
N,1/3/20,17.0,1.0,14.93
N,1/3/20,17.0,2.0,14.7
N,1/3/20,17.0,3.0,15.42
N,1/3/20,17.0,4.0,15.69
N,1/3/20,18.0,1.0,17.33
N,1/3/20,18.0,2.0,19.35
N,1/3/20,18.0,3.0,21.9
N,1/3/20,18.0,4.0,23.96
N,1/3/20,19.0,1.0,19.16
N,1/3/20,19.0,2.0,18.94
N,1/3/20,19.0,3.0,19.2
N,1/3/20,19.0,4.0,20.59
N,1/3/20,20.0,1.0,19.5
N,1/3/20,20.0,2.0,19.73
N,1/3/20,20.0,3.0,19.51
N,1/3/20,20.0,4.0,19.55
N,1/3/20,21.0,1.0,19.58
N,1/3/20,21.0,2.0,19.32
N,1/3/20,21.0,3.0,19.1
N,1/3/20,21.0,4.0,18.8
N,1/3/20,22.0,1.0,18.69
N,1/3/20,22.0,2.0,18.42
N,1/3/20,22.0,3.0,18.56
N,1/3/20,22.0,4.0,18.27
N,1/3/20,23.0,1.0,18.14
N,1/3/20,23.0,2.0,17.75
N,1/3/20,23.0,3.0,-5.56
N,1/3/20,23.0,4.0,1.99
N,1/3/20,24.0,1.0,-1.83
N,1/3/20,24.0,2.0,-5.65
N,1/3/20,24.0,3.0,-6.0
N,1/3/20,24.0,4.0,-6.08
N,1/4/20,1.0,1.0,-6.23
N,1/4/20,1.0,2.0,-14.15
N,1/4/20,1.0,3.0,-18.67
N,1/4/20,1.0,4.0,-14.4
N,1/4/20,2.0,1.0,-6.25
N,1/4/20,2.0,2.0,-6.24
N,1/4/20,2.0,3.0,-6.08
N,1/4/20,2.0,4.0,15.46
N,1/4/20,3.0,1.0,16.1
N,1/4/20,3.0,2.0,16.45
N,1/4/20,3.0,3.0,16.44
N,1/4/20,3.0,4.0,14.94
N,1/4/20,4.0,1.0,14.66
N,1/4/20,4.0,2.0,14.86
N,1/4/20,4.0,3.0,15.04
N,1/4/20,4.0,4.0,15.2
N,1/4/20,5.0,1.0,15.28
N,1/4/20,5.0,2.0,15.46
N,1/4/20,5.0,3.0,15.77
N,1/4/20,5.0,4.0,15.9
N,1/4/20,6.0,1.0,17.4
N,1/4/20,6.0,2.0,17.7
N,1/4/20,6.0,3.0,17.75
N,1/4/20,6.0,4.0,17.64
N,1/4/20,7.0,1.0,17.49
N,1/4/20,7.0,2.0,17.73
N,1/4/20,7.0,3.0,18.26
N,1/4/20,7.0,4.0,18.55
N,1/4/20,8.0,1.0,18.78
N,1/4/20,8.0,2.0,19.28
N,1/4/20,8.0,3.0,19.96
N,1/4/20,8.0,4.0,19.83
N,1/4/20,9.0,1.0,20.41
N,1/4/20,9.0,2.0,20.78
N,1/4/20,9.0,3.0,22.04
N,1/4/20,9.0,4.0,20.88
N,1/4/20,10.0,1.0,20.51
N,1/4/20,10.0,2.0,21.16
N,1/4/20,10.0,3.0,22.34
N,1/4/20,10.0,4.0,22.24
N,1/4/20,11.0,1.0,21.71
N,1/4/20,11.0,2.0,20.45
N,1/4/20,11.0,3.0,20.65
N,1/4/20,11.0,4.0,20.68
N,1/4/20,12.0,1.0,21.09
N,1/4/20,12.0,2.0,20.08
N,1/4/20,12.0,3.0,19.72
N,1/4/20,12.0,4.0,19.07
N,1/4/20,13.0,1.0,18.74
N,1/4/20,13.0,2.0,18.59
N,1/4/20,13.0,3.0,18.22
N,1/4/20,13.0,4.0,17.99
N,1/4/20,14.0,1.0,18.04
N,1/4/20,14.0,2.0,18.07
N,1/4/20,14.0,3.0,17.92
N,1/4/20,14.0,4.0,17.72
N,1/4/20,15.0,1.0,17.47
N,1/4/20,15.0,2.0,17.23
N,1/4/20,15.0,3.0,16.9
N,1/4/20,15.0,4.0,16.55
N,1/4/20,16.0,1.0,16.39
N,1/4/20,16.0,2.0,16.22
N,1/4/20,16.0,3.0,16.14
N,1/4/20,16.0,4.0,15.62
N,1/4/20,17.0,1.0,4.85
N,1/4/20,17.0,2.0,-10.75
N,1/4/20,17.0,3.0,-14.15
N,1/4/20,17.0,4.0,-18.67
N,1/4/20,18.0,1.0,-18.67
N,1/4/20,18.0,2.0,-19.0
N,1/4/20,18.0,3.0,-19.0
N,1/4/20,18.0,4.0,-19.01
N,1/4/20,19.0,1.0,-29.71
N,1/4/20,19.0,2.0,-31.05
N,1/4/20,19.0,3.0,-31.63
N,1/4/20,19.0,4.0,-31.64
N,1/4/20,20.0,1.0,-31.64
N,1/4/20,20.0,2.0,-31.64
N,1/4/20,20.0,3.0,-31.64
N,1/4/20,20.0,4.0,-31.64
N,1/4/20,21.0,1.0,-31.64
N,1/4/20,21.0,2.0,-31.64
N,1/4/20,21.0,3.0,-31.64
N,1/4/20,21.0,4.0,-31.64
N,1/4/20,22.0,1.0,-31.64
N,1/4/20,22.0,2.0,-31.63
N,1/4/20,22.0,3.0,-31.57
N,1/4/20,22.0,4.0,-31.6
N,1/4/20,23.0,1.0,-31.64
N,1/4/20,23.0,2.0,-31.61
N,1/4/20,23.0,3.0,-31.59
N,1/4/20,23.0,4.0,-31.6
N,1/4/20,24.0,1.0,-31.62
N,1/4/20,24.0,2.0,-31.62
N,1/4/20,24.0,3.0,-31.63
N,1/4/20,24.0,4.0,-31.62
N,1/5/20,1.0,1.0,-31.63
N,1/5/20,1.0,2.0,-31.63
N,1/5/20,1.0,3.0,-31.63
N,1/5/20,1.0,4.0,-31.63
N,1/5/20,2.0,1.0,-31.63
N,1/5/20,2.0,2.0,-31.63
N,1/5/20,2.0,3.0,-31.64
N,1/5/20,2.0,4.0,-31.64
N,1/5/20,3.0,1.0,-31.64
N,1/5/20,3.0,2.0,-31.63
N,1/5/20,3.0,3.0,-31.62
N,1/5/20,3.0,4.0,-30.11
N,1/5/20,4.0,1.0,-22.92
N,1/5/20,4.0,2.0,-18.99
N,1/5/20,4.0,3.0,-19.01
N,1/5/20,4.0,4.0,-18.99
N,1/5/20,5.0,1.0,-19.01
N,1/5/20,5.0,2.0,-19.0
N,1/5/20,5.0,3.0,-10.82
N,1/5/20,5.0,4.0,-6.25
N,1/5/20,6.0,1.0,-6.09
N,1/5/20,6.0,2.0,-6.0
N,1/5/20,6.0,3.0,7.68
N,1/5/20,6.0,4.0,14.88
N,1/5/20,7.0,1.0,16.68
N,1/5/20,7.0,2.0,15.92
N,1/5/20,7.0,3.0,17.11
N,1/5/20,7.0,4.0,17.12
N,1/5/20,8.0,1.0,17.8
N,1/5/20,8.0,2.0,10.46
N,1/5/20,8.0,3.0,-6.09
N,1/5/20,8.0,4.0,-6.0
N,1/5/20,9.0,1.0,-6.0
N,1/5/20,9.0,2.0,-6.24
N,1/5/20,9.0,3.0,-18.41
N,1/5/20,9.0,4.0,-19.0
N,1/5/20,10.0,1.0,-19.0
N,1/5/20,10.0,2.0,-19.0
N,1/5/20,10.0,3.0,-18.69
N,1/5/20,10.0,4.0,-14.27
N,1/5/20,11.0,1.0,-6.24
N,1/5/20,11.0,2.0,-18.75
N,1/5/20,11.0,3.0,-19.01
N,1/5/20,11.0,4.0,-19.0
N,1/5/20,12.0,1.0,-19.0
N,1/5/20,12.0,2.0,-10.43
N,1/5/20,12.0,3.0,-4.22
N,1/5/20,12.0,4.0,0.79
N,1/5/20,13.0,1.0,6.26
N,1/5/20,13.0,2.0,9.14
N,1/5/20,13.0,3.0,10.96
N,1/5/20,13.0,4.0,12.79
N,1/5/20,14.0,1.0,13.66
N,1/5/20,14.0,2.0,14.61
N,1/5/20,14.0,3.0,15.77
N,1/5/20,14.0,4.0,16.13
N,1/5/20,15.0,1.0,17.1
N,1/5/20,15.0,2.0,16.76
N,1/5/20,15.0,3.0,16.75
N,1/5/20,15.0,4.0,16.93
N,1/5/20,16.0,1.0,16.97
N,1/5/20,16.0,2.0,16.81
N,1/5/20,16.0,3.0,17.06
N,1/5/20,16.0,4.0,17.07
N,1/5/20,17.0,1.0,17.12
N,1/5/20,17.0,2.0,17.13
N,1/5/20,17.0,3.0,17.6
N,1/5/20,17.0,4.0,17.45
N,1/5/20,18.0,1.0,17.88
N,1/5/20,18.0,2.0,18.79
N,1/5/20,18.0,3.0,20.5
N,1/5/20,18.0,4.0,21.53
N,1/5/20,19.0,1.0,19.94
N,1/5/20,19.0,2.0,19.77
N,1/5/20,19.0,3.0,18.91
N,1/5/20,19.0,4.0,18.78
N,1/5/20,20.0,1.0,18.38
N,1/5/20,20.0,2.0,18.21
N,1/5/20,20.0,3.0,17.93
N,1/5/20,20.0,4.0,17.79
N,1/5/20,21.0,1.0,17.4
N,1/5/20,21.0,2.0,17.0
N,1/5/20,21.0,3.0,16.45
N,1/5/20,21.0,4.0,16.43
N,1/5/20,22.0,1.0,16.6
N,1/5/20,22.0,2.0,16.56
N,1/5/20,22.0,3.0,16.34
N,1/5/20,22.0,4.0,15.6
N,1/5/20,23.0,1.0,3.2
N,1/5/20,23.0,2.0,-5.69
N,1/5/20,23.0,3.0,-1.08
N,1/5/20,23.0,4.0,-1.0
N,1/5/20,24.0,1.0,2.56
N,1/5/20,24.0,2.0,9.27
N,1/5/20,24.0,3.0,14.54
N,1/5/20,24.0,4.0,4.4
N,1/6/20,1.0,1.0,-5.93
N,1/6/20,1.0,2.0,-6.25
N,1/6/20,1.0,3.0,-6.25
N,1/6/20,1.0,4.0,-6.25
N,1/6/20,2.0,1.0,-6.25
N,1/6/20,2.0,2.0,-6.25
N,1/6/20,2.0,3.0,-6.25
N,1/6/20,2.0,4.0,-6.0
N,1/6/20,3.0,1.0,0.79
N,1/6/20,3.0,2.0,-2.78
N,1/6/20,3.0,3.0,0.64
N,1/6/20,3.0,4.0,-1.11
N,1/6/20,4.0,1.0,3.75
N,1/6/20,4.0,2.0,14.22
N,1/6/20,4.0,3.0,14.56
N,1/6/20,4.0,4.0,14.88
N,1/6/20,5.0,1.0,15.18
N,1/6/20,5.0,2.0,15.2
N,1/6/20,5.0,3.0,15.08
N,1/6/20,5.0,4.0,14.7
N,1/6/20,6.0,1.0,15.65
N,1/6/20,6.0,2.0,16.57
N,1/6/20,6.0,3.0,19.31
N,1/6/20,6.0,4.0,22.59
N,1/6/20,7.0,1.0,24.22
N,1/6/20,7.0,2.0,37.89
N,1/6/20,7.0,3.0,28.0
N,1/6/20,7.0,4.0,26.35
N,1/6/20,8.0,1.0,26.41
N,1/6/20,8.0,2.0,25.56
N,1/6/20,8.0,3.0,25.04
N,1/6/20,8.0,4.0,25.55
N,1/6/20,9.0,1.0,22.08
N,1/6/20,9.0,2.0,19.18
N,1/6/20,9.0,3.0,-5.47
N,1/6/20,9.0,4.0,-6.25
N,1/6/20,10.0,1.0,-6.25
N,1/6/20,10.0,2.0,-6.16
N,1/6/20,10.0,3.0,-5.36
N,1/6/20,10.0,4.0,-5.64
N,1/6/20,11.0,1.0,-14.44
N,1/6/20,11.0,2.0,-19.0
N,1/6/20,11.0,3.0,-19.01
N,1/6/20,11.0,4.0,-26.1
N,1/6/20,12.0,1.0,-30.01
N,1/6/20,12.0,2.0,-30.01
N,1/6/20,12.0,3.0,-30.01
N,1/6/20,12.0,4.0,-30.01
N,1/6/20,13.0,1.0,-30.01
N,1/6/20,13.0,2.0,-30.01
N,1/6/20,13.0,3.0,-30.01
N,1/6/20,13.0,4.0,-30.0
N,1/6/20,14.0,1.0,-30.0
N,1/6/20,14.0,2.0,-19.24
N,1/6/20,14.0,3.0,-19.01
N,1/6/20,14.0,4.0,-19.03
N,1/6/20,15.0,1.0,-19.03
N,1/6/20,15.0,2.0,-19.03
N,1/6/20,15.0,3.0,-19.03
N,1/6/20,15.0,4.0,-19.02
N,1/6/20,16.0,1.0,-14.72
N,1/6/20,16.0,2.0,-5.69
N,1/6/20,16.0,3.0,1.46
N,1/6/20,16.0,4.0,2.81
N,1/6/20,17.0,1.0,2.79
N,1/6/20,17.0,2.0,3.16
N,1/6/20,17.0,3.0,3.59
N,1/6/20,17.0,4.0,5.1
N,1/6/20,18.0,1.0,6.46
N,1/6/20,18.0,2.0,11.65
N,1/6/20,18.0,3.0,16.55
N,1/6/20,18.0,4.0,18.97
N,1/6/20,19.0,1.0,18.25
N,1/6/20,19.0,2.0,19.68
N,1/6/20,19.0,3.0,18.05
N,1/6/20,19.0,4.0,18.06
N,1/6/20,20.0,1.0,18.03
N,1/6/20,20.0,2.0,18.22
N,1/6/20,20.0,3.0,18.1
N,1/6/20,20.0,4.0,18.35
N,1/6/20,21.0,1.0,18.59
N,1/6/20,21.0,2.0,20.06
N,1/6/20,21.0,3.0,20.76
N,1/6/20,21.0,4.0,20.09
N,1/6/20,22.0,1.0,20.17
N,1/6/20,22.0,2.0,20.2
N,1/6/20,22.0,3.0,20.46
N,1/6/20,22.0,4.0,20.57
N,1/6/20,23.0,1.0,19.94
N,1/6/20,23.0,2.0,19.99
N,1/6/20,23.0,3.0,19.36
N,1/6/20,23.0,4.0,18.85
N,1/6/20,24.0,1.0,18.51
N,1/6/20,24.0,2.0,18.53
N,1/6/20,24.0,3.0,18.7
N,1/6/20,24.0,4.0,18.28
N,1/7/20,1.0,1.0,18.25
N,1/7/20,1.0,2.0,17.86
N,1/7/20,1.0,3.0,17.56
N,1/7/20,1.0,4.0,17.25
N,1/7/20,2.0,1.0,17.44
N,1/7/20,2.0,2.0,17.39
N,1/7/20,2.0,3.0,17.34
N,1/7/20,2.0,4.0,17.26
N,1/7/20,3.0,1.0,16.86
N,1/7/20,3.0,2.0,16.8
N,1/7/20,3.0,3.0,16.94
N,1/7/20,3.0,4.0,16.82
N,1/7/20,4.0,1.0,16.49
N,1/7/20,4.0,2.0,16.85
N,1/7/20,4.0,3.0,18.48
N,1/7/20,4.0,4.0,18.64
N,1/7/20,5.0,1.0,18.92
N,1/7/20,5.0,2.0,19.23
N,1/7/20,5.0,3.0,19.24
N,1/7/20,5.0,4.0,19.25
N,1/7/20,6.0,1.0,21.88
N,1/7/20,6.0,2.0,22.61
N,1/7/20,6.0,3.0,20.75
N,1/7/20,6.0,4.0,20.61
N,1/7/20,7.0,1.0,25.79
N,1/7/20,7.0,2.0,24.56
N,1/7/20,7.0,3.0,27.14
N,1/7/20,7.0,4.0,5.17
N,1/7/20,8.0,1.0,-14.66
N,1/7/20,8.0,2.0,-14.43
N,1/7/20,8.0,3.0,-19.0
N,1/7/20,8.0,4.0,-19.0
N,1/7/20,9.0,1.0,-19.01
N,1/7/20,9.0,2.0,-19.01
N,1/7/20,9.0,3.0,-19.0
N,1/7/20,9.0,4.0,-18.99
N,1/7/20,10.0,1.0,-18.99
N,1/7/20,10.0,2.0,-14.71
N,1/7/20,10.0,3.0,-6.0
N,1/7/20,10.0,4.0,1.53
N,1/7/20,11.0,1.0,-2.18
N,1/7/20,11.0,2.0,16.82
N,1/7/20,11.0,3.0,16.61
N,1/7/20,11.0,4.0,16.53
N,1/7/20,12.0,1.0,16.01
N,1/7/20,12.0,2.0,15.3
N,1/7/20,12.0,3.0,14.35
N,1/7/20,12.0,4.0,13.6
N,1/7/20,13.0,1.0,13.27
N,1/7/20,13.0,2.0,13.05
N,1/7/20,13.0,3.0,12.9
N,1/7/20,13.0,4.0,12.84
N,1/7/20,14.0,1.0,12.99
N,1/7/20,14.0,2.0,13.14
N,1/7/20,14.0,3.0,13.24
N,1/7/20,14.0,4.0,13.29
N,1/7/20,15.0,1.0,13.24
N,1/7/20,15.0,2.0,13.24
N,1/7/20,15.0,3.0,13.39
N,1/7/20,15.0,4.0,13.39
N,1/7/20,16.0,1.0,13.46
N,1/7/20,16.0,2.0,13.86
N,1/7/20,16.0,3.0,13.96
N,1/7/20,16.0,4.0,14.17
N,1/7/20,17.0,1.0,14.23
N,1/7/20,17.0,2.0,14.36
N,1/7/20,17.0,3.0,15.32
N,1/7/20,17.0,4.0,16.14
N,1/7/20,18.0,1.0,17.31
N,1/7/20,18.0,2.0,18.53
N,1/7/20,18.0,3.0,19.8
N,1/7/20,18.0,4.0,19.71
N,1/7/20,19.0,1.0,18.1
N,1/7/20,19.0,2.0,17.85
N,1/7/20,19.0,3.0,17.45
N,1/7/20,19.0,4.0,16.92
N,1/7/20,20.0,1.0,16.74
N,1/7/20,20.0,2.0,16.55
N,1/7/20,20.0,3.0,16.36
N,1/7/20,20.0,4.0,-5.51
N,1/7/20,21.0,1.0,-6.0
N,1/7/20,21.0,2.0,-14.13
N,1/7/20,21.0,3.0,-18.98
N,1/7/20,21.0,4.0,-18.98
N,1/7/20,22.0,1.0,-18.99
N,1/7/20,22.0,2.0,-18.99
N,1/7/20,22.0,3.0,-18.99
N,1/7/20,22.0,4.0,-26.07
N,1/7/20,23.0,1.0,-29.97
N,1/7/20,23.0,2.0,-30.51
N,1/7/20,23.0,3.0,-29.99
N,1/7/20,23.0,4.0,-29.98
N,1/7/20,24.0,1.0,-30.06
N,1/7/20,24.0,2.0,-31.12
N,1/7/20,24.0,3.0,-31.55
N,1/7/20,24.0,4.0,-31.59
N,1/8/20,1.0,1.0,-31.62
N,1/8/20,1.0,2.0,-31.55
N,1/8/20,1.0,3.0,-31.61
N,1/8/20,1.0,4.0,-31.64
N,1/8/20,2.0,1.0,-31.61
N,1/8/20,2.0,2.0,-31.6
N,1/8/20,2.0,3.0,-31.61
N,1/8/20,2.0,4.0,-31.61
N,1/8/20,3.0,1.0,-31.62
N,1/8/20,3.0,2.0,-31.62
N,1/8/20,3.0,3.0,-31.62
N,1/8/20,3.0,4.0,-31.55
