# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00156|NC009|NC063|1.00E+06|159.8123521
A00157|NC009|NC064|1.00E+06|170.4355377
A00158|NC009|NC065|1.00E+06|80.50321725
A00159|NC009|NC066|1.00E+06|132.7509558
A00160|NC009|NC068|1.00E+06|98.58945771
A00161|NC009|NC069|1.00E+06|105.7420048
A00162|NC009|NC070|1.00E+06|70.60020296
A00163|NC009|NC071|1.00E+06|309.0071019
A00164|NC009|NC074|1.00E+06|300.7749089
A00165|NC009|NC076|1.00E+06|49.04774649
A00166|NC009|NC080|1.00E+06|89.48955943
A00167|NC009|NC086|1.00E+06|65.76286018
A00168|NC009|NC089|1.00E+06|63.36971362
A00169|NC009|NC090|1.00E+06|281.1624072
A00170|NC009|NC092|1.00E+06|259.3288882
A00171|NC009|NC093|1.00E+06|243.9527776
A00172|NC009|NC095|1.00E+06|97.67092542
A00173|NC009|NC097|1.00E+06|79.73403228
A00174|NC009|NC101|1.00E+06|210.5658981
A00175|NC009|NC105|1.00E+06|231.0116102
A00176|NC009|NC106|1.00E+06|239.1995465
A00177|NC009|NC107|1.00E+06|151.895422
A00178|NC009|NC109|1.00E+06|133.521298
A00179|NC009|NC110|1.00E+06|126.6994859
A00180|NC009|NC111|1.00E+06|147.9956917
A00181|NC009|NC115|1.00E+06|35.71022919
A00182|NC009|NC116|1.00E+06|56.79855838
A00183|NC009|NC120|1.00E+06|53.79386428
A00184|NC009|NC121|1.00E+06|47.49608536
A00185|NC009|NC128|1.00E+06|250.1847807
A00186|NC009|NC130|1.00E+06|235.396034
A00187|NC009|NC132|1.00E+06|138.2712999
A00188|NC009|NC133|1.00E+06|127.8326256
A00189|NC009|NC136|1.00E+06|22.56419302
A00190|NC009|NC143|1.00E+06|43.12499425
A00191|NC009|NC146|1.00E+06|40.55004442
A00192|NC009|NC150|1.00E+06|39.87183502
A00193|NC009|NC152|1.00E+06|153.4600662
A00194|NC009|NC154|1.00E+06|163.7610156
A00195|NC009|NC157|1.00E+06|181.6207073
A00196|NC009|NC158|1.00E+06|113.3962283
A00197|NC009|NC160|1.00E+06|119.4273608
A00198|NC009|NC161|1.00E+06|146.0397739
A00199|NC009|NC162|1.00E+06|95.80437304
A00200|NC009|NC166|1.00E+06|116.0053126
A00201|NC009|NC167|1.00E+06|200.4363138
A00202|NC009|NC168|1.00E+06|221.1106684
A00203|NC009|NC173|1.00E+06|65.35902545
A00204|NC009|NC174|1.00E+06|82.68564115
A00205|NC009|NC175|1.00E+06|38.00919412
A00206|NC009|NC179|1.00E+06|59.13600546
A00207|NC009|NC189|1.00E+06|301.5088097
A00208|NC009|NC190|1.00E+06|332.9134412
A00209|NC009|NC192|1.00E+06|362.1305904
A00210|NC009|NC193|1.00E+06|368.7425529
A00211|NC009|NC194|1.00E+06|100.7913706
A00212|NC009|NC195|1.00E+06|233.5792808
A00213|NC009|NC196|1.00E+06|211.425322
A00214|NC009|NC197|1.00E+06|196.2545347
A00215|NC009|NC198|1.00E+06|197.7542692
A00216|NC009|NC199|1.00E+06|293.7053841
A00217|NC009|NC200|1.00E+06|47.0380089
A00218|NC009|NC201|1.00E+06|60.44178602
A00219|NC009|NC202|1.00E+06|74.4425368
A00220|NC009|NC203|1.00E+06|110.9779282
A00221|NC009|NC205|1.00E+06|99.5765481
A00222|NC009|NC206|1.00E+06|58.74249939
A00223|NC009|NC207|1.00E+06|43.61743252
A00224|NC009|NC213|1.00E+06|58.61955518
A00225|NC009|NC215|1.00E+06|76.46877356
A00226|NC009|NC216|1.00E+06|348.4720203
A00227|NC009|NC217|1.00E+06|352.551733
A00228|NC009|NC219|1.00E+06|339.0786792
A00229|NC009|NC220|1.00E+06|259.3495431
A00230|NC009|NC222|1.00E+06|262.8640016
A00231|NC009|NC223|1.00E+06|268.0876574
A00232|NC009|NC224|1.00E+06|210.5779922
A00233|NC009|NC227|1.00E+06|218.6320055
A00234|NC009|NC228|1.00E+06|167.3393517
A00235|NC009|NC229|1.00E+06|185.8576204
A00236|NC009|NC230|1.00E+06|194.1975042
A00237|NC009|NC231|1.00E+06|344.1981225
A00238|NC009|NC233|1.00E+06|83.44297482
A00239|NC009|NC234|1.00E+06|95.15001204
A00240|NC009|NC236|1.00E+06|51.61172201
A00241|NC009|NC237|1.00E+06|67.10029781
A00242|NC009|NC238|1.00E+06|69.31652991
A00243|NC009|NC240|1.00E+06|69.74931766
A00244|NC009|NC241|1.00E+06|46.21866088
A00245|NC009|NC242|1.00E+06|18.63793687
A00246|NC009|NC243|1.00E+06|54.01375319
