#demad,node, prod,bid,ca (ton/year)
d63,63,1,0,1.00E+07
d64,64,1,0,1.00E+07
d65,65,1,0,1.00E+07
d66,66,1,0,1.00E+07
d67,67,1,0,1.00E+07
d68,68,1,0,1.00E+07
d69,69,1,0,1.00E+07
d70,70,1,0,1.00E+07
d71,71,1,0,1.00E+07
d72,72,1,0,1.00E+07
d73,73,1,0,1.00E+07
d74,74,1,0,1.00E+07
d75,75,1,0,1.00E+07
d76,76,1,0,1.00E+07
d77,77,1,0,1.00E+07
d78,78,1,0,1.00E+07
d79,79,1,0,1.00E+07
d80,80,1,0,1.00E+07
d81,81,1,0,1.00E+07
d82,82,1,0,1.00E+07
d83,83,1,0,1.00E+07
d84,84,1,0,1.00E+07
d85,85,1,0,1.00E+07
d86,86,1,0,1.00E+07
d87,87,1,0,1.00E+07
d88,88,1,0,1.00E+07
d89,89,1,0,1.00E+07
d90,90,1,0,1.00E+07
d91,91,1,0,1.00E+07
d92,92,1,0,1.00E+07
d93,93,1,0,1.00E+07
d94,94,1,0,1.00E+07
d95,95,1,0,1.00E+07
d96,96,1,0,1.00E+07
d97,97,1,0,1.00E+07
d98,98,1,0,1.00E+07
d99,99,1,0,1.00E+07
d100,100,1,0,1.00E+07
d101,101,1,0,1.00E+07
d102,102,1,0,1.00E+07
d103,103,1,0,1.00E+07
d104,104,1,0,1.00E+07
d105,105,1,0,1.00E+07
d106,106,1,0,1.00E+07
d107,107,1,0,1.00E+07
d108,108,1,0,1.00E+07
d109,109,1,0,1.00E+07
d110,110,1,0,1.00E+07
d111,111,1,0,1.00E+07
d112,112,1,0,1.00E+07
d113,113,1,0,1.00E+07
d114,114,1,0,1.00E+07
d115,115,1,0,1.00E+07
d116,116,1,0,1.00E+07
d117,117,1,0,1.00E+07
d118,118,1,0,1.00E+07
d119,119,1,0,1.00E+07
d120,120,1,0,1.00E+07
d121,121,1,0,1.00E+07
d122,122,1,0,1.00E+07
d123,123,1,0,1.00E+07
d124,124,1,0,1.00E+07
d125,125,1,0,1.00E+07
d126,126,1,0,1.00E+07
d127,127,1,0,1.00E+07
d128,128,1,0,1.00E+07
d129,129,1,0,1.00E+07
d130,130,1,0,1.00E+07
d131,131,1,0,1.00E+07
d132,132,1,0,1.00E+07
d133,133,1,0,1.00E+07
d134,134,1,0,1.00E+07
d135,135,1,0,1.00E+07
d136,136,1,0,1.00E+07
d137,137,1,0,1.00E+07
d138,138,1,0,1.00E+07
d139,139,1,0,1.00E+07
d140,140,1,0,1.00E+07
d141,141,1,0,1.00E+07
d142,142,1,0,1.00E+07
d143,143,1,0,1.00E+07
d144,144,1,0,1.00E+07
d145,145,1,0,1.00E+07
d146,146,1,0,1.00E+07
d147,147,1,0,1.00E+07
d148,148,1,0,1.00E+07
d149,149,1,0,1.00E+07
d150,150,1,0,1.00E+07
d151,151,1,0,1.00E+07
d152,152,1,0,1.00E+07
d153,153,1,0,1.00E+07
d154,154,1,0,1.00E+07
d155,155,1,0,1.00E+07
d156,156,1,0,1.00E+07
d157,157,1,0,1.00E+07
d158,158,1,0,1.00E+07
d159,159,1,0,1.00E+07
d160,160,1,0,1.00E+07
d161,161,1,0,1.00E+07
d162,162,1,0,1.00E+07
d163,163,1,0,1.00E+07
d164,164,1,0,1.00E+07
d165,165,1,0,1.00E+07
d166,166,1,0,1.00E+07
d167,167,1,0,1.00E+07
d168,168,1,0,1.00E+07
d169,169,1,0,1.00E+07
d170,170,1,0,1.00E+07
d171,171,1,0,1.00E+07
d172,172,1,0,1.00E+07
d173,173,1,0,1.00E+07
d174,174,1,0,1.00E+07
d175,175,1,0,1.00E+07
d176,176,1,0,1.00E+07
d177,177,1,0,1.00E+07
d178,178,1,0,1.00E+07
d179,179,1,0,1.00E+07
d180,180,1,0,1.00E+07
d181,181,1,0,1.00E+07
d182,182,1,0,1.00E+07
d183,183,1,0,1.00E+07
d184,184,1,0,1.00E+07
d185,185,1,0,1.00E+07
d186,186,1,0,1.00E+07
d187,187,1,0,1.00E+07
d188,188,1,0,1.00E+07
d189,189,1,0,1.00E+07
d190,190,1,0,1.00E+07
d191,191,1,0,1.00E+07
d192,192,1,0,1.00E+07
d193,193,1,0,1.00E+07
d194,194,1,0,1.00E+07
d195,195,1,0,1.00E+07
d196,196,1,0,1.00E+07
d197,197,1,0,1.00E+07
d198,198,1,0,1.00E+07
d199,199,1,0,1.00E+07
d200,200,1,0,1.00E+07
d201,201,1,0,1.00E+07
d202,202,1,0,1.00E+07
d203,203,1,0,1.00E+07
d204,204,1,0,1.00E+07
d205,205,1,0,1.00E+07
d206,206,1,0,1.00E+07
d207,207,1,0,1.00E+07
d208,208,1,0,1.00E+07
d209,209,1,0,1.00E+07
d210,210,1,0,1.00E+07
d211,211,1,0,1.00E+07
d212,212,1,0,1.00E+07
d213,213,1,0,1.00E+07
d214,214,1,0,1.00E+07
d215,215,1,0,1.00E+07
d216,216,1,0,1.00E+07
d217,217,1,0,1.00E+07
d218,218,1,0,1.00E+07
d219,219,1,0,1.00E+07
d220,220,1,0,1.00E+07
d221,221,1,0,1.00E+07
d222,222,1,0,1.00E+07
d223,223,1,0,1.00E+07
d224,224,1,0,1.00E+07
d225,225,1,0,1.00E+07
d226,226,1,0,1.00E+07
d227,227,1,0,1.00E+07
d228,228,1,0,1.00E+07
d229,229,1,0,1.00E+07
d230,230,1,0,1.00E+07
d231,231,1,0,1.00E+07
d232,232,1,0,1.00E+07
d233,233,1,0,1.00E+07
d234,234,1,0,1.00E+07
d235,235,1,0,1.00E+07
d236,236,1,0,1.00E+07
d237,237,1,0,1.00E+07
d238,238,1,0,1.00E+07
d239,239,1,0,1.00E+07
d240,240,1,0,1.00E+07
d241,241,1,0,1.00E+07
d242,242,1,0,1.00E+07
d243,243,1,0,1.00E+07
d244,244,1,0,1.00E+07
d245,245,1,0,1.00E+07
d246,246,1,0,1.00E+07
d247,247,1,0,1.00E+07
d248,248,1,0,1.00E+07
d249,249,1,0,1.00E+07
d250,250,1,0,1.00E+07
d251,251,1,0,1.00E+07
d252,252,1,0,1.00E+07
d253,253,1,0,1.00E+07
d254,254,1,0,1.00E+07
d255,255,1,0,1.00E+07
d256,256,1,0,1.00E+07
d257,257,1,0,1.00E+07
d258,258,1,0,1.00E+07
d259,259,1,0,1.00E+07
d260,260,1,0,1.00E+07
d261,261,1,0,1.00E+07
d262,262,1,0,1.00E+07
d263,263,1,0,1.00E+07
d264,264,1,0,1.00E+07
d265,265,1,0,1.00E+07
d266,266,1,0,1.00E+07
d267,267,1,0,1.00E+07
d268,268,1,0,1.00E+07
d269,269,1,0,1.00E+07
d270,270,1,0,1.00E+07
d271,271,1,0,1.00E+07
d272,272,1,0,1.00E+07
d273,273,1,0,1.00E+07
d274,274,1,0,1.00E+07
d275,275,1,0,1.00E+07
d276,276,1,0,1.00E+07
d277,277,1,0,1.00E+07
d278,278,1,0,1.00E+07
d279,279,1,0,1.00E+07
d280,280,1,0,1.00E+07
d281,281,1,0,1.00E+07
d282,282,1,0,1.00E+07
d283,283,1,0,1.00E+07
d284,284,1,0,1.00E+07
d285,285,1,0,1.00E+07
d286,286,1,0,1.00E+07
d287,287,1,0,1.00E+07
d288,288,1,0,1.00E+07
d289,289,1,0,1.00E+07
d290,290,1,0,1.00E+07
d291,291,1,0,1.00E+07
d292,292,1,0,1.00E+07
d293,293,1,0,1.00E+07
d294,294,1,0,1.00E+07
d295,295,1,0,1.00E+07
d296,296,1,0,1.00E+07
d297,297,1,0,1.00E+07
d298,298,1,0,1.00E+07
d299,299,1,0,1.00E+07
d300,300,1,0,1.00E+07
d301,301,1,0,1.00E+07
d302,302,1,0,1.00E+07
d303,303,1,0,1.00E+07
d304,304,1,0,1.00E+07
d305,305,1,0,1.00E+07
d306,306,1,0,1.00E+07
d307,307,1,0,1.00E+07
d308,308,1,0,1.00E+07
d309,309,1,0,1.00E+07
d310,310,1,0,1.00E+07
d311,311,1,0,1.00E+07
d312,312,1,0,1.00E+07
d313,313,1,0,1.00E+07
d314,314,1,0,1.00E+07
d315,315,1,0,1.00E+07
d316,316,1,0,1.00E+07
d317,317,1,0,1.00E+07
d318,318,1,0,1.00E+07
d319,319,1,0,1.00E+07
d320,320,1,0,1.00E+07
d321,321,1,0,1.00E+07
d322,322,1,0,1.00E+07
d323,323,1,0,1.00E+07
d324,324,1,0,1.00E+07
d325,325,1,0,1.00E+07
d326,326,1,0,1.00E+07
d327,327,1,0,1.00E+07
d328,328,1,0,1.00E+07
d329,329,1,0,1.00E+07
d330,330,1,0,1.00E+07
d331,331,1,0,1.00E+07
d332,332,1,0,1.00E+07
d333,333,1,0,1.00E+07
d334,334,1,0,1.00E+07
d335,335,1,0,1.00E+07
d336,336,1,0,1.00E+07
d337,337,1,0,1.00E+07
d338,338,1,0,1.00E+07
d339,339,1,0,1.00E+07
d340,340,1,0,1.00E+07
d341,341,1,0,1.00E+07
d342,342,1,0,1.00E+07
d343,343,1,0,1.00E+07
d344,344,1,0,1.00E+07
d345,345,1,0,1.00E+07
d346,346,1,0,1.00E+07
d347,347,1,0,1.00E+07
d348,348,1,0,1.00E+07
d349,349,1,0,1.00E+07
d350,350,1,0,1.00E+07
d351,351,1,0,1.00E+07
d352,352,1,0,1.00E+07
d353,353,1,0,1.00E+07
d354,354,1,0,1.00E+07
d355,355,1,0,1.00E+07
d356,356,1,0,1.00E+07
d357,357,1,0,1.00E+07
d358,358,1,0,1.00E+07
d359,359,1,0,1.00E+07
d360,360,1,0,1.00E+07
d361,1,2,0,1.00E+07
d362,2,2,0,1.00E+07
d363,3,2,0,1.00E+07
d364,4,2,0,1.00E+07
d365,5,2,0,1.00E+07
d366,6,2,0,1.00E+07
d367,7,2,0,1.00E+07
d368,8,2,0,1.00E+07
d369,9,2,0,1.00E+07
d370,10,2,0,1.00E+07
d371,11,2,0,1.00E+07
d372,12,2,0,1.00E+07
d373,13,2,0,1.00E+07
d374,14,2,0,1.00E+07
d375,15,2,0,1.00E+07
d376,16,2,0,1.00E+07
d377,17,2,0,1.00E+07
d378,18,2,0,1.00E+07
d379,19,2,0,1.00E+07
d380,20,2,0,1.00E+07
d381,21,2,0,1.00E+07
d382,22,2,0,1.00E+07
d383,23,2,0,1.00E+07
d384,24,2,0,1.00E+07
d385,25,2,0,1.00E+07
d386,26,2,0,1.00E+07
d387,27,2,0,1.00E+07
d388,28,2,0,1.00E+07
d389,29,2,0,1.00E+07
d390,30,2,0,1.00E+07
d391,31,2,0,1.00E+07
d392,32,2,0,1.00E+07
d393,33,2,0,1.00E+07
d394,34,2,0,1.00E+07
d395,35,2,0,1.00E+07
d396,36,2,0,1.00E+07
d397,37,2,0,1.00E+07
d398,38,2,0,1.00E+07
d399,39,2,0,1.00E+07
d400,40,2,0,1.00E+07
d401,41,2,0,1.00E+07
d402,42,2,0,1.00E+07
d403,43,2,0,1.00E+07
d404,44,2,0,1.00E+07
d405,45,2,0,1.00E+07
d406,46,2,0,1.00E+07
d407,47,2,0,1.00E+07
d408,48,2,0,1.00E+07
d409,49,2,0,1.00E+07
d410,50,2,0,1.00E+07
d411,51,2,0,1.00E+07
d412,52,2,0,1.00E+07
d413,53,2,0,1.00E+07
d414,54,2,0,1.00E+07
d415,55,2,0,1.00E+07
d416,56,2,0,1.00E+07
d417,57,2,0,1.00E+07
d418,58,2,0,1.00E+07
d419,59,2,0,1.00E+07
d420,60,2,0,1.00E+07
d421,61,2,0,1.00E+07
d422,62,2,0,1.00E+07
d423,63,2,0,1.00E+07
d424,64,2,0,1.00E+07
d425,65,2,0,1.00E+07
d426,66,2,0,1.00E+07
d427,67,2,0,1.00E+07
d428,68,2,0,1.00E+07
d429,69,2,0,1.00E+07
d430,70,2,0,1.00E+07
d431,71,2,0,1.00E+07
d432,72,2,0,1.00E+07
d433,73,2,0,1.00E+07
d434,74,2,0,1.00E+07
d435,75,2,0,1.00E+07
d436,76,2,0,1.00E+07
d437,77,2,0,1.00E+07
d438,78,2,0,1.00E+07
d439,79,2,0,1.00E+07
d440,80,2,0,1.00E+07
d441,81,2,0,1.00E+07
d442,82,2,0,1.00E+07
d443,83,2,0,1.00E+07
d444,84,2,0,1.00E+07
d445,85,2,0,1.00E+07
d446,86,2,0,1.00E+07
d447,87,2,0,1.00E+07
d448,88,2,0,1.00E+07
d449,89,2,0,1.00E+07
d450,90,2,0,1.00E+07
d451,91,2,0,1.00E+07
d452,92,2,0,1.00E+07
d453,93,2,0,1.00E+07
d454,94,2,0,1.00E+07
d455,95,2,0,1.00E+07
d456,96,2,0,1.00E+07
d457,97,2,0,1.00E+07
d458,98,2,0,1.00E+07
d459,99,2,0,1.00E+07
d460,100,2,0,1.00E+07
d461,101,2,0,1.00E+07
d462,102,2,0,1.00E+07
d463,103,2,0,1.00E+07
d464,104,2,0,1.00E+07
d465,105,2,0,1.00E+07
d466,106,2,0,1.00E+07
d467,107,2,0,1.00E+07
d468,108,2,0,1.00E+07
d469,109,2,0,1.00E+07
d470,110,2,0,1.00E+07
d471,111,2,0,1.00E+07
d472,112,2,0,1.00E+07
d473,113,2,0,1.00E+07
d474,114,2,0,1.00E+07
d475,115,2,0,1.00E+07
d476,116,2,0,1.00E+07
d477,117,2,0,1.00E+07
d478,118,2,0,1.00E+07
d479,119,2,0,1.00E+07
d480,120,2,0,1.00E+07
d481,121,2,0,1.00E+07
d482,122,2,0,1.00E+07
d483,123,2,0,1.00E+07
d484,124,2,0,1.00E+07
d485,125,2,0,1.00E+07
d486,126,2,0,1.00E+07
d487,127,2,0,1.00E+07
d488,128,2,0,1.00E+07
d489,129,2,0,1.00E+07
d490,130,2,0,1.00E+07
d491,131,2,0,1.00E+07
d492,132,2,0,1.00E+07
d493,133,2,0,1.00E+07
d494,134,2,0,1.00E+07
d495,135,2,0,1.00E+07
d496,136,2,0,1.00E+07
d497,137,2,0,1.00E+07
d498,138,2,0,1.00E+07
d499,139,2,0,1.00E+07
d500,140,2,0,1.00E+07
d501,141,2,0,1.00E+07
d502,142,2,0,1.00E+07
d503,143,2,0,1.00E+07
d504,144,2,0,1.00E+07
d505,145,2,0,1.00E+07
d506,146,2,0,1.00E+07
d507,147,2,0,1.00E+07
d508,148,2,0,1.00E+07
d509,149,2,0,1.00E+07
d510,150,2,0,1.00E+07
d511,151,2,0,1.00E+07
d512,152,2,0,1.00E+07
d513,153,2,0,1.00E+07
d514,154,2,0,1.00E+07
d515,155,2,0,1.00E+07
d516,156,2,0,1.00E+07
d517,157,2,0,1.00E+07
d518,158,2,0,1.00E+07
d519,159,2,0,1.00E+07
d520,160,2,0,1.00E+07
d521,161,2,0,1.00E+07
d522,162,2,0,1.00E+07
d523,163,2,0,1.00E+07
d524,164,2,0,1.00E+07
d525,165,2,0,1.00E+07
d526,166,2,0,1.00E+07
d527,167,2,0,1.00E+07
d528,168,2,0,1.00E+07
d529,169,2,0,1.00E+07
d530,170,2,0,1.00E+07
d531,171,2,0,1.00E+07
d532,172,2,0,1.00E+07
d533,173,2,0,1.00E+07
d534,174,2,0,1.00E+07
d535,175,2,0,1.00E+07
d536,176,2,0,1.00E+07
d537,177,2,0,1.00E+07
d538,178,2,0,1.00E+07
d539,179,2,0,1.00E+07
d540,180,2,0,1.00E+07
d541,181,2,0,1.00E+07
d542,182,2,0,1.00E+07
d543,183,2,0,1.00E+07
d544,184,2,0,1.00E+07
d545,185,2,0,1.00E+07
d546,186,2,0,1.00E+07
d547,187,2,0,1.00E+07
d548,188,2,0,1.00E+07
d549,189,2,0,1.00E+07
d550,190,2,0,1.00E+07
d551,191,2,0,1.00E+07
d552,192,2,0,1.00E+07
d553,193,2,0,1.00E+07
d554,194,2,0,1.00E+07
d555,195,2,0,1.00E+07
d556,196,2,0,1.00E+07
d557,197,2,0,1.00E+07
d558,198,2,0,1.00E+07
d559,199,2,0,1.00E+07
d560,200,2,0,1.00E+07
d561,201,2,0,1.00E+07
d562,202,2,0,1.00E+07
d563,203,2,0,1.00E+07
d564,204,2,0,1.00E+07
d565,205,2,0,1.00E+07
d566,206,2,0,1.00E+07
d567,207,2,0,1.00E+07
d568,208,2,0,1.00E+07
d569,209,2,0,1.00E+07
d570,210,2,0,1.00E+07
d571,211,2,0,1.00E+07
d572,212,2,0,1.00E+07
d573,213,2,0,1.00E+07
d574,214,2,0,1.00E+07
d575,215,2,0,1.00E+07
d576,216,2,0,1.00E+07
d577,217,2,0,1.00E+07
d578,218,2,0,1.00E+07
d579,219,2,0,1.00E+07
d580,220,2,0,1.00E+07
d581,221,2,0,1.00E+07
d582,222,2,0,1.00E+07
d583,223,2,0,1.00E+07
d584,224,2,0,1.00E+07
d585,225,2,0,1.00E+07
d586,226,2,0,1.00E+07
d587,227,2,0,1.00E+07
d588,228,2,0,1.00E+07
d589,229,2,0,1.00E+07
d590,230,2,0,1.00E+07
d591,231,2,0,1.00E+07
d592,232,2,0,1.00E+07
d593,233,2,0,1.00E+07
d594,234,2,0,1.00E+07
d595,235,2,0,1.00E+07
d596,236,2,0,1.00E+07
d597,237,2,0,1.00E+07
d598,238,2,0,1.00E+07
d599,239,2,0,1.00E+07
d600,240,2,0,1.00E+07
d601,241,2,0,1.00E+07
d602,242,2,0,1.00E+07
d603,243,2,0,1.00E+07
d604,244,2,0,1.00E+07
d605,245,2,0,1.00E+07
d606,246,2,0,1.00E+07
d607,247,2,0,1.00E+07
d608,248,2,0,1.00E+07
d609,249,2,0,1.00E+07
d610,250,2,0,1.00E+07
d611,251,2,0,1.00E+07
d612,252,2,0,1.00E+07
d613,253,2,0,1.00E+07
d614,254,2,0,1.00E+07
d615,255,2,0,1.00E+07
d616,256,2,0,1.00E+07
d617,257,2,0,1.00E+07
d618,258,2,0,1.00E+07
d619,259,2,0,1.00E+07
d620,260,2,0,1.00E+07
d621,261,2,0,1.00E+07
d622,262,2,0,1.00E+07
d623,263,2,0,1.00E+07
d624,264,2,0,1.00E+07
d625,265,2,0,1.00E+07
d626,266,2,0,1.00E+07
d627,267,2,0,1.00E+07
d628,268,2,0,1.00E+07
d629,269,2,0,1.00E+07
d630,270,2,0,1.00E+07
d631,271,2,0,1.00E+07
d632,272,2,0,1.00E+07
d633,273,2,0,1.00E+07
d634,274,2,0,1.00E+07
d635,275,2,0,1.00E+07
d636,276,2,0,1.00E+07
d637,277,2,0,1.00E+07
d638,278,2,0,1.00E+07
d639,279,2,0,1.00E+07
d640,280,2,0,1.00E+07
d641,281,2,0,1.00E+07
d642,282,2,0,1.00E+07
d643,283,2,0,1.00E+07
d644,284,2,0,1.00E+07
d645,285,2,0,1.00E+07
d646,286,2,0,1.00E+07
d647,287,2,0,1.00E+07
d648,288,2,0,1.00E+07
d649,289,2,0,1.00E+07
d650,290,2,0,1.00E+07
d651,291,2,0,1.00E+07
d652,292,2,0,1.00E+07
d653,293,2,0,1.00E+07
d654,294,2,0,1.00E+07
d655,295,2,0,1.00E+07
d656,296,2,0,1.00E+07
d657,297,2,0,1.00E+07
d658,298,2,0,1.00E+07
d659,299,2,0,1.00E+07
d660,300,2,0,1.00E+07
d661,301,2,0,1.00E+07
d662,302,2,0,1.00E+07
d663,303,2,0,1.00E+07
d664,304,2,0,1.00E+07
d665,305,2,0,1.00E+07
d666,306,2,0,1.00E+07
d667,307,2,0,1.00E+07
d668,308,2,0,1.00E+07
d669,309,2,0,1.00E+07
d670,310,2,0,1.00E+07
d671,311,2,0,1.00E+07
d672,312,2,0,1.00E+07
d673,313,2,0,1.00E+07
d674,314,2,0,1.00E+07
d675,315,2,0,1.00E+07
d676,316,2,0,1.00E+07
d677,317,2,0,1.00E+07
d678,318,2,0,1.00E+07
d679,319,2,0,1.00E+07
d680,320,2,0,1.00E+07
d681,321,2,0,1.00E+07
d682,322,2,0,1.00E+07
d683,323,2,0,1.00E+07
d684,324,2,0,1.00E+07
d685,325,2,0,1.00E+07
d686,326,2,0,1.00E+07
d687,327,2,0,1.00E+07
d688,328,2,0,1.00E+07
d689,329,2,0,1.00E+07
d690,330,2,0,1.00E+07
d691,331,2,0,1.00E+07
d692,332,2,0,1.00E+07
d693,333,2,0,1.00E+07
d694,334,2,0,1.00E+07
d695,335,2,0,1.00E+07
d696,336,2,0,1.00E+07
d697,337,2,0,1.00E+07
d698,338,2,0,1.00E+07
d699,339,2,0,1.00E+07
d700,340,2,0,1.00E+07
d701,341,2,0,1.00E+07
d702,342,2,0,1.00E+07
d703,343,2,0,1.00E+07
d704,344,2,0,1.00E+07
d705,345,2,0,1.00E+07
d706,346,2,0,1.00E+07
d707,347,2,0,1.00E+07
d708,348,2,0,1.00E+07
d709,349,2,0,1.00E+07
d710,350,2,0,1.00E+07
d711,351,2,0,1.00E+07
d712,352,2,0,1.00E+07
d713,353,2,0,1.00E+07
d714,354,2,0,1.00E+07
d715,355,2,0,1.00E+07
d716,356,2,0,1.00E+07
d717,357,2,0,1.00E+07
d718,358,2,0,1.00E+07
d719,359,2,0,1.00E+07
d720,360,2,0,1.00E+07
d721,1,3,0,1.00E+07
d722,2,3,0,1.00E+07
d723,3,3,0,1.00E+07
d724,4,3,0,1.00E+07
d725,5,3,0,1.00E+07
d726,6,3,0,1.00E+07
d727,7,3,0,1.00E+07
d728,8,3,0,1.00E+07
d729,9,3,0,1.00E+07
d730,10,3,0,1.00E+07
d731,11,3,0,1.00E+07
d732,12,3,0,1.00E+07
d733,13,3,0,1.00E+07
d734,14,3,0,1.00E+07
d735,15,3,0,1.00E+07
d736,16,3,0,1.00E+07
d737,17,3,0,1.00E+07
d738,18,3,0,1.00E+07
d739,19,3,0,1.00E+07
d740,20,3,0,1.00E+07
d741,21,3,0,1.00E+07
d742,22,3,0,1.00E+07
d743,23,3,0,1.00E+07
d744,24,3,0,1.00E+07
d745,25,3,0,1.00E+07
d746,26,3,0,1.00E+07
d747,27,3,0,1.00E+07
d748,28,3,0,1.00E+07
d749,29,3,0,1.00E+07
d750,30,3,0,1.00E+07
d751,31,3,0,1.00E+07
d752,32,3,0,1.00E+07
d753,33,3,0,1.00E+07
d754,34,3,0,1.00E+07
d755,35,3,0,1.00E+07
d756,36,3,0,1.00E+07
d757,37,3,0,1.00E+07
d758,38,3,0,1.00E+07
d759,39,3,0,1.00E+07
d760,40,3,0,1.00E+07
d761,41,3,0,1.00E+07
d762,42,3,0,1.00E+07
d763,43,3,0,1.00E+07
d764,44,3,0,1.00E+07
d765,45,3,0,1.00E+07
d766,46,3,0,1.00E+07
d767,47,3,0,1.00E+07
d768,48,3,0,1.00E+07
d769,49,3,0,1.00E+07
d770,50,3,0,1.00E+07
d771,51,3,0,1.00E+07
d772,52,3,0,1.00E+07
d773,53,3,0,1.00E+07
d774,54,3,0,1.00E+07
d775,55,3,0,1.00E+07
d776,56,3,0,1.00E+07
d777,57,3,0,1.00E+07
d778,58,3,0,1.00E+07
d779,59,3,0,1.00E+07
d780,60,3,0,1.00E+07
d781,61,3,0,1.00E+07
d782,62,3,0,1.00E+07
d783,63,3,0,1.00E+07
d784,64,3,0,1.00E+07
d785,65,3,0,1.00E+07
d786,66,3,0,1.00E+07
d787,67,3,0,1.00E+07
d788,68,3,0,1.00E+07
d789,69,3,0,1.00E+07
d790,70,3,0,1.00E+07
d791,71,3,0,1.00E+07
d792,72,3,0,1.00E+07
d793,73,3,0,1.00E+07
d794,74,3,0,1.00E+07
d795,75,3,0,1.00E+07
d796,76,3,0,1.00E+07
d797,77,3,0,1.00E+07
d798,78,3,0,1.00E+07
d799,79,3,0,1.00E+07
d800,80,3,0,1.00E+07
d801,81,3,0,1.00E+07
d802,82,3,0,1.00E+07
d803,83,3,0,1.00E+07
d804,84,3,0,1.00E+07
d805,85,3,0,1.00E+07
d806,86,3,0,1.00E+07
d807,87,3,0,1.00E+07
d808,88,3,0,1.00E+07
d809,89,3,0,1.00E+07
d810,90,3,0,1.00E+07
d811,91,3,0,1.00E+07
d812,92,3,0,1.00E+07
d813,93,3,0,1.00E+07
d814,94,3,0,1.00E+07
d815,95,3,0,1.00E+07
d816,96,3,0,1.00E+07
d817,97,3,0,1.00E+07
d818,98,3,0,1.00E+07
d819,99,3,0,1.00E+07
d820,100,3,0,1.00E+07
d821,101,3,0,1.00E+07
d822,102,3,0,1.00E+07
d823,103,3,0,1.00E+07
d824,104,3,0,1.00E+07
d825,105,3,0,1.00E+07
d826,106,3,0,1.00E+07
d827,107,3,0,1.00E+07
d828,108,3,0,1.00E+07
d829,109,3,0,1.00E+07
d830,110,3,0,1.00E+07
d831,111,3,0,1.00E+07
d832,112,3,0,1.00E+07
d833,113,3,0,1.00E+07
d834,114,3,0,1.00E+07
d835,115,3,0,1.00E+07
d836,116,3,0,1.00E+07
d837,117,3,0,1.00E+07
d838,118,3,0,1.00E+07
d839,119,3,0,1.00E+07
d840,120,3,0,1.00E+07
d841,121,3,0,1.00E+07
d842,122,3,0,1.00E+07
d843,123,3,0,1.00E+07
d844,124,3,0,1.00E+07
d845,125,3,0,1.00E+07
d846,126,3,0,1.00E+07
d847,127,3,0,1.00E+07
d848,128,3,0,1.00E+07
d849,129,3,0,1.00E+07
d850,130,3,0,1.00E+07
d851,131,3,0,1.00E+07
d852,132,3,0,1.00E+07
d853,133,3,0,1.00E+07
d854,134,3,0,1.00E+07
d855,135,3,0,1.00E+07
d856,136,3,0,1.00E+07
d857,137,3,0,1.00E+07
d858,138,3,0,1.00E+07
d859,139,3,0,1.00E+07
d860,140,3,0,1.00E+07
d861,141,3,0,1.00E+07
d862,142,3,0,1.00E+07
d863,143,3,0,1.00E+07
d864,144,3,0,1.00E+07
d865,145,3,0,1.00E+07
d866,146,3,0,1.00E+07
d867,147,3,0,1.00E+07
d868,148,3,0,1.00E+07
d869,149,3,0,1.00E+07
d870,150,3,0,1.00E+07
d871,151,3,0,1.00E+07
d872,152,3,0,1.00E+07
