1. Node ID,2. Node Name,3. Node Longitude,4.Node Latitude
305,Dixie County,-83.058664,29.634593
306,Duval County,-81.620436,30.298646
307,Escambia County,-87.277106,30.485666
308,Flagler County,-81.222102,29.521471
309,Franklin County,-84.813247,29.785968
310,Gadsden County,-84.571737,30.593632
311,Gilchrist County,-82.808104,29.705263
312,Glades County,-81.189563,26.897019
313,Gulf County,-85.259724,29.955584
314,Hamilton County,-82.999025,30.501436
315,Hardee County,-81.816969,27.548142
316,Hendry County,-81.216144,26.726562
317,Hernando County,-82.497025,28.504446
318,Highlands County,-81.444816,27.462632
319,Hillsborough County,-82.39857,27.967264
320,Holmes County,-85.754664,30.847037
321,Indian River County,-80.440738,27.671332
322,Jackson County,-85.218988,30.797248
323,Jefferson County,-83.89133,30.502892
324,Lafayette County,-83.176369,30.063591
325,Lake County,-81.750668,28.716853
326,Lee County,-81.851845,26.576019
327,Leon County,-84.269682,30.466102
328,Levy County,-82.662921,29.380119
329,Liberty County,-84.907135,30.399108
330,Madison County,-83.425943,30.472359
331,Manatee County,-82.520478,27.478313
332,Marion County,-82.126125,29.135817
333,Martin County,-80.245706,27.145869
334,Miami-Dade County,-80.30118,25.769326
335,Monroe County,-81.244796,24.747427
336,Nassau County,-81.63434,30.608318
337,Okaloosa County,-86.565567,30.551645
338,Okeechobee County,-80.824315,27.271934
339,Orange County,-81.388371,28.526077
340,Osceola County,-81.39037,28.269056
341,Palm Beach County,-80.143701,26.616523
342,Pasco County,-82.51024,28.258217
343,Pinellas County,-82.727015,27.900189
344,Polk County,-81.786864,28.042479
345,Putnam County,-81.721195,29.60923
346,St. Johns County,-81.434924,29.991793
347,St. Lucie County,-80.357144,27.333592
348,Santa Rosa County,-87.035767,30.547226
349,Sarasota County,-82.416033,27.201139
350,Seminole County,-81.310073,28.699171
351,Sumter County,-82.024754,28.83348
352,Suwannee County,-82.985113,30.213664
353,Taylor County,-83.590349,30.056859
354,Union County,-82.35769,30.011442
355,Volusia County,-81.126278,29.072351
356,Wakulla County,-84.332906,30.187394
357,Walton County,-86.19019,30.543793
358,Washington County,-85.62387,30.649403
359,Appling County,-82.338755,31.770708
360,Atkinson County,-82.878111,31.317495
361,Bacon County,-82.46609,31.547
362,Baker County,-84.433608,31.31096
363,Baldwin County,-83.243621,33.085482
364,Banks County,-83.507471,34.349158
365,Barrow County,-83.728597,33.992491
366,Bartow County,-84.829148,34.208535
367,Ben Hill County,-83.24814,31.727139
368,Berrien County,-83.251763,31.233472
369,Bibb County,-83.690072,32.834626
370,Bleckley County,-83.332183,32.401506
371,Brantley County,-81.970017,31.217234
372,Brooks County,-83.54227,30.841118
373,Bryan County,-81.353407,31.958731
374,Bulloch County,-81.762378,32.415313
375,Burke County,-82.002339,33.103215
376,Butts County,-83.972919,33.294854
377,Calhoun County,-84.662951,31.526143
378,Camden County,-81.631375,30.812543
379,Candler County,-82.060428,32.399154
380,Carroll County,-85.043815,33.623974
381,Catoosa County,-85.172189,34.928524
382,Charlton County,-82.024244,30.786554
383,Chatham County,-81.136643,32.043151
384,Chattahoochee County,-84.896374,32.342797
385,Chattooga County,-85.344042,34.496004
386,Cherokee County,-84.494745,34.170504
387,Clarke County,-83.381417,33.950374
388,Clay County,-85.014589,31.634951
389,Clayton County,-84.361187,33.551579
390,Clinch County,-82.744401,31.021262
391,Cobb County,-84.557976,33.941801
392,Coffee County,-82.838428,31.515718
393,Colquitt County,-83.767871,31.179661
394,Columbia County,-82.175338,33.514668
395,Cook County,-83.423804,31.148353
396,Coweta County,-84.73346,33.377998
397,Crawford County,-83.930196,32.706715
398,Crisp County,-83.778048,31.949314
399,Dade County,-85.497925,34.881193
400,Dawson County,-84.102212,34.400246
401,Decatur County,-84.569999,30.889772
402,DeKalb County,-84.247613,33.790223
403,Dodge County,-83.173704,32.212397
404,Dooly County,-83.78074,32.170176
405,Dougherty County,-84.171202,31.574147
406,Douglas County,-84.735518,33.724594
407,Early County,-84.919905,31.335623
408,Echols County,-83.050326,30.712259
409,Effingham County,-81.299809,32.287329
410,Elbert County,-82.880506,34.128394
411,Emanuel County,-82.306411,32.586625
412,Evans County,-81.906627,32.168708
413,Fannin County,-84.312915,34.902937
414,Fayette County,-84.513188,33.428121
415,Floyd County,-85.183346,34.256222
416,Forsyth County,-84.150182,34.190488
417,Franklin County,-83.186359,34.378121
418,Fulton County,-84.396191,33.832534
419,Gilmer County,-84.486082,34.675112
420,Glascock County,-82.60966,33.236629
421,Glynn County,-81.486211,31.202596
422,Gordon County,-84.907765,34.498248
423,Grady County,-84.212447,30.881836
424,Greene County,-83.179388,33.535248
425,Gwinnett County,-84.053177,33.954137
426,Habersham County,-83.541387,34.565656
427,Hall County,-83.847644,34.26936
428,Hancock County,-83.01325,33.254841
429,Haralson County,-85.184723,33.760719
430,Harris County,-84.894283,32.69754
431,Hart County,-82.964995,34.355547
432,Heard County,-85.116748,33.307964
433,Henry County,-84.174632,33.470292
434,Houston County,-83.663692,32.565757
435,Irwin County,-83.27986,31.604345
436,Jackson County,-83.599045,34.129495
437,Jasper County,-83.726512,33.358288
438,Jeff Davis County,-82.600257,31.847814
439,Jefferson County,-82.408116,33.06898
440,Jenkins County,-81.947165,32.789871
441,Johnson County,-82.684511,32.699439
442,Jones County,-83.550237,32.961196
443,Lamar County,-84.154394,33.084155
444,Lanier County,-83.097639,31.037307
445,Laurens County,-82.925405,32.517494
446,Lee County,-84.177116,31.680634
447,Liberty County,-81.5777,31.828772
448,Lincoln County,-82.445454,33.780601
449,Long County,-81.731661,31.775868
450,Lowndes County,-83.281437,30.860299
451,Lumpkin County,-83.988151,34.524477
452,McDuffie County,-82.468712,33.459579
453,McIntosh County,-81.405656,31.480147
454,Macon County,-84.039478,32.324124
455,Madison County,-83.240303,34.101336
456,Marion County,-84.524649,32.382601
457,Meriwether County,-84.675396,33.016626
458,Miller County,-84.738302,31.160435
459,Mitchell County,-84.171176,31.218188
460,Monroe County,-83.909101,33.037037
461,Montgomery County,-82.52948,32.173336
462,Morgan County,-83.485701,33.600047
463,Murray County,-84.79164,34.781729
464,Muscogee County,-84.928926,32.495642
465,Newton County,-83.898026,33.570575
466,Oconee County,-83.464103,33.876988
467,Oglethorpe County,-83.147433,33.918851
468,Paulding County,-84.814237,33.913898
469,Peach County,-83.822766,32.589118
470,Pickens County,-84.436004,34.455831
471,Pierce County,-82.242367,31.313022
472,Pike County,-84.366582,33.10478
473,Polk County,-85.174625,34.010871
474,Pulaski County,-83.478958,32.273393
475,Putnam County,-83.335457,33.319719
476,Quitman County,-85.078114,31.859563
477,Rabun County,-83.407047,34.879707
478,Randolph County,-84.758082,31.758591
479,Richmond County,-82.051886,33.427932
480,Rockdale County,-84.019225,33.642136
481,Schley County,-84.306635,32.241832
482,Screven County,-81.629825,32.722235
483,Seminole County,-84.866698,30.967903
484,Spalding County,-84.271569,33.258944
485,Stephens County,-83.289701,34.558402
486,Stewart County,-84.758019,32.068608
487,Sumter County,-84.222402,32.061409
488,Talbot County,-84.58298,32.700716
489,Taliaferro County,-82.886099,33.568965
490,Tattnall County,-82.058473,32.036453
491,Taylor County,-84.209743,32.559079
492,Telfair County,-82.894969,32.019316
493,Terrell County,-84.429026,31.77202
494,Thomas County,-83.947978,30.86927
495,Tift County,-83.513873,31.455071
496,Toombs County,-82.368674,32.185481
497,Towns County,-83.782885,34.940026
498,Treutlen County,-82.589236,32.387282
499,Troup County,-85.029721,33.038124
500,Turner County,-83.638274,31.70277
501,Twiggs County,-83.416707,32.702269
502,Union County,-84.004818,34.87746
503,Upson County,-84.325253,32.90722
504,Walker County,-85.293092,34.838709
505,Walton County,-83.785302,33.795968
506,Ware County,-82.383829,31.226953
507,Warren County,-82.661562,33.406673
508,Washington County,-82.775581,32.964333
509,Wayne County,-81.916558,31.61057
510,Webster County,-84.561824,32.05245
511,Wheeler County,-82.756158,32.147523
512,White County,-83.743731,34.599638
513,Whitfield County,-84.966305,34.793647
514,Wilcox County,-83.409194,31.975538
515,Wilkes County,-82.752748,33.757224
516,Wilkinson County,-83.239243,32.843967
517,Worth County,-83.85916,31.545333
518,Ada County,-116.313143,43.612091
519,Adams County,-116.383254,44.843883
520,Bannock County,-112.425092,42.871117
521,Bear Lake County,-111.34121,42.307481
522,Benewah County,-116.644633,47.273057
523,Bingham County,-112.346259,43.223106
