Id,Partition
602,15
603,8
604,15
605,4
606,3
607,2
608,1
609,1
610,3
611,16
612,6
613,5
614,12
615,12
616,8
617,13
618,13
619,12
620,2
621,12
622,6
623,7
624,5
625,5
626,5
627,14
628,4
629,4
630,16
631,11
632,11
633,8
634,8
635,1
636,1
637,7
638,2
639,1
640,6
641,5
642,15
643,8
644,5
645,1
646,1
647,11
648,12
649,2
650,14
651,6
652,1
653,1
654,7
655,11
656,3
657,4
658,11
659,12
660,1
661,10
662,7
663,14
664,5
665,5
666,14
667,8
668,3
669,14
670,2
671,1
672,14
673,2
674,3
675,12
676,11
677,12
678,1
679,4
680,1
681,12
682,1
683,2
684,15
685,15
686,2
687,5
688,12
689,8
690,9
691,7
692,4
693,1
694,7
695,8
696,1
697,16
698,8
699,6
700,7
701,2
702,2
703,1
704,2
705,2
706,11
707,11
708,8
709,16
710,4
711,15
712,4
713,14
714,14
715,16
716,16
717,7
718,7
719,7
720,2
721,7
722,1
723,12
724,8
725,15
726,13
727,11
728,9
729,9
730,15
731,2
732,12
733,5
734,5
735,13
736,6
737,5
738,12
739,11
740,12
741,4
742,4
743,1
744,9
745,9
746,9
747,9
748,8
749,9
750,9
751,8
752,2
753,8
754,9
755,14
756,13
757,11
758,3
759,12
760,7
761,1
762,6
763,7
764,5
765,12
766,15
767,15
768,6
769,6
770,14
771,3
772,9
773,2
774,15
775,5
776,5
777,1
778,4
779,13
780,13
781,3
782,15
783,2
784,15
785,2
786,16
787,12
788,15
789,12
790,8
791,2
792,5
793,11
794,1
795,7
796,6
797,7
798,15
799,8
800,10
801,7
802,8
803,4
804,11
805,3
806,9
807,11
808,5
809,1
810,9
811,6
812,13
813,4
814,6
815,13
816,2
817,7
818,15
819,13
820,6
821,7
822,9
823,3
824,3
825,3
826,9
827,9
828,3
829,3
830,1
831,9
832,3
833,6
834,4
835,3
836,3
837,4
838,3
839,3
