Source,Target
72,600
73,74
73,81
73,466
73,614
73,615
74,75
74,77
74,466
74,614
75,80
75,82
75,83
76,77
76,82
76,83
76,374
76,615
76,616
77,80
77,82
77,83
77,615
77,682
77,737
78,79
78,466
78,494
78,690
79,374
79,661
79,682
79,690
80,83
80,374
80,682
80,782
81,566
81,711
82,83
82,332
82,452
84,85
84,86
84,437
85,87
85,400
85,453
85,785
86,88
86,91
86,92
86,739
87,88
88,92
88,400
88,648
89,90
89,368
89,511
89,514
89,593
90,380
90,463
90,593
91,92
91,101
91,453
91,544
91,787
92,93
92,544
93,544
94,95
94,643
94,713
95,97
95,100
95,443
95,643
96,98
96,100
96,375
97,98
97,100
97,102
97,103
98,554
99,103
99,346
99,373
99,453
99,554
100,375
101,103
101,453
101,631
102,103
102,375
102,421
102,453
103,365
103,516
104,108
104,109
104,111
105,108
105,499
105,543
106,107
106,108
106,110
107,108
107,110
107,111
107,113
107,123
107,432
107,500
107,562
107,714
108,109
108,113
109,123
109,124
109,390
109,392
109,432
109,760
110,112
110,122
110,467
110,562
110,572
110,644
111,113
111,122
111,552
111,570
112,113
112,119
114,115
114,120
115,120
116,118
116,119
116,122
116,445
117,118
117,120
118,119
118,120
118,122
118,465
118,509
119,120
119,122
119,382
119,446
119,454
119,464
119,572
119,573
119,594
119,595
119,670
120,121
120,348
120,404
120,446
120,555
120,573
120,642
120,734
121,348
121,446
121,722
121,741
122,381
122,382
122,572
122,670
123,124
123,432
123,454
123,594
123,595
123,678
124,366
124,391
124,570
124,678
125,129
125,131
125,140
126,128
126,129
126,142
126,143
126,525
127,128
127,447
127,448
127,525
128,129
128,131
128,132
128,134
128,447
128,448
129,138
129,140
129,419
129,447
129,448
130,131
130,132
130,134
131,132
131,133
131,142
131,338
131,704
132,133
132,730
133,134
133,502
133,630
133,716
133,761
134,630
134,716
135,138
135,139
136,141
136,144
136,517
136,609
137,138
137,139
137,140
137,141
137,144
138,139
138,144
138,419
138,609
140,141
141,144
142,143
142,144
142,413
142,525
143,144
143,525
144,413
144,468
144,564
145,146
145,148
145,151
145,610
145,613
146,147
146,148
146,149
146,151
146,154
146,418
146,766
147,149
147,418
148,151
148,418
148,610
149,150
149,152
149,154
149,409
149,418
149,750
150,152
150,154
150,409
152,154
152,156
152,158
152,159
152,344
152,409
152,611
153,154
154,536
154,655
155,156
155,161
155,162
155,459
155,532
155,602
155,629
155,662
155,706
155,720
156,158
156,159
156,343
156,460
157,159
157,403
158,159
159,611
159,756
160,161
160,163
160,164
160,501
161,162
161,164
161,165
161,343
161,344
161,378
161,602
161,629
161,719
161,720
162,163
162,164
162,497
162,662
163,164
163,165
163,501
164,165
164,629
164,662
164,719
164,720
165,378
165,719
165,720
166,168
166,169
166,170
166,172
166,174
166,179
166,408
166,485
166,800
167,170
167,171
167,172
167,175
168,172
168,179
168,180
168,485
169,170
169,175
169,179
169,180
170,171
170,172
170,179
171,173
171,174
171,175
172,175
172,340
173,174
173,175
174,340
174,408
176,177
176,178
176,182
176,184
176,393
177,183
177,184
177,185
178,179
178,181
178,393
178,534
178,653
178,726
179,180
179,184
179,485
179,534
179,783
179,800
180,183
181,182
181,185
181,687
181,817
182,185
182,687
182,769
184,581
184,582
186,187
186,189
186,196
186,202
187,188
187,189
187,192
187,202
188,189
188,196
188,198
189,190
189,192
189,194
189,203
189,495
189,496
189,599
189,727
189,762
190,198
190,495
191,331
191,427
191,428
191,627
191,762
192,193
193,194
193,195
193,588
193,632
194,195
194,198
194,200
194,633
194,727
194,738
195,632
196,203
196,410
196,599
196,746
196,774
197,203
197,410
197,507
197,746
198,199
198,200
198,667
198,754
198,763
199,200
199,436
199,488
199,571
199,667
199,691
200,571
201,205
201,206
201,354
201,537
201,538
201,689
201,725
201,778
202,425
202,575
202,597
203,341
203,388
203,425
203,671
203,746
204,205
204,206
204,652
204,688
205,206
205,433
205,434
205,688
205,725
206,433
206,458
206,654
207,208
207,212
207,215
208,212
208,587
209,210
209,369
209,550
209,551
209,587
209,768
210,211
210,674
211,220
211,225
211,385
211,406
211,478
211,674
212,215
212,550
212,551
212,587
213,215
213,216
213,220
213,223
213,396
213,397
213,440
213,550
213,551
214,215
214,216
215,216
215,550
215,795
216,396
217,218
218,219
218,220
218,221
219,220
219,221
220,221
220,223
220,406
220,440
220,551
220,692
220,758
221,226
221,361
221,440
221,668
221,692
222,223
222,224
224,225
224,406
224,561
226,345
226,399
226,435
226,561
226,583
226,636
227,228
227,235
227,242
227,246
228,235
228,242
228,246
229,383
229,384
229,651
229,656
229,677
230,231
230,240
230,241
230,569
230,607
232,233
232,234
232,236
233,236
233,237
233,240
235,246
235,584
237,238
237,240
237,557
238,240
239,240
239,356
239,357
239,444
239,580
240,242
240,243
240,246
240,247
240,356
240,357
240,407
240,524
240,557
240,568
240,569
240,607
240,701
240,702
241,355
241,429
241,430
241,567
241,626
242,246
243,244
245,247
246,247
246,384
246,524
246,584
246,701
246,702
247,607
248,249
248,255
248,480
249,250
249,251
249,252
249,480
250,251
250,252
251,252
251,262
251,622
251,624
251,657
251,659
252,256
252,263
252,264
252,606
252,624
252,659
253,254
253,255
253,257
253,260
253,262
253,379
254,256
254,379
254,578
255,257
255,260
255,379
255,480
256,257
256,423
256,424
256,462
256,475
257,265
257,475
257,547
257,673
258,259
258,260
258,262
258,264
258,539
259,261
259,398
259,423
259,424
259,515
260,262
260,398
260,553
260,684
261,262
261,515
261,539
262,264
262,515
262,553
262,684
263,492
263,493
263,605
263,685
263,686
264,265
264,398
264,605
264,685
264,686
265,266
265,268
265,334
265,335
265,389
265,398
265,417
265,487
265,685
265,686
266,268
266,342
266,487
266,508
266,747
266,816
267,389
267,717
267,801
267,804
267,808
267,815
267,816
268,586
268,742
268,779
268,814
268,815
268,820
269,270
269,363
269,623
269,658
269,709
269,744
270,277
270,278
270,336
270,405
270,491
270,744
271,283
271,461
271,474
271,709
272,273
272,474
272,672
273,422
273,461
274,275
274,276
274,277
274,540
274,541
275,276
275,360
275,505
275,506
275,540
275,541
275,640
276,278
276,370
276,451
276,563
277,278
277,360
277,563
278,370
279,280
279,281
279,282
279,285
279,286
279,415
279,416
279,486
279,596
280,414
280,415
281,284
281,285
281,596
282,283
282,546
282,755
283,645
283,697
283,709
284,285
284,286
284,705
285,286
285,288
285,289
285,333
285,596
286,287
286,288
286,333
286,776
286,789
287,288
287,455
288,289
290,291
290,293
290,294
290,296
290,297
290,302
290,565
290,802
290,803
291,295
291,297
291,299
291,302
291,306
291,498
291,530
292,293
292,294
292,298
293,294
293,296
293,297
293,302
293,303
293,304
293,309
293,426
293,472
293,473
293,802
294,297
294,805
295,296
295,297
295,299
296,297
296,309
296,310
298,299
298,806
298,812
298,818
298,819
299,601
300,301
300,304
300,797
300,799
300,813
301,304
301,784
301,809
302,304
302,305
302,306
302,307
302,308
302,309
302,310
302,810
302,811
303,304
303,308
305,306
305,307
305,308
305,476
305,477
305,732
306,307
306,362
306,457
306,732
306,765
307,732
308,309
308,310
308,775
309,310
309,472
309,473
309,565
309,576
309,598
309,802
311,312
311,321
311,512
311,617
311,666
311,753
311,771
312,313
312,315
312,317
312,319
312,320
312,321
312,518
312,617
312,618
312,770
313,320
313,330
313,504
313,728
313,729
314,315
314,316
314,317
314,386
314,519
314,675
315,316
315,320
315,519
315,675
315,676
315,728
315,729
316,675
316,676
317,518
317,519
317,559
317,751
317,798
318,320
319,320
319,439
320,322
320,328
320,520
320,767
321,322
321,520
322,328
322,503
322,520
323,324
323,326
323,529
323,663
323,743
324,325
324,328
324,329
324,330
325,328
325,329
325,330
326,327
326,329
326,330
327,330
327,650
327,743
328,329
328,330
329,330
330,650
330,728
331,476
332,549
333,533
333,793
334,411
334,789
334,793
334,818
335,819
336,515
337,505
338,479
339,392
340,408
340,580
340,701
340,702
341,342
343,344
343,479
343,730
344,550
344,704
345,488
346,370
347,694
348,445
348,611
349,757
350,351
351,484
352,469
353,574
354,355
354,626
356,580
356,630
356,701
356,721
357,580
357,630
357,702
357,721
358,359
358,647
359,523
360,361
360,640
360,794
361,492
361,493
361,545
361,641
361,668
361,794
362,520
362,765
363,622
363,709
364,471
364,639
365,509
366,367
366,442
367,391
367,548
368,670
369,497
371,438
372,577
373,451
374,608
374,682
375,489
375,554
375,790
376,545
376,638
376,790
377,427
377,666
378,444
379,731
380,382
381,382
381,536
382,464
382,655
383,384
383,656
383,769
384,393
384,538
384,651
384,778
385,386
387,398
387,420
388,389
389,487
390,391
390,759
391,392
391,548
391,558
394,470
395,541
396,551
396,701
397,551
397,702
398,420
398,605
398,685
398,686
399,632
400,401
400,402
401,722
402,722
403,404
403,556
404,446
404,612
404,740
405,657
406,571
406,633
407,569
407,692
407,738
408,524
409,445
409,750
410,507
410,779
411,601
412,500
413,445
414,415
414,416
414,671
415,417
415,816
416,417
416,486
416,596
416,815
417,487
418,419
418,610
418,766
419,446
420,605
420,699
421,678
422,423
423,462
423,494
424,462
424,690
425,426
426,486
426,576
427,429
428,429
429,430
429,477
429,628
429,770
429,775
430,568
430,619
430,727
431,764
432,449
433,434
433,753
434,618
435,763
436,648
437,556
439,674
440,722
440,785
441,714
441,723
442,759
442,760
443,664
445,446
445,573
447,766
448,555
448,612
450,615
452,634
453,554
453,563
453,573
453,786
453,791
454,545
454,638
454,722
454,786
454,791
455,781
456,478
456,751
457,663
458,567
459,706
459,768
460,525
461,462
463,464
465,631
466,665
467,511
468,734
468,756
471,528
472,597
473,487
474,475
476,477
476,512
478,518
478,674
480,481
481,553
481,606
482,683
482,736
483,484
483,792
484,638
484,693
484,792
485,584
487,727
488,636
489,637
489,683
489,723
490,683
491,492
491,493
494,690
495,496
495,539
496,686
496,727
498,530
498,743
499,500
499,543
499,649
499,764
501,502
502,630
503,765
504,531
504,568
504,569
504,733
505,506
505,698
505,773
506,592
507,508
510,748
513,711
514,562
516,678
517,613
518,519
518,712
519,687
521,522
521,523
522,523
523,590
526,542
527,661
528,639
529,530
530,531
531,565
532,716
533,776
534,559
534,797
535,585
537,538
537,656
537,689
540,724
541,703
543,777
544,545
545,692
545,787
546,547
548,590
550,587
551,707
551,708
552,748
554,637
555,612
557,758
559,728
559,729
560,713
561,588
564,642
565,650
565,733
566,752
567,568
567,569
567,654
568,727
568,758
569,726
569,727
570,680
570,757
572,750
575,576
577,620
578,749
579,683
581,582
581,677
582,651
583,754
586,774
587,662
589,590
591,592
591,645
591,697
592,604
592,646
593,594
593,595
596,717
597,598
599,747
600,601
602,761
603,604
607,701
607,702
607,795
608,635
609,610
611,612
611,788
612,788
614,635
615,616
616,699
617,618
617,666
617,679
617,771
618,619
618,770
619,729
620,621
621,696
622,624
623,624
624,710
625,737
627,628
628,762
629,630
630,707
630,708
632,633
634,635
634,752
635,669
640,641
642,734
643,644
644,714
645,646
646,710
647,772
649,713
652,653
656,689
657,659
658,659
658,744
659,745
660,780
667,668
667,796
668,796
669,682
672,673
674,675
674,676
674,712
679,688
681,682
684,755
685,727
688,771
691,692
693,699
694,695
694,696
695,696
699,782
700,718
703,724
705,742
706,707
706,708
709,710
713,714
715,735
719,721
720,721
722,740
722,741
725,726
728,811
729,810
732,733
732,767
735,736
735,780
739,740
739,741
744,745
746,747
783,800
783,809
784,800
798,799
801,802
802,805
803,805
803,808
804,805
804,808
806,807
812,814
812,820
813,817
815,816
815,820
