Source,Target
202,368
203,236
203,257
204,211
204,264
204,373
204,374
205,206
205,216
205,377
206,376
207,208
207,220
208,209
208,238
209,235
210,217
210,383
212,213
212,227
213,225
214,215
214,386
215,385
216,217
216,233
216,387
217,396
218,219
218,238
218,394
219,395
220,221
220,398
222,231
222,400
223,234
223,403
224,408
226,227
226,232
226,417
227,416
228,426
229,230
229,428
231,232
231,431
232,430
233,234
233,236
233,434
234,433
235,236
237,437
239,240
239,247
239,443
240,246
241,242
241,253
241,447
242,256
242,448
243,258
244,251
245,453
245,454
246,247
246,258
247,260
248,266
249,263
249,456
250,251
250,265
251,252
252,263
254,255
254,257
254,261
256,257
256,459
257,460
258,272
258,276
259,277
259,462
260,262
260,463
261,463
262,263
262,466
265,480
267,273
268,272
269,270
269,275
270,271
270,485
271,272
274,276
278,282
279,293
280,306
281,314
283,305
284,294
285,312
286,492
287,315
289,298
290,300
291,309
292,316
295,313
296,308
297,301
299,302
299,443
303,304
305,306
305,307
318,350
319,347
319,353
320,351
321,355
322,342
322,344
324,337
325,352
326,331
327,349
328,329
328,354
330,336
332,334
335,336
335,343
338,340
339,340
339,348
340,341
344,345
346,347
357,406
358,369
359,414
360,370
362,438
363,379
364,420
365,440
366,422
367,374
367,405
367,411
370,408
370,418
371,381
372,426
373,378
373,405
375,424
377,391
380,411
382,436
384,438
385,419
388,442
389,441
390,399
392,410
393,423
397,434
399,400
401,409
402,407
404,432
407,433
408,439
412,434
413,441
415,435
417,418
419,420
421,429
425,427
426,427
444,488
445,463
446,454
447,461
449,465
450,472
451,456
452,456
455,480
456,475
457,477
458,471
460,476
462,478
464,479
467,468
469,473
470,474
481,500
482,483
482,484
483,493
484,500
485,491
486,501
487,502
489,496
490,497
492,495
494,495
498,504
499,503
